Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Austria,28.3,19.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Belgium,20.4,15.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Bulgaria,5.2,3.0
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Switzerland,36.5,25.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Cyprus,7.2,11.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Czechia,12.2,10.2
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Germany,28.6,: u
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Denmark,38.1,25.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,13.2 e
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Estonia,16.4,10.4
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Greece,11.7,7.4
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Spain,10.7,8.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),18.9,12.3 e
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Finland,34.0,23.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,France,23.0,15.6
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Croatia,9.7,8.8
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Hungary,6.9,5.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Ireland,28.7 u,20.5
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Iceland,32.6,:
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Italy,12.0,5.3
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Lithuania,16.3,7.5
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Luxembourg,36.6,24.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Latvia,7.3,6.1
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Malta,8.7,8.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Netherlands,40.2,35.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Norway,48.0,50.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Poland,13.8 u,7.4
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Portugal,9.0,7.3
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Romania,3.2,3.9
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Serbia,5.2,2.2
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Sweden,35.1,21.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Slovenia,30.4,20.7
Annual,Formal voluntary activities,Total,Total,Total,Percentage,Slovakia,8.3,7.5
Annual,Formal voluntary activities,Total,Total,Total,Percentage,United Kingdom,23.5 u,:
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Austria,28.3,13.4
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Belgium,20.8,11.8
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Bulgaria,6.3,2.4
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Switzerland,48.2,29.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Cyprus,2.6,25.5
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Czechia,16.6,12.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Germany,11.4,: u
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Denmark,41.5,23.3
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,13.3 e
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Estonia,25.4,12.7
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Greece,14.4,6.0
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Spain,10.6,5.9
Annual,Informal voluntary activities,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),22.5,14.3 e
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Finland,74.0,:
Annual,Informal voluntary activities,Total,Total,Total,Percentage,France,23.3,11.1
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Croatia,17.2,9.1
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Hungary,7.8,10.1
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Ireland,37.3 u,16.5
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Iceland,64.7,:
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Italy,11.2,4.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Lithuania,16.3,9.5
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Luxembourg,30.3,10.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Latvia,28.3,13.4
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Malta,0.9,8.7
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Netherlands,82.3,73.5
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Norway,74.5,79.7
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Poland,50.6 u,22.1
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Portugal,20.5,13.4
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Romania,3.2,4.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Serbia,12.4,7.2
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Sweden,70.0,48.6
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Slovenia,54.6,32.7
Annual,Informal voluntary activities,Total,Total,Total,Percentage,Slovakia,18.8,10.6
Annual,Informal voluntary activities,Total,Total,Total,Percentage,United Kingdom,19.4 u,:
Annual,Active citizenship,Total,Total,Total,Percentage,Austria,11.9,12.0
Annual,Active citizenship,Total,Total,Total,Percentage,Belgium,4.9,5.4
Annual,Active citizenship,Total,Total,Total,Percentage,Bulgaria,3.7,1.9
Annual,Active citizenship,Total,Total,Total,Percentage,Switzerland,26.9,26.0
Annual,Active citizenship,Total,Total,Total,Percentage,Cyprus,2.1,2.0
Annual,Active citizenship,Total,Total,Total,Percentage,Czechia,4.2,5.2
Annual,Active citizenship,Total,Total,Total,Percentage,Germany,13.9,: u
Annual,Active citizenship,Total,Total,Total,Percentage,Denmark,9.3,9.8
Annual,Active citizenship,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,8.9 e
Annual,Active citizenship,Total,Total,Total,Percentage,Estonia,8.7,7.7
Annual,Active citizenship,Total,Total,Total,Percentage,Greece,8.4,6.3
Annual,Active citizenship,Total,Total,Total,Percentage,Spain,7.9,5.6
Annual,Active citizenship,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),12.1,8.1 e
