Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,18000.0,PROD_BP,MIO_EUR,AT,7048.74,7026.86,6888.28,6939.31,7379.43,7448.08,7541.34,7672.87,8605.54,10540.17,10196.84,9885.16 e
Annual,18000.0,PROD_BP,MIO_EUR,BE,8710.63,8226.31,8314.55,8064.21,8472.3,8304.81,8864.29,8994.21,10078.78,11694.11,11769.87,11683.43 e
Annual,18000.0,PROD_BP,MIO_EUR,BG,4393.78,4302.03,4033.15,3902.63,4082.76,4183.78,4210.5,4021.96,5533.07,6596.76,5396.45,4826.97 e
Annual,18000.0,PROD_BP,MIO_EUR,CH,8796.61,9432.72,9754.94,9993.78,9667.69,9487.03,10256.05,10680.86,10358.62,11854.63,12422.99,12368.41 e
Annual,18000.0,PROD_BP,MIO_EUR,CY,697.21,662.62,680.03,678.65,723.41,714.25,742.54,753.25,789.57,822.35,886.93,914.26 e
Annual,18000.0,PROD_BP,MIO_EUR,CZ,4935.79,4976.1,4711.15,4918.63,5085.03,5304.33,5495.35,5632.71,6520.99,7809.85,7365.05,7133.50 e
Annual,18000.0,PROD_BP,MIO_EUR,DE,61820.65,61008.32,54533.95,54163.0,58981.88,55149.04,60516.08,58833.04,61590.25,77923.88,76146.86,75430.33 e
Annual,18000.0,PROD_BP,MIO_EUR,DK,10963.43,11023.92,10280.38,10042.52,11200.32,10508.91,11133.88,11720.36,11751.53,14039.96,12814.06,12008.44 e
Annual,18000.0,PROD_BP,MIO_EUR,EA19,325645.49,320737.15,317813.33,312622.15,329238.21,333655.25,341873.99,338659.11,363427.95,433334.47,430866.41,427689.08 e
Annual,18000.0,PROD_BP,MIO_EUR,EA20,328060.16,322778.39,319903.58,314805.78,331442.06,335988.4,344297.45,341081.22,366175.93,436579.66,433706.75,430519.55 e
Annual,18000.0,PROD_BP,MIO_EUR,EE,924.05,900.22,935.08,749.73,885.85,859.23,997.64,995.34,1129.16,1630.46,1312.78,1287.89 e
Annual,18000.0,PROD_BP,MIO_EUR,EL,10568.71,10755.05,11465.7,10890.97,11575.4,11312.31,11716.81,11677.16,12120.7,14600.71,14246.66,15261.03 e
Annual,18000.0,PROD_BP,MIO_EUR,ES,44064.65,43993.75,45642.0,48411.62,50640.76,52144.46,51788.97,51787.22,57253.2,63068.36,65612.8,68430.43 e
Annual,18000.0,PROD_BP,MIO_EUR,EU27_2020,403993.49,397123.59,390893.6,385805.88,408601.05,413419.03,424770.73,420250.13,455631.66,545440.94,536924.84,528962.18 e
Annual,18000.0,PROD_BP,MIO_EUR,FI,4963.79,4815.96,4537.2,4532.4,4474.02,4588.13,5120.87,4813.15,4676.14,5824.62,5476.0,5393.90 e
Annual,18000.0,PROD_BP,MIO_EUR,FR,74184.7,75335.0,75212.77,70485.7,73152.38,78139.89,77792.69,76769.48,81310.16,97344.81,95775.66,88398.98 e
Annual,18000.0,PROD_BP,MIO_EUR,HR,2414.66,2041.24,2090.25,2183.63,2203.85,2333.15,2423.46,2422.11,2747.98,3245.19,2840.33,2830.48 e
Annual,18000.0,PROD_BP,MIO_EUR,HU,7810.54,7957.04,8007.95,8300.48,8387.2,8427.85,8669.15,8398.47,9520.94,10398.36,11547.65,10622.40 e
Annual,18000.0,PROD_BP,MIO_EUR,IE,7671.58,7293.93,7404.18,7444.21,8533.21,8657.61,8498.24,8930.89,10133.24,12922.13,11299.46,11729.66 e
Annual,18000.0,PROD_BP,MIO_EUR,IS,376.06,427.83,441.36,471.15,521.92,473.84,461.84,442.99,476.41,576.26,600.96,604.74 e
Annual,18000.0,PROD_BP,MIO_EUR,IT,58085.65,54892.02,56375.19,54402.9,56084.92,58631.67,58240.73,57866.11,61768.57,72678.76,72964.72,74591.51 e
Annual,18000.0,PROD_BP,MIO_EUR,LT,2855.9,2805.94,2971.81,2834.78,3141.64,2907.68,3209.39,3486.41,3743.25,5321.49,4379.18,4359.87 e
Annual,18000.0,PROD_BP,MIO_EUR,LU,422.1,457.87,404.28,406.33,429.51,435.49,442.79,440.4,501.52,597.24,599.69,636.46 e
Annual,18000.0,PROD_BP,MIO_EUR,LV,1299.34,1315.32,1435.44,1315.9,1407.32,1345.38,1629.33,1727.16,1769.09,2354.77,1874.23,2006.89 e
Annual,18000.0,PROD_BP,MIO_EUR,MT,131.95,126.75,129.03,126.53,121.78,121.17,126.4,121.09,122.37,135.51,138.74,133.35 e
Annual,18000.0,PROD_BP,MIO_EUR,NL,31717.6,30570.86,30143.21,30488.19,32031.91,31420.89,32755.31,31724.4,34405.55,40556.2,41461.98,41038.96 e
