Time frequency,Entity,Balance of payments indicator,Foreign direct investment item,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,0.2,-0.3,-0.9,-8.6,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,5.2,-1.5,6.9,10.1,2.9,7.1,3.3,2.1,1.8,0.0,3.7
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,1.7,0.6,2.3,1.3,1.8,1.0,1.7,2.4,1.2,2.7,2.1
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,:,:,:,:,:,:,-10.6,-12.6,-17.3,-8.9,0.0
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Cyprus,110.4,232.5,139.3,11.7,101.9,258.5,454.7,-369.5,4.7,13.4,-36.0
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Czechia,1.8,1.3,0.8,3.0,3.9,3.9,2.8,2.5,2.9,2.5,2.2
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Germany,0.7,1.0,1.4,1.3,1.8,2.2,2.6,1.4,2.3,2.1,1.5
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Denmark,1.1,0.5,1.4,3.9,1.6,1.2,-2.3,1.0,4.4,2.2,1.8
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Estonia,2.5,1.3,0.4,3.1,5.2,2.6,8.1,6.2,-0.8,2.7,7.3
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Greece,0.4,1.2,0.7,0.3,0.9,1.0,1.4,1.0,1.7,2.6,2.0
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Spain,1.7,2.2,2.1,3.1,3.9,3.4,1.8,1.9,1.9,3.7,2.6
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,European Union - 27 countries (from 2020),7.9,4.0,9.9,5.1,3.2,-3.0,2.0,-0.2,1.2,-0.1,-1.5
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Finland,-0.5,3.6,-2.9,6.9,0.5,1.7,3.6,0.9,3.9,3.8,1.9
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,France,1.2,1.0,2.8,1.8,1.3,2.3,1.4,0.6,1.5,2.3,1.9
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Croatia,0.3,3.9,1.6,0.9,1.4,2.0,1.7,1.5,3.1,2.1,3.0
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Hungary,-1.9,5.1,-23.7,36.2,0.6,-46.2,42.6,58.3,10.2,3.3,-18.3
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Ireland,14.5,17.2,63.4,10.2,9.8,-0.1,24.3,11.3,2.4,-7.8,0.8
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Iceland,:,:,:,:,:,:,:,:,1.0,1.7,2.7
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Italy,1.1,1.1,1.1,1.2,1.2,1.6,1.1,-0.5,0.6,1.2,1.2
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Lithuania,0.8,-0.1,1.7,0.4,1.2,1.5,4.3,5.6,2.9,3.0,2.3
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Luxembourg,841.8,333.0,997.4,207.3,88.5,-706.2,-259.4,53.1,-133.7,-438.4,-354.8
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Latvia,2.2,2.4,1.5,0.8,1.5,1.8,1.2,1.9,7.4,2.1,2.5
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Montenegro,5.2,5.7,8.8,0.5,5.9,5.4,4.4,5.5,6.1,7.5,3.9
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,North Macedonia,:,:,:,:,:,:,:,:,:,3.2,2.3
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Malta,68.0,57.6,-2.6,-6.5,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Netherlands,48.1,14.6,43.4,34.8,8.7,-35.8,-5.5,-32.2,-10.8,-3.9,-24.1
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Norway,:,:,:,:,:,:,:,:,:,3.9,2.9
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Poland,0.2,1.7,2.0,3.0,1.2,1.5,1.4,1.4,2.5,3.0,2.3
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Portugal,2.4,0.4,3.3,1.7,1.7,1.8,3.4,2.1,2.3,3.1,2.6
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Romania,0.9,0.7,1.2,1.3,1.3,1.4,1.2,0.7,1.9,2.1,1.1
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Serbia,:,:,:,:,:,:,:,:,:,3.6,3.2
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Sweden,2.9,1.1,2.1,2.3,3.7,2.0,2.4,3.9,4.3,10.5,6.2
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Slovenia,-0.4,1.3,2.3,1.7,1.3,1.6,1.9,0.7,2.6,2.4,1.7
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Slovakia,-0.5,-0.2,0.1,0.5,2.8,0.9,1.2,-1.0,0.9,1.8,0.1
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Türkiye,:,:,:,:,:,:,:,:,1.0,1.0,0.7
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,United Kingdom,1.8,-1.4,-0.5,3.3,3.5,1.9,0.3,:,:,:,:
Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Kosovo*,:,:,:,:,:,:,:,:,:,5.1,5.3
