Time frequency,Unit of measure,Severity (days lost),sizeclas,nace_r1,geo\TIME_PERIOD,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Number,4 days or over,0.0,A,EU15_NO,6102.0,4003.0,4051.0,3869.0,3170.0,9471.0,8400.0,4753.0,3953.0,4069.0,3925.0,3863 p
Annual,Number,4 days or over,0.0,A_D-K,EU15_NO,134137.0,106805.0,107129.0,101071.0,85975.0,216845.0,182341.0,109849.0,55001.0,66600.0,59498.0,55525 p
Annual,Number,4 days or over,0.0,D,EU15_NO,37583.0,28460.0,28433.0,25599.0,20516.0,49709.0,41339.0,25144.0,11988.0,13252.0,10895.0,9998 p
Annual,Number,4 days or over,0.0,E,EU15_NO,375.0,93.0,131.0,63.0,41.0,625.0,552.0,246.0,25.0,65.0,84.0,79 p
Annual,Number,4 days or over,0.0,F,EU15_NO,45756.0,39607.0,40052.0,37806.0,33511.0,74725.0,62212.0,39099.0,22947.0,25440.0,24456.0,22937 p
Annual,Number,4 days or over,0.0,G,EU15_NO,18630.0,14502.0,14152.0,12900.0,11101.0,28521.0,24937.0,14271.0,6830.0,8256.0,7567.0,6748 p
Annual,Number,4 days or over,0.0,H,EU15_NO,3615.0,2253.0,2442.0,2496.0,1642.0,11416.0,9912.0,4982.0,1136.0,3592.0,2636.0,2809 p
Annual,Number,4 days or over,0.0,I,EU15_NO,14440.0,12927.0,12720.0,12376.0,10394.0,20473.0,15853.0,11305.0,5785.0,8837.0,6928.0,6284 p
Annual,Number,4 days or over,0.0,J_K,EU15_NO,6836.0,4960.0,5148.0,5962.0,5601.0,21904.0,19135.0,10049.0,2336.0,3089.0,3006.0,2807 p
Annual,Number,4 days or over,0.0,TOTAL,EU15_NO,149972.0,119938.0,120974.0,115724.0,99090.0,253496.0,215492.0,131616.0,65558.0,79936.0,71900.0,68935 p
Annual,Number,4 days or over,1-9,A,EU15_NO,31746.0,34789.0,36679.0,35308.0,33725.0,32492.0,33608.0,33615.0,34398.0,34282.0,12670.0,11275 p
Annual,Number,4 days or over,1-9,A_D-K,EU15_NO,448622.0,451727.0,479083.0,484523.0,497707.0,491010.0,482162.0,484776.0,479835.0,652597.0,602272.0,595494 p
Annual,Number,4 days or over,1-9,D,EU15_NO,116541.0,115579.0,120579.0,116452.0,117463.0,113067.0,103364.0,103056.0,100922.0,129373.0,117619.0,118341 p
Annual,Number,4 days or over,1-9,E,EU15_NO,735.0,1014.0,1111.0,941.0,1287.0,1150.0,912.0,1036.0,1117.0,1900.0,1659.0,1682 p
Annual,Number,4 days or over,1-9,F,EU15_NO,136208.0,138643.0,146684.0,153105.0,161398.0,161578.0,161192.0,166256.0,165261.0,233215.0,223033.0,222408 p
Annual,Number,4 days or over,1-9,G,EU15_NO,83171.0,82738.0,87569.0,88104.0,89636.0,88461.0,89166.0,86710.0,84870.0,113973.0,106535.0,104380 p
Annual,Number,4 days or over,1-9,H,EU15_NO,32335.0,32422.0,34609.0,35284.0,36858.0,35934.0,35851.0,36541.0,38692.0,61098.0,61034.0,59200 p
Annual,Number,4 days or over,1-9,I,EU15_NO,24063.0,25691.0,28402.0,29503.0,29647.0,29302.0,29085.0,28620.0,29037.0,42470.0,43528.0,41055 p
Annual,Number,4 days or over,1-9,J_K,EU15_NO,19662.0,20851.0,23450.0,25826.0,27692.0,29025.0,28984.0,28942.0,25537.0,36286.0,36195.0,37155 p
Annual,Number,4 days or over,1-9,TOTAL,EU15_NO,487583.0,495132.0,524250.0,531649.0,546431.0,534494.0,527040.0,530001.0,522670.0,718916.0,661282.0,656398 p
Annual,Number,4 days or over,10-49,A,EU15_NO,11000.0,11409.0,12929.0,12112.0,10185.0,9369.0,9742.0,11816.0,11966.0,12446.0,9708.0,9294 p
Annual,Number,4 days or over,10-49,A_D-K,EU15_NO,479245.0,489999.0,534426.0,552325.0,575289.0,573039.0,611977.0,609858.0,613847.0,796790.0,785458.0,799985 p
Annual,Number,4 days or over,10-49,D,EU15_NO,184148.0,188540.0,202683.0,203084.0,206133.0,199451.0,201386.0,193760.0,192168.0,241834.0,237581.0,239301 p
Annual,Number,4 days or over,10-49,E,EU15_NO,2058.0,2690.0,2804.0,2457.0,3119.0,2616.0,2597.0,2785.0,2953.0,4110.0,4101.0,3849 p
Annual,Number,4 days or over,10-49,F,EU15_NO,117045.0,119437.0,133710.0,140957.0,151813.0,156528.0,166830.0,171985.0,177282.0,231459.0,232796.0,234809 p
Annual,Number,4 days or over,10-49,G,EU15_NO,74386.0,75184.0,80420.0,84214.0,88918.0,88287.0,98442.0,98570.0,95931.0,126495.0,123838.0,124828 p
Annual,Number,4 days or over,10-49,H,EU15_NO,27345.0,27768.0,30207.0,33420.0,35260.0,35398.0,39367.0,39116.0,41163.0,56914.0,55936.0,60376 p
Annual,Number,4 days or over,10-49,I,EU15_NO,34266.0,35955.0,39287.0,41944.0,43598.0,43826.0,49971.0,48101.0,50162.0,72429.0,70631.0,74847 p
Annual,Number,4 days or over,10-49,J_K,EU15_NO,27555.0,29016.0,32386.0,34137.0,36261.0,37563.0,43643.0,43725.0,42222.0,51104.0,50865.0,52681 p
Annual,Number,4 days or over,10-49,TOTAL,EU15_NO,539912.0,558450.0,605380.0,628857.0,656584.0,648365.0,696282.0,699668.0,707994.0,919854.0,903825.0,927611 p
Annual,Number,4 days or over,250-499,A,EU15_NO,1888.0,2394.0,2886.0,2256.0,2088.0,1787.0,2136.0,2658.0,2316.0,2320.0,1808.0,1770 p
Annual,Number,4 days or over,250-499,A_D-K,EU15_NO,112077.0,122231.0,132873.0,138897.0,143420.0,136677.0,135616.0,130547.0,127899.0,177573.0,179556.0,178593 p
Annual,Number,4 days or over,250-499,D,EU15_NO,62350.0,69260.0,73204.0,69243.0,70225.0,64547.0,61887.0,57821.0,56270.0,81962.0,80322.0,78920 p
Annual,Number,4 days or over,250-499,E,EU15_NO,1135.0,1860.0,2006.0,1412.0,1324.0,1103.0,1195.0,1319.0,1328.0,1678.0,1668.0,1646 p
Annual,Number,4 days or over,250-499,F,EU15_NO,8206.0,8481.0,9735.0,9907.0,9978.0,9331.0,8786.0,9184.0,8791.0,10923.0,12774.0,11919 p
Annual,Number,4 days or over,250-499,G,EU15_NO,13882.0,13763.0,15193.0,17202.0,18719.0,19375.0,20713.0,21547.0,21772.0,25885.0,25626.0,25452 p
Annual,Number,4 days or over,250-499,H,EU15_NO,3169.0,2989.0,3354.0,3586.0,3813.0,3677.0,4277.0,4706.0,5177.0,4886.0,5283.0,5741 p
Annual,Number,4 days or over,250-499,I,EU15_NO,7845.0,9008.0,10005.0,10913.0,11833.0,11303.0,10851.0,11552.0,12005.0,16296.0,16325.0,17091 p
Annual,Number,4 days or over,250-499,J_K,EU15_NO,13354.0,14476.0,16490.0,24378.0,25441.0,25553.0,25770.0,21760.0,20239.0,33623.0,35751.0,36052 p
Annual,Number,4 days or over,250-499,TOTAL,EU15_NO,133329.0,145863.0,156666.0,164934.0,170511.0,160269.0,160328.0,157092.0,156903.0,218361.0,219989.0,221186 p
Annual,Number,4 days or over,50-249,A,EU15_NO,8043.0,8842.0,9179.0,9735.0,8642.0,7767.0,8174.0,9562.0,9418.0,10842.0,7278.0,6680 p
Annual,Number,4 days or over,50-249,A_D-K,EU15_NO,381203.0,400292.0,433630.0,459513.0,477682.0,469954.0,496142.0,488967.0,476787.0,632283.0,637131.0,601134 p
Annual,Number,4 days or over,50-249,D,EU15_NO,183454.0,195304.0,208798.0,207236.0,213030.0,201706.0,204766.0,196393.0,187946.0,256830.0,262788.0,246796 p
Annual,Number,4 days or over,50-249,E,EU15_NO,2794.0,3936.0,3893.0,3647.0,4012.0,3384.0,3716.0,3819.0,3919.0,5476.0,5044.0,4237 p
Annual,Number,4 days or over,50-249,F,EU15_NO,51205.0,52404.0,60489.0,62863.0,66725.0,68733.0,74291.0,75554.0,76372.0,91631.0,92293.0,83313 p
Annual,Number,4 days or over,50-249,G,EU15_NO,43575.0,44559.0,47475.0,50904.0,53772.0,55943.0,62281.0,65337.0,63308.0,85537.0,83478.0,79827 p
Annual,Number,4 days or over,50-249,H,EU15_NO,14243.0,14373.0,16295.0,18411.0,19674.0,19277.0,21713.0,21213.0,22091.0,28470.0,27064.0,25982 p
Annual,Number,4 days or over,50-249,I,EU15_NO,27517.0,30179.0,32286.0,37011.0,37581.0,35563.0,40966.0,41818.0,42037.0,63657.0,66242.0,61299 p
Annual,Number,4 days or over,50-249,J_K,EU15_NO,49318.0,50695.0,55215.0,69706.0,74245.0,77581.0,80235.0,75270.0,71695.0,89839.0,92945.0,93000 p
Annual,Number,4 days or over,50-249,TOTAL,EU15_NO,443955.0,469823.0,510401.0,542374.0,565877.0,550765.0,593574.0,590134.0,578828.0,778136.0,778233.0,733884 p
Annual,Number,4 days or over,GE250,A,EU15_NO,3568.0,4492.0,5274.0,4487.0,4473.0,3809.0,4269.0,5189.0,4806.0,5614.0,5414.0,5003 p
Annual,Number,4 days or over,GE250,A_D-K,EU15_NO,267382.0,287089.0,307227.0,327971.0,347063.0,321634.0,321481.0,303837.0,310500.0,482172.0,489794.0,492577 p
Annual,Number,4 days or over,GE250,D,EU15_NO,136302.0,146566.0,153293.0,145440.0,147719.0,139757.0,129012.0,119241.0,119552.0,196302.0,194077.0,189984 p
Annual,Number,4 days or over,GE250,E,EU15_NO,7107.0,7540.0,7779.0,6203.0,5775.0,5075.0,5096.0,4798.0,4766.0,6813.0,4653.0,4540 p
Annual,Number,4 days or over,GE250,F,EU15_NO,16255.0,16101.0,17078.0,17902.0,17689.0,16065.0,15510.0,14857.0,14676.0,22850.0,22899.0,22306 p
Annual,Number,4 days or over,GE250,G,EU15_NO,33877.0,33942.0,37643.0,42744.0,46425.0,44555.0,51471.0,51015.0,54218.0,78792.0,77366.0,79242 p
Annual,Number,4 days or over,GE250,H,EU15_NO,9177.0,9396.0,10968.0,12278.0,13405.0,12046.0,13359.0,14466.0,14766.0,14109.0,15689.0,15246 p
Annual,Number,4 days or over,GE250,I,EU15_NO,29154.0,30868.0,32728.0,43537.0,49417.0,46106.0,49028.0,51249.0,57035.0,72200.0,73530.0,72681 p
Annual,Number,4 days or over,GE250,J_K,EU15_NO,31474.0,38184.0,42464.0,55380.0,62161.0,54221.0,53735.0,43022.0,40682.0,85492.0,96166.0,103575 p
Annual,Number,4 days or over,GE250,TOTAL,EU15_NO,351805.0,378064.0,401180.0,425474.0,445584.0,419605.0,416429.0,402573.0,415899.0,655744.0,660505.0,664068 p
Annual,Number,4 days or over,GE500,A,EU15_NO,1680.0,2098.0,2388.0,2231.0,2385.0,2021.0,2133.0,2531.0,2490.0,3293.0,3606.0,3232 p
Annual,Number,4 days or over,GE500,A_D-K,EU15_NO,155305.0,164858.0,174354.0,189074.0,203643.0,184957.0,185865.0,173291.0,182601.0,304599.0,310238.0,313985 p
Annual,Number,4 days or over,GE500,D,EU15_NO,73952.0,77306.0,80089.0,76197.0,77494.0,75209.0,67125.0,61419.0,63281.0,114340.0,113755.0,111064 p
Annual,Number,4 days or over,GE500,E,EU15_NO,5972.0,5680.0,5773.0,4791.0,4451.0,3971.0,3901.0,3479.0,3437.0,5135.0,2985.0,2894 p
Annual,Number,4 days or over,GE500,F,EU15_NO,8049.0,7620.0,7343.0,7995.0,7711.0,6734.0,6724.0,5673.0,5885.0,11928.0,10125.0,10387 p
Annual,Number,4 days or over,GE500,G,EU15_NO,19995.0,20179.0,22450.0,25542.0,27706.0,25179.0,30758.0,29468.0,32446.0,52907.0,51740.0,53790 p
Annual,Number,4 days or over,GE500,H,EU15_NO,6008.0,6407.0,7614.0,8692.0,9592.0,8369.0,9082.0,9760.0,9589.0,9223.0,10407.0,9505 p
Annual,Number,4 days or over,GE500,I,EU15_NO,21309.0,21860.0,22723.0,32624.0,37584.0,34803.0,38177.0,39698.0,45030.0,55904.0,57206.0,55590 p
Annual,Number,4 days or over,GE500,J_K,EU15_NO,18120.0,23708.0,25974.0,31002.0,36720.0,28668.0,27965.0,21263.0,20442.0,51870.0,60416.0,67523 p
Annual,Number,4 days or over,GE500,TOTAL,EU15_NO,218476.0,232201.0,244514.0,260540.0,275073.0,259336.0,256101.0,245481.0,258996.0,437382.0,440516.0,442882 p
Annual,Number,4 days or over,TOTAL,A,EU15_NO,362241.0,352013.0,346934.0,362931.0,342588.0,319215.0,284998.0,271568.0,260458.0,233072.0,200809.0,179078 p
Annual,Number,4 days or over,TOTAL,A_D-K,EU15_NO,4010391.0,3938564.0,4002123.0,4108755.0,4131112.0,4022507.0,3729775.0,3522747.0,3345092.0,3315074.0,3244222.0,3082443 p
Annual,Number,4 days or over,TOTAL,D,EU15_NO,1380485.0,1361948.0,1381397.0,1365190.0,1351293.0,1311366.0,1170136.0,1086018.0,1020907.0,986033.0,961533.0,893919 p
Annual,Number,4 days or over,TOTAL,E,EU15_NO,21319.0,21529.0,20825.0,17812.0,18505.0,16558.0,21596.0,21756.0,20902.0,21338.0,18501.0,17168 p
Annual,Number,4 days or over,TOTAL,F,EU15_NO,838895.0,833024.0,840198.0,854295.0,855708.0,834266.0,795229.0,761353.0,728945.0,735377.0,726078.0,680887 p
Annual,Number,4 days or over,TOTAL,G,EU15_NO,494554.0,488016.0,504301.0,530309.0,547658.0,537176.0,548073.0,520314.0,495037.0,503122.0,487309.0,470551 p
Annual,Number,4 days or over,TOTAL,H,EU15_NO,177782.0,182052.0,189210.0,202638.0,215111.0,207984.0,201984.0,198518.0,193351.0,198097.0,195250.0,189581 p
Annual,Number,4 days or over,TOTAL,I,EU15_NO,445853.0,442782.0,446888.0,453407.0,457192.0,446806.0,350334.0,320748.0,320710.0,321941.0,324388.0,313254 p
Annual,Number,4 days or over,TOTAL,J_K,EU15_NO,241782.0,257200.0,272370.0,322173.0,343058.0,349135.0,357425.0,342473.0,304781.0,316095.0,330355.0,338005 p
Annual,Number,4 days or over,TOTAL,TOTAL,EU15_NO,4832329.0,4695933.0,4766484.0,4871588.0,4904162.0,4779030.0,4479911.0,4244294.0,4035176.0,4048491.0,3955793.0,3808859 p
Annual,Number,4 days or over,UNK,A,EU15_NO,301782.0,288478.0,278822.0,297420.0,282393.0,256306.0,220806.0,206633.0,195918.0,165819.0,161813.0,142963 p
Annual,Number,4 days or over,UNK,A_D-K,EU15_NO,2299802.0,2202652.0,2140628.0,2183352.0,2147396.0,1950026.0,1635673.0,1525459.0,1409123.0,684632.0,670069.0,537728 p
Annual,Number,4 days or over,UNK,D,EU15_NO,722457.0,687499.0,667611.0,667379.0,646431.0,607677.0,490268.0,448423.0,408331.0,148442.0,138574.0,89499 p
Annual,Number,4 days or over,UNK,E,EU15_NO,8250.0,6256.0,5107.0,4501.0,4271.0,3708.0,8724.0,9072.0,8122.0,2974.0,2961.0,2782 p
Annual,Number,4 days or over,UNK,F,EU15_NO,472426.0,466832.0,442185.0,441662.0,424571.0,356637.0,315194.0,293603.0,272407.0,130782.0,130601.0,95114 p
Annual,Number,4 days or over,UNK,G,EU15_NO,240915.0,237091.0,237042.0,251443.0,257805.0,231408.0,221776.0,204409.0,189880.0,90069.0,88525.0,75527 p
Annual,Number,4 days or over,UNK,H,EU15_NO,91067.0,95840.0,94689.0,100749.0,108272.0,93913.0,81781.0,82199.0,75503.0,33914.0,32890.0,25968 p
Annual,Number,4 days or over,UNK,I,EU15_NO,316413.0,307162.0,301465.0,289036.0,286555.0,271536.0,165431.0,139654.0,136653.0,62348.0,63528.0,57089 p
Annual,Number,4 days or over,UNK,J_K,EU15_NO,106937.0,113494.0,113707.0,131162.0,137097.0,128841.0,131693.0,141466.0,122310.0,50284.0,51177.0,48787 p
