Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Austria,:,87.0
Annual,Participation rate (%),Belgium,88.8,91.0
Annual,Participation rate (%),Bulgaria,91.7,:
Annual,Participation rate (%),Germany,84.2,89.4
Annual,Participation rate (%),Estonia,89.7,89.5
Annual,Participation rate (%),Greece,:,95.1
Annual,Participation rate (%),Spain,91.2,88.7
Annual,Participation rate (%),Finland,89.8,92.5
Annual,Participation rate (%),France,86.5,84.2
Annual,Participation rate (%),Hungary,:,90.1
Annual,Participation rate (%),Italy,92.4,84.5
Annual,Participation rate (%),Lithuania,92.8,:
Annual,Participation rate (%),Luxembourg,:,89.0
Annual,Participation rate (%),Latvia,86.4,:
Annual,Participation rate (%),Netherlands,:,89.6
Annual,Participation rate (%),Norway,88.1,90.8
Annual,Participation rate (%),Poland,93.4,91.6
Annual,Participation rate (%),Romania,:,91.5
Annual,Participation rate (%),Serbia,:,92.9
Annual,Participation rate (%),Slovenia,87.5,:
Annual,Participation rate (%),Türkiye,:,85.1
Annual,Participation rate (%),United Kingdom,92.3,89.6
Annual,Participation time (hh:mm),Austria,:,2:39
Annual,Participation time (hh:mm),Belgium,3:16,3:17
Annual,Participation time (hh:mm),Bulgaria,3:08,:
Annual,Participation time (hh:mm),Germany,2:45,3:04
Annual,Participation time (hh:mm),Estonia,2:49,3:05
Annual,Participation time (hh:mm),Greece,:,3:14
Annual,Participation time (hh:mm),Spain,2:54,2:53
Annual,Participation time (hh:mm),Finland,2:53,3:05
Annual,Participation time (hh:mm),France,3:24,3:00
Annual,Participation time (hh:mm),Hungary,:,3:06
Annual,Participation time (hh:mm),Italy,3:08,2:18
Annual,Participation time (hh:mm),Lithuania,2:51,:
Annual,Participation time (hh:mm),Luxembourg,:,2:50
Annual,Participation time (hh:mm),Latvia,2:39,:
Annual,Participation time (hh:mm),Netherlands,:,2:59
Annual,Participation time (hh:mm),Norway,2:33,2:46
Annual,Participation time (hh:mm),Poland,2:48,2:48
Annual,Participation time (hh:mm),Romania,:,2:43
Annual,Participation time (hh:mm),Serbia,:,3:02
Annual,Participation time (hh:mm),Slovenia,2:29,:
Annual,Participation time (hh:mm),Türkiye,:,2:41
Annual,Participation time (hh:mm),United Kingdom,3:10,3:10
Annual,Time spent (hh:mm),Austria,:,2:19
Annual,Time spent (hh:mm),Belgium,2:58,2:59
Annual,Time spent (hh:mm),Bulgaria,2:53,:
Annual,Time spent (hh:mm),Germany,2:20,2:45
Annual,Time spent (hh:mm),Estonia,2:31,2:46
Annual,Time spent (hh:mm),Greece,:,3:04
Annual,Time spent (hh:mm),Spain,2:38,2:33
Annual,Time spent (hh:mm),Finland,2:34,2:51
Annual,Time spent (hh:mm),France,2:56,2:32
Annual,Time spent (hh:mm),Hungary,:,2:48
Annual,Time spent (hh:mm),Italy,2:55,1:56
Annual,Time spent (hh:mm),Lithuania,2:39,:
Annual,Time spent (hh:mm),Luxembourg,:,2:31
Annual,Time spent (hh:mm),Latvia,2:19,:
Annual,Time spent (hh:mm),Netherlands,:,2:40
Annual,Time spent (hh:mm),Norway,2:14,2:31
Annual,Time spent (hh:mm),Poland,2:37,2:34
Annual,Time spent (hh:mm),Romania,:,2:29
Annual,Time spent (hh:mm),Serbia,:,2:49
Annual,Time spent (hh:mm),Slovenia,2:11,:
Annual,Time spent (hh:mm),Türkiye,:,2:17
Annual,Time spent (hh:mm),United Kingdom,2:56,2:50
