Time frequency,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 15 to 74 years,Three-year average,Total,Austria,:,:,:,:,:,:,:,:,5.3,5.1,5.3,5.6,5.9,6.2,6.2,5.9,5.3,5.3,5.7,5.7,5.4
Annual,From 15 to 74 years,Three-year average,Total,Belgium,:,:,:,:,:,:,:,:,7.9,7.7,7.8,8.3,8.7,8.4,7.9 b,7.0 b,6.2 b,5.8,5.9,5.9,5.8
Annual,From 15 to 74 years,Three-year average,Total,Bulgaria,:,:,:,:,:,:,:,: b,10.5 b,12.3 b,13.2 b,13.2,12.1,10.4,8.6,7.3,6.2 b,5.8 b,5.5 b,5.2,4.6
Annual,From 15 to 74 years,Three-year average,Total,Cyprus,:,:,:,:,:,:,:,:,6.5,8.7,11.9,14.6,15.7,14.7,13.0,10.8,8.9,7.7,7.3,7.0,6.4
Annual,From 15 to 74 years,Three-year average,Total,Czechia,:,:,:,:,:,:,:,:,6.9 b,7.0 b,6.9 b,6.7,6.1,5.1,4.0,3.0,2.4,2.3,2.5,2.5,2.5
Annual,From 15 to 74 years,Three-year average,Total,Germany,:,:,:,:,:,:,:,: b,6.5 b,5.7 b,5.2 b,4.9,4.7,4.3,4.0,3.6,3.3,3.3 b,3.5 b,3.5 b,3.3
Annual,From 15 to 74 years,Three-year average,Total,Denmark,:,:,:,:,:,:,:,:,7.3,7.8,7.7,7.4,6.9,6.4 b,6.0 b,5.6 b,5.3 b,5.2,5.2,5.1,4.9 b
Annual,From 15 to 74 years,Three-year average,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,10.1,10.7,11.3,11.8,11.6,10.9,10.1,9.1,8.3,7.9,7.8,7.5,7.1
Annual,From 15 to 74 years,Three-year average,Total,Estonia,:,:,:,:,:,:,:,:,14.1,12.9,10.3,8.6,7.4,6.8,6.3,6.0,5.2,5.6,5.9,6.2,6.1
Annual,From 15 to 74 years,Three-year average,Total,Greece,:,:,:,:,:,:,:,:,13.6,18.6,23.6,26.4,26.5,25.2,23.6,21.8,19.8,18.4,16.7,14.9,12.8
Annual,From 15 to 74 years,Three-year average,Total,Spain,:,:,:,:,:,:,:,:,19.7,22.0,24.1,25.1,24.2,22.1,19.6,17.4,15.5,15.0,14.8 d,14.5 d,13.4 d
Annual,From 15 to 74 years,Three-year average,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,9.8,10.4,10.9,11.2,10.9,10.2,9.3,8.3,7.5,7.1,7.0,6.8,6.5
Annual,From 15 to 74 years,Three-year average,Total,Finland,:,:,:,:,:,:,:,:,8.3,8.2,8.1,8.3,8.8,9.0,9.0,8.4,7.7,7.3,7.4,7.4,7.2
Annual,From 15 to 74 years,Three-year average,Total,France,:,:,8.8,8.9,8.6,8.1,8.2,8.6,9.2,9.4,9.8,10.1,10.3,10.2,9.9,9.5,8.9,8.5,8.1 d,7.7 d,7.5 d
Annual,From 15 to 74 years,Three-year average,Total,Croatia,:,:,:,:,:,:,:,:,11.5,13.8 b,15.7 b,16.9 b,16.9,15.5,13.4,10.8,8.7,7.4,7.2,7.2,6.8
Annual,From 15 to 74 years,Three-year average,Total,Hungary,:,:,:,:,:,:,:,:,10.4,10.7,10.4,9.3,8.0,6.4,5.2,4.2 b,3.6 b,3.7 b,3.8,3.9,3.9
Annual,From 15 to 74 years,Three-year average,Total,Ireland,:,:,:,:,:,:,:,:,14.2,15.2,14.9,13.7,11.9,10.1,8.3,7.0,5.8,5.6,5.7 b,5.5 b,5.0 b
Annual,From 15 to 74 years,Three-year average,Total,Italy,:,:,:,:,:,:,:,:,8.3,9.3,10.6,12.1,12.4,12.2,11.7,11.2 b,10.6 b,9.9 b,9.6,9.0,8.4
Annual,From 15 to 74 years,Three-year average,Total,Lithuania,:,:,:,:,:,:,:,:,15.7,15.5,13.5,12.0,10.5,9.2,8.0,7.1,6.5,7.0,7.3,7.2,6.7
Annual,From 15 to 74 years,Three-year average,Total,Luxembourg,:,:,:,:,:,:,:,:,4.8,4.8,5.3,5.6,6.2 b,6.3 b,6.2 b,5.8,5.6,6.0,5.9,5.6,5.0
