Time frequency,At risk of poverty or social exclusion - Yes/No,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Austria,3.7
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Belgium,3.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Bulgaria,0.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Cyprus,10.6
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Czechia,2.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Germany,3.8
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Denmark,7.5
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Euro area – 20 countries (from 2023),4.2
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Estonia,4.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Greece,1.3
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Spain,6.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,European Union - 27 countries (from 2020),3.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Finland,8.8
Annual,Not at risk of poverty or social exclusion,Females,Percentage,France,6.8
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Croatia,1.8 u
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Hungary,0.5
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Ireland,6.2 u
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Italy,1.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Lithuania,4.9 u
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Luxembourg,4.0
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Latvia,3.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Malta,3.1
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Netherlands,6.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Norway,5.2
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Poland,0.6 u
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Portugal,3.6
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Romania,1.9
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Sweden,7.6
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Slovenia,4.5
Annual,Not at risk of poverty or social exclusion,Females,Percentage,Slovakia,0.8
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Austria,4.6
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Belgium,2.6
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Bulgaria,0.8
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Cyprus,10.5
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Czechia,2.9
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Germany,3.8
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Denmark,7.4
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Euro area – 20 countries (from 2023),4.2
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Estonia,5.3
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Greece,1.5
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Spain,6.2
Annual,Not at risk of poverty or social exclusion,Males,Percentage,European Union - 27 countries (from 2020),3.9
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Finland,10.1
Annual,Not at risk of poverty or social exclusion,Males,Percentage,France,7.4
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Croatia,2.3 u
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Hungary,0.5
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Ireland,5.4 u
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Italy,1.1
Annual,Not at risk of poverty or social exclusion,Males,Percentage,Lithuania,5.2 u
