Time frequency,Sex,Age class,Number of children,Age of the child,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Austria,19.7,20.3 b,19.9,20.6,20.4,21.0,20.5,20.8,21.2,20.7,20.8,21.0,20.9,21.4,30.0,30.0 b,29.5,29.8
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.5 b,13.9,12.9
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Belgium,15.7,17.0,15.9,17.4,18.7,19.1 b,19.5,20.2,22.0,22.0,22.5,23.7 b,23.1,26.2,36.5,44.1 b,40.4,40.2
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Bulgaria,5.9,3.9,3.0 b,2.2,2.3 b,2.2 b,2.2,1.8,1.5,1.2 u,1.3,1.3,1.0,1.0 bu,4.1,8.2 b,5.4,3.0
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Cyprus,1.4,1.0 u,1.8,1.6 b,2.0,2.0,2.1,3.1,2.8,2.4,3.1,2.3,2.1,3.3,9.7,15.5 b,14.4,13.5
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Czechia,9.0,7.0,6.8,6.7,7.4,7.5 b,7.7,7.9,8.2,8.2,8.8,9.0,8.8,10.3,13.2,16.1 b,16.2,14.7
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Germany,12.2 b,12.8,13.6,12.3,12.2 b,11.0 b,10.9 b,10.6,10.5,10.8,10.6,10.7,11.5,12.7,21.6 b,27.0 b,26.0,26.2
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Denmark,: u,27.1 u,27.6 bu,29.8 u,33.8 b,33.0,32.2,33.7,28.1,29.6,36.1 b,31.1 b,30.2,31.1,40.2,42.0 b,37.8,40.6 b
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Euro area – 20 countries (from 2023),10.6,10.7,11.2,11.0,11.2,11.3,11.7,11.7,11.7,13.2,13.5,13.7,14.4,15.7,24.4,28.0 b,26.1,25.9
Annual,Females,From 25 to 54 years,Total,Total,Percentage,Estonia,9.6,8.1,7.0,10.5,12.7,13.0,13.0,13.6,14.1,13.9,15.8,17.7,22.9,23.8,29.0,33.1 b,32.3,34.9
