Time frequency,Survey on variables under vines,Wine-grape vine variety,Age class,Geopolitical entity (reporting)\Time,2009.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,Total,Cyprus,5580.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 10 to 19 years,Cyprus,700.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 20 to 29 years,Cyprus,401.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 3 to 5 years,Cyprus,420.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 3 to 9 years,Cyprus,993.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,From 6 to 9 years,Cyprus,573.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,20 years or over,Cyprus,3724.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,30 years or over,Cyprus,3323.0
Annual,Cultivated area under wine-grape vine varieties (ha),Total black individual varieties,Less than 3 years,Cyprus,163.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),Total,Cyprus,3324.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),From 10 to 19 years,Cyprus,55.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),From 20 to 29 years,Cyprus,106.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),From 3 to 5 years,Cyprus,42.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),From 3 to 9 years,Cyprus,88.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),From 6 to 9 years,Cyprus,46.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),20 years or over,Cyprus,3122.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),30 years or over,Cyprus,3016.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety),Less than 3 years,Cyprus,59.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,Total,Cyprus,251.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,From 10 to 19 years,Cyprus,1.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,From 20 to 29 years,Cyprus,11.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,From 3 to 5 years,Cyprus,74.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,From 3 to 9 years,Cyprus,96.0
Annual,Cultivated area under wine-grape vine varieties (ha),Mavro (local variety)-for quality wines,From 6 to 9 years,Cyprus,22.0
