Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Percentage,Austria,64.5
Annual,Industry (except construction),Percentage,Belgium,7.9
Annual,Industry (except construction),Percentage,Bulgaria,4.5
Annual,Industry (except construction),Percentage,Cyprus,1.4
Annual,Industry (except construction),Percentage,Czechia,5.5
Annual,Industry (except construction),Percentage,Germany,58.0
Annual,Industry (except construction),Percentage,Denmark,47.7
Annual,Industry (except construction),Percentage,Estonia,1.5
Annual,Industry (except construction),Percentage,Greece,2.6
Annual,Industry (except construction),Percentage,Spain,15.8
Annual,Industry (except construction),Percentage,European Union - 27 countries (from 2020),29.1
Annual,Industry (except construction),Percentage,European Union - 28 countries (2013-2020),31.0
Annual,Industry (except construction),Percentage,Finland,18.3
Annual,Industry (except construction),Percentage,France,36.7
Annual,Industry (except construction),Percentage,Hungary,5.7
Annual,Industry (except construction),Percentage,Ireland,25.8
Annual,Industry (except construction),Percentage,Italy,41.3
Annual,Industry (except construction),Percentage,Lithuania,18.5
Annual,Industry (except construction),Percentage,Luxembourg,21.9
Annual,Industry (except construction),Percentage,Latvia,6.2
Annual,Industry (except construction),Percentage,Malta,18.4
Annual,Industry (except construction),Percentage,Netherlands,40.5
Annual,Industry (except construction),Percentage,Norway,36.8
Annual,Industry (except construction),Percentage,Poland,10.5
Annual,Industry (except construction),Percentage,Portugal,4.8
Annual,Industry (except construction),Percentage,Romania,2.6
Annual,Industry (except construction),Percentage,Sweden,5.3
Annual,Industry (except construction),Percentage,Slovenia,9.0
Annual,Industry (except construction),Percentage,Slovakia,2.8
Annual,Industry (except construction),Percentage,United Kingdom,52.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Austria,48.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Belgium,9.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Bulgaria,4.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Cyprus,2.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Czechia,3.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Germany,55.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Denmark,45.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Estonia,1.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Greece,2.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Spain,14.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,European Union - 27 countries (from 2020),28.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,European Union - 28 countries (2013-2020),30.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Finland,17.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,France,37.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Hungary,6.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Ireland,24.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Italy,39.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Lithuania,16.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Luxembourg,27.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Latvia,5.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Malta,12.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Netherlands,41.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Norway,24.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Poland,8.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Portugal,5.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Romania,1.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Sweden,7.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Slovenia,9.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,Slovakia,1.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Percentage,United Kingdom,50.9
Annual,Construction,Percentage,Austria,81.5
Annual,Construction,Percentage,Belgium,16.3
Annual,Construction,Percentage,Bulgaria,3.4
Annual,Construction,Percentage,Cyprus,0.7
Annual,Construction,Percentage,Czechia,2.1
Annual,Construction,Percentage,Germany,74.1
Annual,Construction,Percentage,Denmark,72.6
Annual,Construction,Percentage,Estonia,1.1
Annual,Construction,Percentage,Greece,2.6
Annual,Construction,Percentage,Spain,13.1
Annual,Construction,Percentage,European Union - 27 countries (from 2020),37.7
Annual,Construction,Percentage,European Union - 28 countries (2013-2020),40.0
Annual,Construction,Percentage,Finland,21.3
Annual,Construction,Percentage,France,68.6
Annual,Construction,Percentage,Hungary,4.7
Annual,Construction,Percentage,Ireland,47.4
Annual,Construction,Percentage,Italy,49.5
Annual,Construction,Percentage,Lithuania,18.1
Annual,Construction,Percentage,Luxembourg,38.4
Annual,Construction,Percentage,Latvia,5.8
Annual,Construction,Percentage,Malta,10.4
Annual,Construction,Percentage,Netherlands,50.2
Annual,Construction,Percentage,Norway,54.6
Annual,Construction,Percentage,Poland,5.8
Annual,Construction,Percentage,Portugal,2.8
Annual,Construction,Percentage,Romania,0.7
Annual,Construction,Percentage,Sweden,28.9
Annual,Construction,Percentage,Slovenia,15.6
Annual,Construction,Percentage,Slovakia,2.6
Annual,Construction,Percentage,United Kingdom,66.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Austria,46.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Belgium,8.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Bulgaria,3.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Cyprus,3.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Czechia,2.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Germany,49.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Denmark,46.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Percentage,Estonia,1.5
