Time frequency,Unit of measure,Size classes in number of employees,Geopolitical entity (reporting)\Time,1980.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,From 1 to 5 employees,Romania,:,:,:,:,:,:,:,:,:,:,:,1332.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 1 to 5 employees,Sweden,:,:,:,:,:,:,9395.0,10316.0,10545.0,10995.0,10875.0,11051.0,11323.0,11397.0,10967.0,11058.0,11025.0,11075.0,10792.0,10562.0,10461.0,10536.0,10564.0,10559.0,10939.0,10723.0,10415.0,10522.0,10581.0,:
Annual,Number,From 1 to 5 employees,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,789.0,879.0,957.0,1013.0,1028.0,1056.0,1065.0,992.0,1123.0,1172.0,7755 b,7462.0,7205.0,8554.0,8111.0,7641.0,7459.0,7086.0
Annual,Number,From 1 to 5 employees,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,781.0,867.0,517.0,744.0,9466.0,17531.0,11557.0,11866.0,9010.0,:,:,:,7840.0,7480.0,10721.0,12047.0,12775.0
Annual,Number,From 1 to 5 employees,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,58991.0,53420.0,61095.0,60970.0,61335.0,60910.0,58910.0,56380.0,55325.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Austria,:,:,:,:,:,6287.0,:,:,:,:,:,:,8390.0,:,8359.0,10150.0,9902.0,9314.0,8857.0,10031.0,10353.0,10166.0,:,:,8789.0,8948.0,8758.0,8666.0,8484.0,8345.0
Annual,Number,From 10 to 19 employees,Switzerland,:,:,:,:,:,:,:,:,4595.0,:,:,:,4913.0,:,:,4841.0,:,:,5499.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,111.0,:,:,:,:,:,:,:,:,:,256.0,259.0,261.0,268.0,267.0,:,336.0,256.0
Annual,Number,From 10 to 19 employees,Czechia,:,:,:,:,:,:,:,:,:,:,:,18096.0,13347.0,13924.0,13934.4,14005.8,13579.5,13150.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Denmark,:,:,:,:,:,:,:,:,:,7475.0,6535.0,7328.0,7099.0,7162.0,7010.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2696.0,2908.0,2759.0,2955.0,3162.0,2225 e,2034.0,2853.0,3030.0
Annual,Number,From 10 to 19 employees,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34087.0,32868.0,35755.0,41287.0,42879.0,47178.0,41636.0,45575.0,48314.0,42761.0,40685.0,:,36766.0,:
Annual,Number,From 10 to 19 employees,Finland,:,:,:,:,:,:,:,:,:,:,3001.0,2887.0,3351.0,3824.0,4431.0,4742.0,4956.0,5617.0,5676.0,5900.0,6063.0,6023.0,6057.0,6673.0,7148.0,7148.0,6514.0,7098.0,7555.0,7009.0
Annual,Number,From 10 to 19 employees,France,:,:,:,:,:,33578.0,34118.0,34706.0,35009.0,36451.0,34685.0,34511.0,37674.0,35097.0,36004.0,41435.0,37299.0,40595.0,44228.0,42965 p,41000.0,40703.0,41902.0,42322.0,43244.0,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Croatia,:,:,:,:,:,:,:,:,:,52.0,116.0,65.0,220.0,310.0,306.0,448.0,425.0,457.0,384.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,4300.0,4290.0,4235.0,:,:,:,:,:,:,:,:,:,:,:,8441.0,8575.0,8542.0,8480 p
Annual,Number,From 10 to 19 employees,Ireland,:,:,:,:,:,:,:,:,:,:,1464.0,1537.0,1588.0,1646.0,1825.0,2119.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,175.0,148.0,115.0,76.0,133.0,126.0,97 e,167 e,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Italy,:,:,:,:,:,:,:,:,24928.0,:,:,:,:,:,:,:,:,:,:,32796.0,35801.0,37727.0,39877.0,41020.0,43550.0,45812.0,42409.0,43025.0,43985.0,41771.0
Annual,Number,From 10 to 19 employees,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,24.0,:,:,:,92.0,42.0,53.0,81.0,33.0,0.0,:,:,:,35.0,37.0,:,:,:
Annual,Number,From 10 to 19 employees,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,992.0,1396.0,2162.0,2427.0,2816.0,3215.0,3645.0,4130.0,4543.0,3994.0,4958.0,5813.0,6585.0,7271.0,6193.0,5612.0,6407.0,:
Annual,Number,From 10 to 19 employees,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,887.0,851.0,943.0,861.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,367.0,928.0,:,4619.0,5101.0,5192.0,2151.0,3042.0,3026.0,3711.0,3998.0,4085.0,4250.0,4576.0,3176.0,3043.0,3478.0,3848.0
Annual,Number,From 10 to 19 employees,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,164.0,90.0,149.0,85.0,117.0,76.0,129.0,160.0,:,:,303.0,459.0,522.0,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,510.0,495.0,451.0,624.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3827.0,:,:,:,:,4033 b,4252.0,4717.0,4615.0,4861.0,4612.0,4350.0,4504.0,4533.0
Annual,Number,From 10 to 19 employees,Poland,:,:,:,:,:,:,:,:,:,:,:,:,7712.0,8030.0,8806.0,9758.0,9556.0,11695.0,12405.0,12754.0,10837.0,10208.0,11632.0,: @C,: @C,14795.0,16388.0,22391.0,25046.0,28670.0
Annual,Number,From 10 to 19 employees,Portugal,:,:,:,:,:,:,:,:,:,3356.0,3355.0,3792.0,3376.0,5044.0,5228.0,5439.0,6210.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 10 to 19 employees,Romania,:,:,:,:,:,:,:,:,:,:,:,691.0,:,:,:,:,:,:,:,:,:,:,:,:,:,11604.0,12219.0,:,:,:
Annual,Number,From 10 to 19 employees,Sweden,:,:,:,:,:,:,7881.0,8580.0,8203.0,8264.0,8115.0,7878.0,8344.0,8429.0,8787.0,9120.0,9212.0,9514.0,9344.0,9228.0,9422.0,9246.0,9459.0,10323.0,10822.0,11320.0,10925.0,10439.0,10717.0,:
Annual,Number,From 10 to 19 employees,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,597.0,505.0,569.0,625.0,740.0,728.0,779.0,889.0,909.0,901.0,2054 b,2430.0,3093.0,3297.0,3026.0,2945.0,2849.0,3063.0
Annual,Number,From 10 to 19 employees,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,555.0,755.0,532.0,1216.0,5294.0,2374.0,1225.0,1309.0,1648.0,:,:,:,1819.0,3160.0,1213.0,765.0,698.0
Annual,Number,From 10 to 19 employees,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,30197.0,28920.0,31735.0,31260.0,30710.0,31220.0,30635.0,29220.0,28985.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Austria,:,:,:,:,:,6104.0,:,:,:,:,:,:,8019.0,:,10460.0,10026.0,9936.0,10963.0,12348.0,12403.0,12287.0,13369.0,:,:,13828.0,13318.0,12758.0,13009.0,14183.0,13914.0
Annual,Number,From 20 to 49 employees,Switzerland,:,:,:,:,:,:,:,:,6643.0,:,:,:,6287.0,:,:,5913.0,:,:,6869.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,206.0,:,:,:,:,:,:,:,:,:,258.0,261.0,262.0,266.0,332.0,:,212.0,250.0
Annual,Number,From 20 to 49 employees,Czechia,:,:,:,:,:,:,:,:,:,:,:,28975.0,11925.0,12441.0,12480.1,12592.1,12123.0,11710.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Denmark,:,:,:,:,:,:,:,:,:,8528.0,7510.0,8438.0,9244.0,9276.0,9426.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2651.0,2590.0,2791.0,3536.0,3419.0,2727 e,2666.0,2551.0,2758.0
Annual,Number,From 20 to 49 employees,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,31918.0,34617.0,39941.0,40642.0,49669.0,49674.0,51533.0,55788.0,59622.0,58757.0,46911.0,:,45027.0,:
Annual,Number,From 20 to 49 employees,Finland,:,:,:,:,:,:,:,:,:,:,2403.0,2552.0,2413.0,2755.0,3600.0,3270.0,3398.0,3708.0,3417.0,3714.0,3968.0,4207.0,4810.0,5014.0,5492.0,5458.0,5363.0,5451.0,5859.0,5945.0
Annual,Number,From 20 to 49 employees,France,:,:,:,:,:,60577.0,62994.0,64881.0,65789.0,63652.0,62211.0,62045.0,64930.0,66378.0,64719.0,69601.0,72855.0,76198.0,80724.0,79562 p,79495.0,80301.0,82585.0,80917.0,81265.0,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Croatia,:,:,:,:,:,:,:,:,:,371.0,375.0,394.0,365.0,544.0,650.0,425.0,771.0,605.0,651.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,6800.0,7595.0,7151.0,:,:,:,:,:,:,:,:,:,:,:,9388.0,8484.0,8924.0,9412 p
Annual,Number,From 20 to 49 employees,Ireland,:,:,:,:,:,:,:,:,:,:,1389.0,1480.0,1499.0,1719.0,1773.0,1854.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,320.0,304.0,235.0,386.0,285.0,302.0,196 e,241 e,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Italy,:,:,:,:,:,:,:,:,23688.0,:,:,:,:,:,:,:,:,:,:,32621.0,36680.0,38982.0,40250.0,41831.0,43699.0,47194.0,43552.0,44834.0,47175.0,46314.0
Annual,Number,From 20 to 49 employees,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,71.0,:,:,:,80.0,43.0,119.0,141.0,175.0,144.0,:,:,:,270.0,253.0,:,:,:
Annual,Number,From 20 to 49 employees,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,2353.0,2974.0,3192.0,2843.0,3856.0,4405.0,5217.0,5092.0,6979.0,6236.0,7240 p,8547.0,10865.0,10837.0,9389.0,8693.0,9608.0,:
Annual,Number,From 20 to 49 employees,Luxembourg,:,:,:,:,:,:,:,:,:,1369.0,:,:,:,:,:,1248.0,1175.0,1386.0,1485.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,1927.0,2328.0,2541.0,2179.0,2319.0,1576.0,2200.0,2475.0,3186.0,3386.0,3712.0,5100.0,5543.0,5628.0,4492.0,4920.0,5431.0,5811.0
Annual,Number,From 20 to 49 employees,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,463.0,373.0,268.0,171.0,128.0,192.0,118.0,158.0,:,:,408.0,360.0,483.0,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,752.0,931.0,670.0,968.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3771.0,:,:,:,:,3757 b,4212.0,4357.0,5185.0,5380.0,4916.0,5066.0,5037.0,5618.0
Annual,Number,From 20 to 49 employees,Poland,:,:,:,:,:,:,:,:,:,:,:,:,13793.0,15074.0,16184.0,16416.0,15473.0,15409.0,15789.0,14637.0,12634.0,13836.0,16400.0,18366.0,20963.0,23329.0,26343.0,29044.0,29843.0,32070.0
Annual,Number,From 20 to 49 employees,Portugal,:,:,:,:,:,:,:,:,:,4943.0,5695.0,5801.0,5350.0,5524.0,5380.0,5416.0,6827.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 20 to 49 employees,Romania,:,:,:,:,:,:,:,:,:,:,:,3076.0,:,:,:,:,:,:,:,:,:,:,:,:,:,14689.0,12038.0,:,:,:
Annual,Number,From 20 to 49 employees,Sweden,:,:,:,:,:,:,9029.0,8873.0,8855.0,7915.0,7207.0,7322.0,8222.0,8733.0,8995.0,8390.0,9315.0,9483.0,9873.0,10106.0,10144.0,10966.0,10370.0,11140.0,11128.0,11927.0,11796.0,11640.0,12236.0,:
Annual,Number,From 20 to 49 employees,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,664.0,838.0,894.0,1029.0,955.0,1041.0,1186.0,1155.0,1274.0,1541.0,2373 b,2671.0,3000.0,3793.0,3389.0,3747.0,3997.0,4038.0
Annual,Number,From 20 to 49 employees,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,8677.0,8681.0,8336.0,1346.0,1337.0,1810.0,2023.0,1312.0,1463.0,:,:,:,11673.0,13760.0,13985.0,17452.0,29358.0
Annual,Number,From 20 to 49 employees,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,32119.0,31525.0,37425.0,35960.0,33320.0,29145.0,27925.0,27845.0,32570.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Austria,:,:,:,:,:,5601.0,:,:,:,:,:,:,6255.0,:,8250.0,7071.0,7041.0,6544.0,7250.0,:,:,5506.0,:,:,4820.0,4105.0,4489.0,4110.0,4651.0,4467.0
Annual,Number,From 6 to 9 employees,Switzerland,:,:,:,:,:,:,:,:,3227.0,:,:,:,4601.0,:,:,3216.0,:,:,3351.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,142.0,:,:,:,:,:,:,:,:,:,835.0,839.0,841.0,844.0,1102.0,:,1146.0,789.0
Annual,Number,From 6 to 9 employees,Czechia,:,:,:,:,:,:,:,:,:,:,:,35406.0,14994.0,15850.4,15850.4,15900.0,16330.0,15895.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Denmark,:,:,:,:,:,:,:,:,:,6635.0,6240.0,6153.0,6171.0,6225.0,6213.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3936.0,2786.0,3815.0,2190.0,2350.0,1657 e,4443.0,4429.0,3442.0
Annual,Number,From 6 to 9 employees,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,24657.0,26113.0,27455.0,28607.0,34231.0,33330.0,46742.0,43277.0,45962.0,45773.0,38755.0,:,35970.0,:
Annual,Number,From 6 to 9 employees,Finland,:,:,:,:,:,:,:,:,:,:,2804.0,2589.0,3022.0,3565.0,4341.0,4395.0,4534.0,4660.0,4639.0,4747.0,4897.0,5059.0,5246.0,5296.0,5814.0,5975.0,5718.0,5734.0,5878.0,5512.0
Annual,Number,From 6 to 9 employees,France,:,:,:,:,:,22537.0,22845.0,24029.0,23333.0,25312.0,22558.0,24660.0,25494.0,25681.0,25337.0,32658.0,23922.0,23317.0,27367.0,27611 p,27489.0,26516.0,26813.0,31778.0,33205.0,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Croatia,:,:,:,:,:,:,:,:,:,: m,9.0,18.0,97.0,117.0,104.0,161.0,141.0,101.0,132.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8665.0,8449.0,8166.0,8265 p
Annual,Number,From 6 to 9 employees,Ireland,:,:,:,:,:,:,:,:,:,:,1547.0,1604.0,1609.0,1707.0,1889.0,1930.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,From 6 to 9 employees,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,81.0,110.0,86.0,135.0,112.0,94.0,76 e,84 e,:,:,:,:,:,:,:
