Time frequency,International Standard Classification of Education (ISCED 2011),Classification of activities for time use,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Austria,28.3,13.4
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Belgium,20.8,11.8
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Bulgaria,6.3,2.4
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Switzerland,48.2,29.2
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Cyprus,2.6,25.5
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Czechia,16.6,12.2
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Germany,11.4,: u
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Denmark,41.8,23.4
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),:,13.3 e
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Estonia,25.5,12.7
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Greece,14.4,6.0
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Spain,10.6,5.9
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),22.5,14.3 e
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Finland,74.2,:
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,France,23.3,11.1
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Croatia,17.2,9.1
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Hungary,7.8,10.1
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Ireland,37.7 u,16.5
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Iceland,64.8,:
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Italy,11.2,4.2
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Lithuania,16.3,9.5
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Luxembourg,30.3,10.3
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Latvia,28.3,13.5
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Montenegro,3.4,6.7
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,North Macedonia,21.9,:
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Malta,0.9,8.7
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Netherlands,82.5,73.9
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Norway,74.5,79.8
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Poland,50.6 u,22.1
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Portugal,20.5,13.4
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Romania,3.2,4.2
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Serbia,12.4,7.2
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Sweden,70.4,48.8
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Slovenia,54.6,32.7
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Slovakia,18.8,10.6
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,Türkiye,:,2.6
Annual,All ISCED 2011 levels,Informal voluntary activities,16 years or over,Total,Percentage,United Kingdom,19.2 u,:
