Time frequency,Education or training field,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2003.0,2006.0,2009.0,2012.0,2015.0,2018.0,2022.0
Annual,Science,Females,Percentage,Cyprus,:,:,:,:,34.1,37.0,33.5,45.0
Annual,Science,Females,Percentage,Czechia,:,:,17.1,16.6,12.9,20.5,18.1,18.6
Annual,Science,Females,Percentage,Germany,:,:,15.8,14.5,11.5,18.1,18.2,22.0
Annual,Science,Females,Percentage,Denmark,:,:,19.0,17.9,17.0,16.0,17.1,19.2
Annual,Science,Females,Percentage,Estonia,:,:,6.7,8.0,4.1,7.6,8.0,8.8
Annual,Science,Females,Percentage,Greece,:,:,19.9,22.5,21.3,29.2,28.5,34.3
Annual,Science,Females,Percentage,Spain,:,:,19.7,18.1,15.5,18.2,20.8,21.0
Annual,Science,Females,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,22.9
Annual,Science,Females,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,20.4,:,:
Annual,Science,Females,Percentage,Finland,:,:,3.2,4.5,5.6,8.2,8.9,13.8
Annual,Science,Females,Percentage,France,:,:,20.4,18.1,17.0,20.8,19.4,21.9
Annual,Science,Females,Percentage,Croatia,:,:,15.7,16.3,15.0,24.6,24.0,19.7
Annual,Science,Females,Percentage,Hungary,:,:,14.5,13.0,17.4,25.6,24.6,22.4
Annual,Science,Females,Percentage,Ireland,:,:,14.5,14.3,10.6,14.9,16.0,15.0
Annual,Science,Females,Percentage,Iceland,:,:,18.7,16.6,22.4,24.3,22.2,32.5
Annual,Science,Females,Percentage,Italy,:,:,25.0,18.9,17.8,24.9,25.9,23.0
Annual,Science,Females,Percentage,Japan,:,:,11.3,8.1,7.9,10.3,9.8,6.8
Annual,Science,Females,Percentage,South Korea,:,:,10.1,5.0,5.6,11.2,13.8,:
Annual,Science,Females,Percentage,Lithuania,:,:,18.5,13.9,12.6,22.5,19.7,19.5
Annual,Science,Females,Percentage,Luxembourg,:,:,22.2,23.4,24.2,26.1,25.7,:
Annual,Science,Females,Percentage,Latvia,:,:,15.8,12.6,9.4,14.5,16.0,15.4
Annual,Science,Females,Percentage,Montenegro,:,:,49.6,50.2,46.6,49.4,46.6,51.7
Annual,Science,Females,Percentage,North Macedonia,:,:,:,:,:,58.1,45.0,61.5
Annual,Science,Females,Percentage,Malta,:,:,:,:,:,29.8,28.2,26.8
Annual,Science,Females,Percentage,Netherlands,:,:,13.7,14.0,13.0,17.8,18.4,26.8
Annual,Science,Females,Percentage,Norway,:,:,19.6,14.5,18.5,17.4,17.9,24.0
Annual,Science,Females,Percentage,Poland,:,:,16.7,10.8,7.9,16.1,12.7,16.6
Annual,Science,Females,Percentage,Portugal,:,:,24.7,14.7,17.7,17.1,19.0,20.4
Annual,Science,Females,Percentage,Romania,:,:,45.5,38.2,35.3,37.0,43.1,42.4
Annual,Science,Females,Percentage,Serbia,:,:,36.2,33.1,33.2,:,36.5,32.9
Annual,Science,Females,Percentage,Russia,:,:,21.8,21.2,17.0,18.0,20.6,:
Annual,Science,Females,Percentage,Sweden,:,:,15.5,17.9,19.6,19.8,17.3,20.7
Annual,Science,Females,Percentage,Slovenia,:,:,12.5,11.6,10.8,13.7,12.3,14.2
Annual,Science,Females,Percentage,Slovakia,:,:,20.3,18.1,26.9,29.5,27.5,28.5
Annual,Science,Females,Percentage,Türkiye,:,:,42.3,26.5,22.7,42.9,22.9,22.8
Annual,Science,Females,Percentage,United Kingdom,:,:,16.7,15.4,16.0,17.3,:,:
Annual,Science,Females,Percentage,United States,:,:,23.0,19.3,16.2,20.1,17.8,21.4
Annual,Science,Males,Percentage,Albania,:,:,:,64.0,55.4,48.9,52.2,73.6
Annual,Science,Males,Percentage,Austria,:,:,15.2,:,16.2,19.2,23.1,21.7
Annual,Science,Males,Percentage,Belgium,:,:,17.9,18.0,18.6,19.1,19.8,23.4
Annual,Science,Males,Percentage,Bulgaria,:,:,46.7,43.3,41.8,41.6,50.2,52.4
Annual,Science,Males,Percentage,Switzerland,:,:,15.6,13.5,13.0,18.8,21.1,:
Annual,Science,Males,Percentage,Cyprus,:,:,:,:,41.8,47.3,44.2,58.2
Annual,Science,Males,Percentage,Czechia,:,:,14.3,18.0,14.6,20.9,19.4,21.1
Annual,Science,Males,Percentage,Germany,:,:,14.9,15.0,12.9,15.9,20.8,23.7
Annual,Science,Males,Percentage,Denmark,:,:,17.8,15.2,16.4,15.7,20.2,19.7
Annual,Science,Males,Percentage,Estonia,:,:,8.6,8.6,6.0,9.9,9.5,11.3
Annual,Science,Males,Percentage,Greece,:,:,28.1,28.2,29.8,36.0,34.9,40.2
Annual,Science,Males,Percentage,Spain,:,:,19.6,18.3,15.9,18.4,21.8,21.6
Annual,Science,Males,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,25.6
Annual,Science,Males,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,20.7,:,:
Annual,Science,Males,Percentage,Finland,:,:,5.0,7.5,9.7,14.5,16.7,21.9
Annual,Science,Males,Percentage,France,:,:,22.0,20.5,20.5,23.3,21.6,25.7
Annual,Science,Males,Percentage,Croatia,:,:,18.2,20.4,19.5,24.7,26.8,25.0
Annual,Science,Males,Percentage,Hungary,:,:,15.5,15.3,18.8,26.4,23.6,23.4
Annual,Science,Males,Percentage,Ireland,:,:,16.5,16.0,11.6,15.7,18.1,16.1
Annual,Science,Males,Percentage,Iceland,:,:,22.4,19.3,25.6,26.4,27.8,39.2
Annual,Science,Males,Percentage,Italy,:,:,25.5,22.3,19.6,21.5,25.8,24.9
Annual,Science,Males,Percentage,Japan,:,:,12.8,13.1,9.0,8.9,11.9,9.3
Annual,Science,Males,Percentage,South Korea,:,:,12.4,7.5,7.6,17.3,14.5,:
Annual,Science,Males,Percentage,Lithuania,:,:,22.1,20.0,19.5,26.9,24.6,24.0
Annual,Science,Males,Percentage,Luxembourg,:,:,22.0,24.0,20.3,25.6,27.8,:
Annual,Science,Males,Percentage,Latvia,:,:,19.1,16.9,15.3,20.0,21.1,17.5
Annual,Science,Males,Percentage,Montenegro,:,:,50.8,56.7,54.8,52.6,49.7,57.8
Annual,Science,Males,Percentage,North Macedonia,:,:,:,:,:,67.2,53.5,68.9
Annual,Science,Males,Percentage,Malta,:,:,:,:,:,35.2,38.4,33.6
Annual,Science,Males,Percentage,Netherlands,:,:,12.2,12.3,13.2,19.3,21.6,27.8
Annual,Science,Males,Percentage,Norway,:,:,22.4,16.9,20.7,20.0,23.7,31.0
Annual,Science,Males,Percentage,Poland,:,:,17.3,15.5,10.2,16.4,15.0,20.6
Annual,Science,Males,Percentage,Portugal,:,:,24.2,18.4,20.3,17.7,20.1,23.2
Annual,Science,Males,Percentage,Romania,:,:,48.3,44.7,39.5,40.1,44.8,45.6
Annual,Science,Males,Percentage,Serbia,:,:,40.8,35.7,36.8,:,40.1,37.2
Annual,Science,Males,Percentage,Russia,:,:,22.6,22.8,20.5,18.3,21.8,:
Annual,Science,Males,Percentage,Sweden,:,:,17.2,20.3,24.8,23.4,20.7,26.7
Annual,Science,Males,Percentage,Slovenia,:,:,15.3,17.8,14.8,16.2,16.7,21.1
Annual,Science,Males,Percentage,Slovakia,:,:,20.1,20.4,26.8,31.9,31.1,32.5
Annual,Science,Males,Percentage,Türkiye,:,:,50.1,33.3,29.9,46.0,27.4,26.5
Annual,Science,Males,Percentage,United Kingdom,:,:,16.7,14.6,13.9,17.5,:,:
Annual,Science,Males,Percentage,United States,:,:,25.8,17.0,20.0,20.6,19.5,22.5
Annual,Science,Total,Percentage,Albania,:,:,:,57.3,53.1,41.7,47.0,67.4
Annual,Science,Total,Percentage,Austria,:,:,16.3,:,15.8,20.8,21.9,22.7
Annual,Science,Total,Percentage,Belgium,:,:,17.0,18.0,17.7,19.8,20.0,22.4
Annual,Science,Total,Percentage,Bulgaria,:,:,42.6,38.8,36.9,37.9,46.5,48.0
Annual,Science,Total,Percentage,Switzerland,:,:,16.1,14.0,12.8,18.5,20.2,:
Annual,Science,Total,Percentage,Cyprus,:,:,:,:,38.0,42.1,39.0,51.8
Annual,Science,Total,Percentage,Czechia,:,:,15.5,17.3,13.8,20.7,18.8,19.9
Annual,Science,Total,Percentage,Germany,:,:,15.4,14.8,12.2,17.0,19.6,22.9
Annual,Science,Total,Percentage,Denmark,:,:,18.4,16.6,16.7,15.9,18.7,19.5
Annual,Science,Total,Percentage,Estonia,:,:,7.7,8.3,5.0,8.8,8.8,10.1
Annual,Science,Total,Percentage,Greece,:,:,24.0,25.3,25.5,32.7,31.7,37.3
Annual,Science,Total,Percentage,Spain,:,:,19.6,18.2,15.7,18.3,21.3,21.3
Annual,Science,Total,Percentage,European Union - 27 countries (from 2020),:,:,20.8,18.2,16.8,21.1,22.3,24.2
Annual,Science,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,20.6,21.6,:
Annual,Science,Total,Percentage,Finland,:,:,4.1,6.0,7.7,11.5,12.9,18.0
Annual,Science,Total,Percentage,France,:,:,21.2,19.3,18.7,22.1,20.5,23.8
Annual,Science,Total,Percentage,Croatia,:,:,17.0,18.5,17.3,24.6,25.4,22.4
Annual,Science,Total,Percentage,Hungary,:,:,15.0,14.1,18.0,26.0,24.1,22.9
Annual,Science,Total,Percentage,Ireland,:,:,15.5,15.2,11.1,15.3,17.0,15.6
Annual,Science,Total,Percentage,Iceland,:,:,20.6,17.9,24.0,25.3,25.0,35.9
Annual,Science,Total,Percentage,Italy,:,:,25.3,20.6,18.7,23.2,25.9,23.9
Annual,Science,Total,Percentage,Japan,:,:,12.0,10.7,8.5,9.6,10.8,8.0
Annual,Science,Total,Percentage,South Korea,:,:,11.2,6.3,6.6,14.4,14.2,:
Annual,Science,Total,Percentage,Lithuania,:,:,20.3,17.0,16.1,24.7,22.2,21.8
Annual,Science,Total,Percentage,Luxembourg,:,:,22.1,23.7,22.2,25.9,26.8,:
Annual,Science,Total,Percentage,Latvia,:,:,17.4,14.7,12.4,17.2,18.5,16.5
Annual,Science,Total,Percentage,Montenegro,:,:,50.2,53.6,50.7,51.0,48.2,54.9
Annual,Science,Total,Percentage,North Macedonia,:,:,:,:,:,62.9,49.5,65.3
Annual,Science,Total,Percentage,Malta,:,:,:,32.5,:,32.5,33.5,30.3
Annual,Science,Total,Percentage,Netherlands,:,:,13.0,13.2,13.1,18.5,20.0,27.3
Annual,Science,Total,Percentage,Norway,:,:,21.1,15.8,19.6,18.7,20.8,27.6
Annual,Science,Total,Percentage,Poland,:,:,17.0,13.1,9.0,16.3,13.8,18.6
Annual,Science,Total,Percentage,Portugal,:,:,24.5,16.5,19.0,17.4,19.6,21.8
Annual,Science,Total,Percentage,Romania,:,:,46.9,41.4,37.3,38.5,43.9,44.0
Annual,Science,Total,Percentage,Serbia,:,:,38.5,34.4,35.0,:,38.3,35.1
Annual,Science,Total,Percentage,Russia,:,:,22.2,22.0,18.8,18.2,21.2,:
Annual,Science,Total,Percentage,Sweden,:,:,16.4,19.1,22.2,21.6,19.0,23.7
Annual,Science,Total,Percentage,Slovenia,:,:,13.9,14.8,12.9,15.0,14.6,17.8
Annual,Science,Total,Percentage,Slovakia,:,:,20.2,19.3,26.9,30.7,29.3,30.6
Annual,Science,Total,Percentage,Türkiye,:,:,46.6,30.0,26.4,44.5,25.2,24.7
Annual,Science,Total,Percentage,United Kingdom,:,:,16.7,15.0,15.0,17.4,17.4,:
Annual,Science,Total,Percentage,United States,:,:,24.4,18.1,18.1,20.3,18.6,21.9
