Time frequency,Education or training field,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2003.0,2006.0,2009.0,2012.0,2015.0,2018.0,2022.0
Annual,Mathematics,Males,Percentage,Ireland,:,15.0,15.5,20.6,15.2,14.1,15.7,18.5
Annual,Mathematics,Males,Percentage,Iceland,:,18.3,18.5,17.9,23.2,24.4,23.4,34.6
Annual,Mathematics,Males,Percentage,Italy,:,29.7,30.2,23.6,22.8,20.7,22.6,27.5
Annual,Mathematics,Males,Percentage,Japan,:,14.2,11.8,13.0,10.9,9.8,11.6,13.1
Annual,Mathematics,Males,Percentage,South Korea,:,8.5,9.1,9.1,9.2,17.8,15.6,:
Annual,Mathematics,Males,Percentage,Lithuania,:,:,23.0,28.2,27.7,26.7,27.4,28.1
Annual,Mathematics,Males,Percentage,Luxembourg,:,20.0,21.2,22.2,20.1,24.9,26.3,:
Annual,Mathematics,Males,Percentage,Latvia,:,24.4,20.1,23.2,21.5,23.0,17.3,22.0
Annual,Mathematics,Males,Percentage,Montenegro,:,:,57.6,55.6,56.8,51.7,44.6,60.4
Annual,Mathematics,Males,Percentage,North Macedonia,:,:,:,:,:,71.1,62.7,67.7
Annual,Mathematics,Males,Percentage,Malta,:,:,:,:,:,30.7,34.2,34.6
Annual,Mathematics,Males,Percentage,Netherlands,:,10.2,10.1,11.3,13.9,17.2,16.4,26.8
Annual,Mathematics,Males,Percentage,Norway,:,20.6,22.2,18.1,22.6,18.8,21.1,33.1
Annual,Mathematics,Males,Percentage,Poland,:,22.7,19.3,21.2,15.0,16.0,15.4,23.8
Annual,Mathematics,Males,Percentage,Portugal,:,28.7,28.7,22.7,24.0,23.4,23.3,28.9
Annual,Mathematics,Males,Percentage,Romania,:,:,51.3,46.8,40.4,39.9,46.0,48.5
Annual,Mathematics,Males,Percentage,Serbia,:,:,42.9,39.2,37.4,:,40.2,41.8
Annual,Mathematics,Males,Percentage,Russia,:,29.9,26.5,28.3,24.6,18.4,21.8,:
Annual,Mathematics,Males,Percentage,Sweden,:,16.7,18.1,21.4,28.2,22.0,19.5,28.3
Annual,Mathematics,Males,Percentage,Slovenia,:,:,17.2,20.9,20.4,16.1,17.0,26.4
Annual,Mathematics,Males,Percentage,Slovakia,:,18.0,19.1,21.4,27.6,27.6,25.4,34.2
Annual,Mathematics,Males,Percentage,Türkiye,:,49.3,51.1,40.4,40.8,50.2,35.7,38.0
Annual,Mathematics,Males,Percentage,United Kingdom,:,:,18.4,17.6,19.7,20.6,:,:
Annual,Mathematics,Males,Percentage,United States,:,25.2,27.4,20.7,26.5,28.6,26.3,32.6
Annual,Mathematics,Total,Percentage,Albania,:,:,:,67.7,60.7,53.3,42.4,73.9
Annual,Mathematics,Total,Percentage,Austria,:,18.8,20.1,:,18.7,21.8,21.1,24.9
Annual,Mathematics,Total,Percentage,Belgium,:,16.5,17.5,19.1,19.0,20.1,19.7,25.0
Annual,Mathematics,Total,Percentage,Bulgaria,:,:,53.4,47.1,43.8,42.1,44.4,53.6
Annual,Mathematics,Total,Percentage,Switzerland,:,14.5,13.6,13.5,12.4,15.8,16.8,:
Annual,Mathematics,Total,Percentage,Cyprus,:,:,:,:,42.0,42.6,36.9,53.2
Annual,Mathematics,Total,Percentage,Czechia,:,16.6,19.3,22.4,21.0,21.7,20.4,25.5
Annual,Mathematics,Total,Percentage,Germany,:,21.6,20.0,18.7,17.7,17.2,21.1,29.5
Annual,Mathematics,Total,Percentage,Denmark,:,15.4,13.7,17.1,16.8,13.6,14.6,20.4
Annual,Mathematics,Total,Percentage,Estonia,:,:,12.1,12.7,10.5,11.2,10.2,15.0
Annual,Mathematics,Total,Percentage,Greece,:,38.9,32.5,30.4,35.7,35.8,35.8,47.2
Annual,Mathematics,Total,Percentage,Spain,:,23.0,24.8,23.8,23.6,22.2,24.7,27.3
Annual,Mathematics,Total,Percentage,European Union - 27 countries (from 2020),:,:,24.7,22.7,22.1,22.2,22.9,29.5
Annual,Mathematics,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,22.2,22.4,:
Annual,Mathematics,Total,Percentage,Finland,:,6.8,6.0,7.9,12.3,13.6,15.0,24.9
Annual,Mathematics,Total,Percentage,France,:,16.6,22.4,22.5,22.4,23.5,21.3,28.8
Annual,Mathematics,Total,Percentage,Croatia,:,:,28.7,33.2,29.9,32.0,31.2,32.9
Annual,Mathematics,Total,Percentage,Hungary,:,23.0,21.2,22.3,28.1,28.0,25.6,29.5
Annual,Mathematics,Total,Percentage,Ireland,:,16.8,16.5,20.9,16.9,15.0,15.7,19.0
Annual,Mathematics,Total,Percentage,Iceland,:,15.0,16.9,17.0,21.5,23.6,20.7,34.1
Annual,Mathematics,Total,Percentage,Italy,:,31.9,33.0,25.0,24.7,23.3,23.8,29.6
Annual,Mathematics,Total,Percentage,Japan,:,13.3,13.1,12.5,11.1,10.7,11.5,12.0
Annual,Mathematics,Total,Percentage,South Korea,:,9.5,8.9,8.1,9.1,15.5,15.0,:
Annual,Mathematics,Total,Percentage,Lithuania,:,:,23.1,26.4,26.0,25.4,25.6,27.8
Annual,Mathematics,Total,Percentage,Luxembourg,:,21.7,22.9,23.9,24.3,25.8,27.2,:
Annual,Mathematics,Total,Percentage,Latvia,:,23.7,20.8,22.6,19.9,21.4,17.3,22.2
Annual,Mathematics,Total,Percentage,Montenegro,:,:,60.2,58.5,56.6,51.9,46.2,59.5
Annual,Mathematics,Total,Percentage,North Macedonia,:,:,:,:,:,70.2,61.0,66.2
Annual,Mathematics,Total,Percentage,Malta,:,:,:,33.7,:,29.1,30.2,32.6
Annual,Mathematics,Total,Percentage,Netherlands,:,10.9,11.6,13.4,14.8,16.7,15.8,27.4
Annual,Mathematics,Total,Percentage,Norway,:,20.8,22.4,18.2,22.3,17.1,18.9,31.5
Annual,Mathematics,Total,Percentage,Poland,:,22.0,20.0,20.5,14.4,17.2,14.7,23.0
Annual,Mathematics,Total,Percentage,Portugal,:,30.1,30.9,23.8,24.9,23.8,23.3,29.7
Annual,Mathematics,Total,Percentage,Romania,:,:,52.9,47.0,40.8,39.9,46.6,48.6
Annual,Mathematics,Total,Percentage,Serbia,:,:,42.6,40.6,38.9,:,39.7,43.1
Annual,Mathematics,Total,Percentage,Russia,:,30.2,26.8,28.6,24.0,18.9,21.6,:
Annual,Mathematics,Total,Percentage,Sweden,:,17.3,18.4,21.1,27.1,20.8,18.8,27.2
Annual,Mathematics,Total,Percentage,Slovenia,:,:,17.8,20.4,20.1,16.1,16.4,24.6
Annual,Mathematics,Total,Percentage,Slovakia,:,19.9,21.0,21.0,27.5,27.7,25.1,33.2
Annual,Mathematics,Total,Percentage,Türkiye,:,52.2,52.2,42.2,42.0,51.4,36.7,38.7
Annual,Mathematics,Total,Percentage,United Kingdom,:,:,19.9,20.2,21.8,21.9,19.2,:
Annual,Mathematics,Total,Percentage,United States,:,25.7,28.2,23.4,25.8,29.4,27.1,33.9
Annual,Reading,Females,Percentage,Albania,60.4,:,:,43.6 b,49.3,37.7,42.0 b,65.2
Annual,Reading,Females,Percentage,Austria,14.6,13.1,15.4,: b,12.8,19.3,18.3 b,21.9
Annual,Reading,Females,Percentage,Belgium,14.1,13.0,13.4,13.8 b,11.8,17.0,17.8 b,20.6
Annual,Reading,Females,Percentage,Bulgaria,29.8,:,40.4,29.2 b,27.0,32.3,38.1 b,45.8
Annual,Reading,Females,Percentage,Switzerland,15.7,11.8,12.2,11.4 b,8.8,15.1,18.4 b,:
