Time frequency,Economical indicator for structural business statistics,Client specialisation,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,2000.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 10 to 49 persons employed,Denmark,644.4
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 10 to 49 persons employed,Spain,923.4
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 10 to 49 persons employed,Finland,199.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 10 to 49 persons employed,Luxembourg,181.6
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 10 to 49 persons employed,Portugal,182.5
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 50 to 249 persons employed,Denmark,811.5
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 50 to 249 persons employed,Spain,1116.2
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 50 to 249 persons employed,Finland,684.8
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 50 to 249 persons employed,Luxembourg,72.9
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,From 50 to 249 persons employed,Portugal,175.2
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,250 persons employed or more,Denmark,941.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,250 persons employed or more,Spain,4392.4
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,250 persons employed or more,Finland,1125.8
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,250 persons employed or more,Portugal,50.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Fewer than 10 persons employed,Denmark,884.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Fewer than 10 persons employed,Spain,714.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Fewer than 10 persons employed,Finland,247.5
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Fewer than 10 persons employed,Luxembourg,417.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Fewer than 10 persons employed,Portugal,120.5
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Denmark,3281.1
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Spain,7146.0
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Finland,2257.7
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Luxembourg,671.7
Annual,Turnover or gross premiums written - million euro,[0% - 50%[,Total,Portugal,528.2
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 10 to 49 persons employed,Denmark,185.9
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 10 to 49 persons employed,Spain,321.9
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 10 to 49 persons employed,Finland,193.4
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 10 to 49 persons employed,Luxembourg,76.8
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 10 to 49 persons employed,Portugal,55.9
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 50 to 249 persons employed,Denmark,99.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 50 to 249 persons employed,Spain,420.4
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 50 to 249 persons employed,Finland,95.9
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 50 to 249 persons employed,Luxembourg,20.1
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,From 50 to 249 persons employed,Portugal,66.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,250 persons employed or more,Denmark,139.7
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,250 persons employed or more,Spain,462.8
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,250 persons employed or more,Finland,16.3
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,250 persons employed or more,Portugal,61.7
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Fewer than 10 persons employed,Denmark,331.3
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Fewer than 10 persons employed,Spain,212.5
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Fewer than 10 persons employed,Finland,86.0
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Fewer than 10 persons employed,Luxembourg,81.1
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Fewer than 10 persons employed,Portugal,82.1
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Denmark,756.5
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Spain,1417.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Finland,391.6
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Luxembourg,178.0
Annual,Turnover or gross premiums written - million euro,[50% - 75%[,Total,Portugal,266.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 10 to 49 persons employed,Denmark,117.9
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 10 to 49 persons employed,Spain,374.7
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 10 to 49 persons employed,Finland,148.2
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 10 to 49 persons employed,Luxembourg,43.9
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 10 to 49 persons employed,Portugal,73.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 50 to 249 persons employed,Denmark,114.9
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 50 to 249 persons employed,Spain,617.1
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 50 to 249 persons employed,Finland,317.2
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 50 to 249 persons employed,Luxembourg,31.0
Annual,Turnover or gross premiums written - million euro,[75% - 100%],From 50 to 249 persons employed,Portugal,152.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],250 persons employed or more,Denmark,319.4
Annual,Turnover or gross premiums written - million euro,[75% - 100%],250 persons employed or more,Spain,697.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],250 persons employed or more,Finland,127.4
Annual,Turnover or gross premiums written - million euro,[75% - 100%],250 persons employed or more,Portugal,108.3
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Fewer than 10 persons employed,Denmark,357.9
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Fewer than 10 persons employed,Spain,663.8
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Fewer than 10 persons employed,Finland,165.7
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Fewer than 10 persons employed,Luxembourg,88.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Fewer than 10 persons employed,Portugal,148.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Denmark,910.2
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Spain,2353.0
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Finland,758.5
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Luxembourg,163.4
Annual,Turnover or gross premiums written - million euro,[75% - 100%],Total,Portugal,482.8
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Denmark,948.3
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Spain,1620.1
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Finland,541.2
Annual,Turnover or gross premiums written - million euro,Total,From 10 to 49 persons employed,Luxembourg,302.3
