Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Cities,Percentage,Austria,23.1
Annual,Cities,Percentage,Belgium,23.2
Annual,Cities,Percentage,Bulgaria,11.7
Annual,Cities,Percentage,Cyprus,38.5
Annual,Cities,Percentage,Czechia,9.6
Annual,Cities,Percentage,Germany,21.2
Annual,Cities,Percentage,Denmark,28.1
Annual,Cities,Percentage,Estonia,25.7
Annual,Cities,Percentage,Greece,28.6
Annual,Cities,Percentage,Spain,16.9
Annual,Cities,Percentage,European Union (aggregate changing according to the context),21.6 e
Annual,Cities,Percentage,Finland,37.1
Annual,Cities,Percentage,France,21.0
Annual,Cities,Percentage,Croatia,16.9
Annual,Cities,Percentage,Hungary,53.9
Annual,Cities,Percentage,Ireland,23.3
Annual,Cities,Percentage,Lithuania,16.6
Annual,Cities,Percentage,Luxembourg,28.7
Annual,Cities,Percentage,Latvia,16.6
Annual,Cities,Percentage,Malta,18.1
Annual,Cities,Percentage,Netherlands,21.5
Annual,Cities,Percentage,Poland,14.4
Annual,Cities,Percentage,Portugal,12.2
Annual,Cities,Percentage,Romania,35.4
Annual,Cities,Percentage,Sweden,31.5
Annual,Cities,Percentage,Slovenia,19.9 u
Annual,Cities,Percentage,Slovakia,36.1
Annual,Towns and suburbs,Percentage,Austria,20.4
Annual,Towns and suburbs,Percentage,Belgium,18.1
Annual,Towns and suburbs,Percentage,Bulgaria,6.7
Annual,Towns and suburbs,Percentage,Cyprus,21.3
Annual,Towns and suburbs,Percentage,Czechia,18.3
Annual,Towns and suburbs,Percentage,Germany,17.1
Annual,Towns and suburbs,Percentage,Denmark,28.1
Annual,Towns and suburbs,Percentage,Estonia,26.8
Annual,Towns and suburbs,Percentage,Greece,17.8
Annual,Towns and suburbs,Percentage,Spain,15.1
Annual,Towns and suburbs,Percentage,European Union (aggregate changing according to the context),19.3 e
Annual,Towns and suburbs,Percentage,Finland,36.2
Annual,Towns and suburbs,Percentage,France,18.9
Annual,Towns and suburbs,Percentage,Croatia,15.3
Annual,Towns and suburbs,Percentage,Hungary,43.7
Annual,Towns and suburbs,Percentage,Ireland,36.6
Annual,Towns and suburbs,Percentage,Lithuania,18.8
Annual,Towns and suburbs,Percentage,Luxembourg,30.7
Annual,Towns and suburbs,Percentage,Latvia,16.2
Annual,Towns and suburbs,Percentage,Malta,14.6
Annual,Towns and suburbs,Percentage,Netherlands,18.6
Annual,Towns and suburbs,Percentage,Poland,11.5
Annual,Towns and suburbs,Percentage,Portugal,11.4
Annual,Towns and suburbs,Percentage,Romania,41.5
Annual,Towns and suburbs,Percentage,Sweden,31.9
Annual,Towns and suburbs,Percentage,Slovenia,13.2
Annual,Towns and suburbs,Percentage,Slovakia,34.5
Annual,Rural areas,Percentage,Austria,17.2
Annual,Rural areas,Percentage,Belgium,17.9
Annual,Rural areas,Percentage,Bulgaria,8.1
Annual,Rural areas,Percentage,Cyprus,14.6 u
Annual,Rural areas,Percentage,Czechia,15.8
Annual,Rural areas,Percentage,Germany,14.8
Annual,Rural areas,Percentage,Denmark,26.5
Annual,Rural areas,Percentage,Estonia,27.6
Annual,Rural areas,Percentage,Greece,16.8
Annual,Rural areas,Percentage,Spain,13.9
Annual,Rural areas,Percentage,European Union (aggregate changing according to the context),18.7 e
Annual,Rural areas,Percentage,Finland,31.2
Annual,Rural areas,Percentage,France,18.2
Annual,Rural areas,Percentage,Croatia,14.0
Annual,Rural areas,Percentage,Hungary,36.8
Annual,Rural areas,Percentage,Ireland,19.3
Annual,Rural areas,Percentage,Lithuania,17.1
Annual,Rural areas,Percentage,Luxembourg,29.9
Annual,Rural areas,Percentage,Latvia,17.9
Annual,Rural areas,Percentage,Malta,: u
Annual,Rural areas,Percentage,Netherlands,14.5
Annual,Rural areas,Percentage,Poland,8.6
Annual,Rural areas,Percentage,Portugal,10.2
Annual,Rural areas,Percentage,Romania,41.5
Annual,Rural areas,Percentage,Sweden,33.2
Annual,Rural areas,Percentage,Slovenia,14.1
Annual,Rural areas,Percentage,Slovakia,30.0
