Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Albania,36.2,:,:
Annual,Percentage,Austria,3.0,5.0,4.6
Annual,Percentage,Belgium,3.7,4.1,4.2
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,8.9,8.3,12.7
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,8.9,8.3,12.7
Annual,Percentage,Vlaams Gewest,1.4,1.9,1.4
Annual,Percentage,Prov. Antwerpen,2.1,2.4,2.6
Annual,Percentage,Prov. Limburg (BE),1.0,1.0,0.7
Annual,Percentage,Prov. Oost-Vlaanderen,0.8,1.2,1.0
Annual,Percentage,Prov. Vlaams-Brabant,1.4,2.1,1.2
Annual,Percentage,Prov. West-Vlaanderen,1.5,2.4,1.0
Annual,Percentage,Région wallonne,5.9,6.7,6.4
Annual,Percentage,Prov. Brabant wallon,6.8,7.2,7.9
Annual,Percentage,Prov. Hainaut,7.0,7.8,7.6
Annual,Percentage,Prov. Liège,5.4,5.9,4.7
Annual,Percentage,Prov. Luxembourg (BE),5.0,5.2,4.6
Annual,Percentage,Prov. Namur,4.1,5.5,6.9
Annual,Percentage,Bulgaria,22.4,21.6,19.9
Annual,Percentage,Severna i Yugoiztochna Bulgaria,23.8,21.7,20.6
Annual,Percentage,Severozapaden,19.7,19.1,18.3
Annual,Percentage,Severen tsentralen,23.7,22.5,24.3
Annual,Percentage,Severoiztochen,19.9,17.2,15.5
Annual,Percentage,Yugoiztochen,30.4,27.0,24.1
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,21.0,21.6,19.2
Annual,Percentage,Yugozapaden,17.8,16.4,14.6
Annual,Percentage,Yuzhen tsentralen,25.9,29.3,26.4
Annual,Percentage,Switzerland,1.5,1.8,1.9
Annual,Percentage,Région lémanique,1.6,1.4,2.7
Annual,Percentage,Espace Mittelland,1.7,2.0,2.6
Annual,Percentage,Nordwestschweiz,1.3,3.7,1.8
Annual,Percentage,Zürich,1.4,1.7,1.2
Annual,Percentage,Ostschweiz,1.3,1.1,1.0
Annual,Percentage,Zentralschweiz,1.6,1.1,0.2
Annual,Percentage,Ticino,2.2,2.0,5.3
Annual,Percentage,Cyprus,0.4,1.5,1.3
Annual,Percentage,Czechia,3.9,4.4,6.8
Annual,Percentage,Praha,2.9,3.5,5.5
Annual,Percentage,Střední Čechy,2.4,2.0,5.7
Annual,Percentage,Jihozápad,5.4,7.8,10.1
Annual,Percentage,Severozápad,6.1,7.5,10.1
Annual,Percentage,Severovýchod,3.3,2.5,5.9
Annual,Percentage,Jihovýchod,4.7,4.4,6.4
Annual,Percentage,Střední Morava,3.0,3.6,4.6
Annual,Percentage,Moravskoslezsko,3.3,4.9,7.4
Annual,Percentage,Germany,10.5,11.6,13.3
Annual,Percentage,Baden-Württemberg,10.0,10.4,13.4
Annual,Percentage,Stuttgart,10.4,9.9,14.0
Annual,Percentage,Karlsruhe,8.7,10.6,12.7
Annual,Percentage,Freiburg,10.5,9.4,12.9
Annual,Percentage,Tübingen,10.8,12.6,14.0
Annual,Percentage,Bayern,7.8,7.7,7.9
Annual,Percentage,Oberbayern,7.2,7.6,7.7
Annual,Percentage,Niederbayern,8.5,7.9,9.1
Annual,Percentage,Oberpfalz,6.2,7.6,8.6
Annual,Percentage,Oberfranken,6.4,8.4,7.8
Annual,Percentage,Mittelfranken,7.7,7.6,7.9
Annual,Percentage,Unterfranken,10.4,7.8,9.6
Annual,Percentage,Schwaben,8.9,7.3,6.2
Annual,Percentage,Berlin,7.4,9.1,13.2
Annual,Percentage,Berlin,7.4,9.1,13.2
Annual,Percentage,Brandenburg,12.9,16.0,17.9
Annual,Percentage,Brandenburg,12.9,16.0,17.9
Annual,Percentage,Bremen,15.5,14.1,17.8
Annual,Percentage,Bremen,15.5,14.1,17.8
Annual,Percentage,Hamburg,7.9,8.9,11.1
Annual,Percentage,Hamburg,7.9,8.9,11.1
Annual,Percentage,Hessen,12.6,12.7,13.1
Annual,Percentage,Darmstadt,11.5,11.7,11.9
Annual,Percentage,Gießen,12.2,12.2,14.6
Annual,Percentage,Kassel,16.6,16.5,15.8
Annual,Percentage,Mecklenburg-Vorpommern,15.1,19.3,15.3
Annual,Percentage,Mecklenburg-Vorpommern,15.1,19.3,15.3
Annual,Percentage,Niedersachsen,11.5,13.2,15.0
Annual,Percentage,Braunschweig,13.6,14.2,16.2
Annual,Percentage,Hannover,12.1,14.3,16.6
Annual,Percentage,Lüneburg,11.3,11.7,12.2
Annual,Percentage,Weser-Ems,9.8,12.7,14.8
Annual,Percentage,Nordrhein-Westfalen,12.2,14.3,15.8
Annual,Percentage,Düsseldorf,13.3,14.9,14.9
Annual,Percentage,Köln,12.0,13.9,17.2
Annual,Percentage,Münster,11.4,14.2,16.3
Annual,Percentage,Detmold,12.4,11.0,13.6
Annual,Percentage,Arnsberg,11.3,16.1,16.6
Annual,Percentage,Rheinland-Pfalz,10.0,10.4,12.7
Annual,Percentage,Koblenz,11.4,12.7,14.8
Annual,Percentage,Trier,6.3,8.2,8.7
Annual,Percentage,Rheinhessen-Pfalz,9.9,9.2,12.2
Annual,Percentage,Saarland,9.9,14.6,18.9
Annual,Percentage,Saarland,9.9,14.6,18.9
Annual,Percentage,Sachsen,7.2,8.4,9.4
Annual,Percentage,Dresden,6.7,8.8,8.1
Annual,Percentage,Chemnitz,7.8,9.6,10.3
Annual,Percentage,Leipzig,7.1,6.1,10.0
Annual,Percentage,Sachsen-Anhalt,9.5,11.3,11.8
Annual,Percentage,Sachsen-Anhalt,9.5,11.3,11.8
Annual,Percentage,Schleswig-Holstein,7.4,8.5,12.7
Annual,Percentage,Schleswig-Holstein,7.4,8.5,12.7
Annual,Percentage,Thüringen,16.4,16.3,20.3
Annual,Percentage,Thüringen,16.4,16.3,20.3
Annual,Percentage,Denmark,2.0,2.2,3.9
Annual,Percentage,Hovedstaden,2.0,2.6,5.5
Annual,Percentage,Sjælland,2.2,2.3,2.8
Annual,Percentage,Syddanmark,2.3,1.7,2.5
Annual,Percentage,Midtjylland,1.9,2.0,3.1
Annual,Percentage,Nordjylland,1.1,2.2,4.7
Annual,Percentage,Estonia,3.5,5.4,5.7
Annual,Percentage,Greece,11.5,10.0,10.9
Annual,Percentage,Attiki,9.6,10.5,10.9
Annual,Percentage,Attiki,9.6,10.5,10.9
Annual,Percentage,"Nisia Aigaiou, Kriti",10.3,7.4,6.9
Annual,Percentage,Voreio Aigaio,9.4,6.7,6.8
Annual,Percentage,Notio Aigaio,9.4,7.8,5.4
Annual,Percentage,Kriti,11.2,7.4,7.8
Annual,Percentage,Voreia Elláda,13.3,8.8,10.6
Annual,Percentage,"Anatoliki Makedonia, Thraki",17.0,10.9,14.8
Annual,Percentage,Kentriki Makedonia,13.3,9.7,10.7
Annual,Percentage,Dytiki Makedonia,8.5,5.8,9.2
Annual,Percentage,Ipeiros,11.3,2.6,4.1
Annual,Percentage,Kentriki Elláda,12.9,11.8,12.9
Annual,Percentage,Thessalia,8.4,6.9,7.0
Annual,Percentage,Ionia Nisia,14.4,18.6,18.9
Annual,Percentage,Dytiki Elláda,18.0,11.5,16.4
Annual,Percentage,Sterea Elláda,12.0,14.6,10.1
Annual,Percentage,Peloponnisos,13.1,13.9,16.4
Annual,Percentage,Spain,4.7,5.4,6.4
Annual,Percentage,Noroeste,2.9,4.2,4.9
Annual,Percentage,Galicia,2.1,4.4,4.5
Annual,Percentage,Principado de Asturias,3.3,3.5,5.1
Annual,Percentage,Cantabria,6.0,4.7,6.0
Annual,Percentage,Noreste,4.0,2.4,3.8
Annual,Percentage,País Vasco,4.5,2.4,3.4
Annual,Percentage,Comunidad Foral de Navarra,4.2,3.5,4.2
Annual,Percentage,La Rioja,3.0,2.2,5.4
Annual,Percentage,Aragón,3.3,1.9,3.9
Annual,Percentage,Comunidad de Madrid,4.3,4.5,5.7
Annual,Percentage,Comunidad de Madrid,4.3,4.5,5.7
Annual,Percentage,Centro (ES),3.2,4.9,4.4
Annual,Percentage,Castilla y León,2.4,3.5,3.5
Annual,Percentage,Castilla-La Mancha,3.8,7.2,5.1
Annual,Percentage,Extremadura,3.7,3.8,5.2
Annual,Percentage,Este,3.6,4.6,5.5
Annual,Percentage,Cataluña,3.9,5.0,5.1
Annual,Percentage,Comunitat Valenciana,3.4,3.4,6.6
Annual,Percentage,Illes Balears,2.9,7.4,4.2
Annual,Percentage,Sur,6.7,7.4,9.5
Annual,Percentage,Andalucía,6.8,8.0,10.2
Annual,Percentage,Región de Murcia,5.1,3.7,5.9
Annual,Percentage,Ciudad de Ceuta,13.2,13.8,12.8
Annual,Percentage,Ciudad de Melilla,12.3,16.6,12.3
Annual,Percentage,Canarias,12.3,11.9,12.6
Annual,Percentage,Canarias,12.3,11.9,12.6
Annual,Percentage,Finland,2.3,2.6,3.8
Annual,Percentage,Manner-Suomi,2.3,2.6,3.9
Annual,Percentage,"Länsi-Suomi, Åland",2.3,2.6,3.4
Annual,Percentage,Helsinki-Uusimaa,1.7,2.8,4.4
Annual,Percentage,Etelä-Suomi,3.3,3.3,4.8
Annual,Percentage,Pohjois- ja Itä-Suomi,2.1,1.9,2.8
Annual,Percentage,France,6.3,9.5 b,12.2
Annual,Percentage,Ile de France,:,9.0,11.4
Annual,Percentage,Ile de France,:,9.0,11.4
Annual,Percentage,Centre — Val de Loire,:,9.9,11.1
Annual,Percentage,Centre — Val de Loire,:,9.9,11.1
Annual,Percentage,Bourgogne-Franche-Comté,:,9.7,11.7
Annual,Percentage,Bourgogne,:,9.9,12.1
Annual,Percentage,Franche-Comté,:,9.5,11.1
Annual,Percentage,Normandie,:,10.2,11.7
Annual,Percentage,Basse-Normandie,:,9.9,11.6
Annual,Percentage,Haute-Normandie,:,10.5,11.8
Annual,Percentage,Hauts-de-France,:,11.1,14.8
Annual,Percentage,Nord-Pas de Calais,:,11.3,15.4
Annual,Percentage,Picardie,:,10.7,13.5
Annual,Percentage,Grand Est,:,10.1,12.9
Annual,Percentage,Alsace,:,9.3,11.4
Annual,Percentage,Champagne-Ardenne,:,11.1,13.2
Annual,Percentage,Lorraine,:,10.2,14.0
Annual,Percentage,Pays de la Loire,:,8.7,11.3
Annual,Percentage,Pays de la Loire,:,8.7,11.3
Annual,Percentage,Bretagne,:,8.9,10.9
Annual,Percentage,Bretagne,:,8.9,10.9
Annual,Percentage,Nouvelle-Aquitaine,:,9.4,12.2
Annual,Percentage,Aquitaine,:,9.3,12.3
Annual,Percentage,Limousin,:,9.9,13.5
Annual,Percentage,Poitou-Charentes,:,9.5,11.6
Annual,Percentage,Occitanie,:,10.3,13.0
Annual,Percentage,Languedoc-Roussillon,:,11.1,13.6
Annual,Percentage,Midi-Pyrénées,:,9.5,12.4
Annual,Percentage,Auvergne-Rhône-Alpes,:,9.0,11.5
Annual,Percentage,Auvergne,:,9.8,11.8
Annual,Percentage,Rhône-Alpes,:,8.9,11.4
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,9.8,12.4
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,9.8,12.4
Annual,Percentage,Corse,:,11.0,12.8
Annual,Percentage,Corse,:,11.0,12.8
Annual,Percentage,RUP FR — Régions Ultrapériphériques Françaises,:,14.3,21.2
Annual,Percentage,Guadeloupe,:,14.6,18.9
Annual,Percentage,Martinique,:,14.5,17.4
Annual,Percentage,Guyane,:,17.5,33.7
Annual,Percentage,La Réunion,:,15.8,20.0
Annual,Percentage,Croatia,5.6,6.9,5.5
Annual,Percentage,Panonska Hrvatska,5.5,9.2,8.4
Annual,Percentage,Jadranska Hrvatska,6.6,8.2,4.9
Annual,Percentage,Grad Zagreb,2.3,2.9,1.9
Annual,Percentage,Sjeverna Hrvatska,7.4,6.0,6.2
Annual,Percentage,Hungary,12.2,13.9,14.7
Annual,Percentage,Közép-Magyarország,7.7,12.3,10.8
Annual,Percentage,Budapest,7.5,8.8,5.5
Annual,Percentage,Pest,7.9,16.7,17.4
Annual,Percentage,Dunántúl,14.2,15.2,14.1
Annual,Percentage,Közép-Dunántúl,11.5,10.9,10.9
Annual,Percentage,Nyugat-Dunántúl,15.4,21.2,12.3
Annual,Percentage,Dél-Dunántúl,16.2,13.5,20.0
Annual,Percentage,Alföld és Észak,14.2,14.2,18.3
Annual,Percentage,Észak-Magyarország,20.1,20.8,29.5
Annual,Percentage,Észak-Alföld,13.3,14.2,15.5
Annual,Percentage,Dél-Alföld,9.9,8.3,11.5
Annual,Percentage,Ireland,1.7,1.2,1.6
Annual,Percentage,Northern and Western,0.9,0.7,0.5
Annual,Percentage,Southern,2.0,1.7,2.1
Annual,Percentage,Eastern and Midland,1.7,1.0,1.6
Annual,Percentage,Italy,7.9,7.5,8.4
Annual,Percentage,Nord-Ovest,5.0,4.3,5.9
Annual,Percentage,Piemonte,6.4,6.2,5.7
Annual,Percentage,Valle d’Aosta/Vallée d’Aoste,6.0,7.1,2.2
Annual,Percentage,Liguria,7.2,7.6,5.5
Annual,Percentage,Lombardia,4.1,2.9,6.1
Annual,Percentage,Sud,15.0,13.4,13.4
Annual,Percentage,Abruzzo,7.7,6.4,14.6
Annual,Percentage,Molise,5.7,12.7,5.0
Annual,Percentage,Campania,20.2,16.3,14.9
Annual,Percentage,Puglia,12.4,9.8,13.3
Annual,Percentage,Basilicata,13.1,11.5,5.2
Annual,Percentage,Calabria,11.3,17.4,11.9
Annual,Percentage,Isole,11.1,9.1,9.6
Annual,Percentage,Sicilia,12.1,9.8,9.9
Annual,Percentage,Sardegna,7.8,6.9,8.8
Annual,Percentage,Nord-Est,3.4,3.8,5.1
Annual,Percentage,Provincia Autonoma di Bolzano/Bozen,2.6,0.5,2.1
Annual,Percentage,Provincia Autonoma di Trento,3.3,4.0,5.0
Annual,Percentage,Veneto,4.4,3.6,7.0
Annual,Percentage,Friuli-Venezia Giulia,6.3,2.7,3.9
Annual,Percentage,Emilia-Romagna,1.6,4.7,3.7
Annual,Percentage,Centro (IT),6.6,7.6,8.8
Annual,Percentage,Toscana,4.4,4.5,4.3
Annual,Percentage,Umbria,3.9,2.5,4.5
Annual,Percentage,Marche,7.3,3.6,6.4
Annual,Percentage,Lazio,8.4,11.4,12.9
Annual,Percentage,Lithuania,8.9,10.4,11.1
Annual,Percentage,Sostinės regionas,6.4,8.4,9.7
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,9.9,11.2,11.6
Annual,Percentage,Luxembourg,2.3,1.8 b,3.3
Annual,Percentage,Latvia,6.5,8.8,7.7
Annual,Percentage,Montenegro,20.5,19.0,:
Annual,Percentage,Malta,6.2,7.5,9.4
Annual,Percentage,Netherlands,1.8,2.1,2.9
Annual,Percentage,Noord-Nederland,1.9,1.9,2.9
Annual,Percentage,Oost-Nederland,1.3,1.5,2.1
Annual,Percentage,West-Nederland,2.2,2.6,3.6
Annual,Percentage,Zuid-Nederland,1.2,1.7,2.3
Annual,Percentage,Norway,2.3,2.2,2.5
Annual,Percentage,Innlandet,1.6,3.1,3.0
Annual,Percentage,Trøndelag,2.2,1.2,4.2
Annual,Percentage,Nord-Norge,3.5,1.8,1.5
Annual,Percentage,Oslo og Viken,2.6,2.8,2.7
Annual,Percentage,Agder og Sør-Østlandet,1.8,2.6,3.1
Annual,Percentage,Vestlandet,2.2,1.5,1.3
Annual,Percentage,Poland,3.7,4.2,3.5
Annual,Percentage,Makroregion południowy,3.4,4.6,2.9
Annual,Percentage,Małopolskie,3.6,4.3,2.4
Annual,Percentage,Śląskie,3.3,4.8,3.2
Annual,Percentage,Makroregion północno-zachodni,3.1,3.9,2.3
Annual,Percentage,Wielkopolskie,2.7,3.0,1.5
Annual,Percentage,Zachodniopomorskie,1.9,4.8,3.2
Annual,Percentage,Lubuskie,6.5,5.7,3.6
Annual,Percentage,Makroregion południowo-zachodni,3.1,3.1,3.3
Annual,Percentage,Dolnośląskie,2.7,2.9,3.2
Annual,Percentage,Opolskie,4.4,3.6,3.6
Annual,Percentage,Makroregion północny,3.7,3.9,4.1
Annual,Percentage,Kujawsko-pomorskie,2.7,2.4,3.9
Annual,Percentage,Warmińsko-mazurskie,4.7,5.4,3.0
Annual,Percentage,Pomorskie,4.1,4.4,5.0
Annual,Percentage,Makroregion centralny,4.5,4.9,5.0
Annual,Percentage,Łódzkie,4.3,4.2,4.5
Annual,Percentage,Świętokrzyskie,4.9,6.2,5.9
Annual,Percentage,Makroregion wschodni,5.8,5.7,4.4
Annual,Percentage,Lubelskie,6.6,6.9,5.5
Annual,Percentage,Podkarpackie,7.1,6.6,5.0
Annual,Percentage,Podlaskie,1.8,1.6,1.2
Annual,Percentage,Makroregion województwo mazowieckie,2.6,3.5,3.7
Annual,Percentage,Warszawski stołeczny,2.4,3.3,3.7
Annual,Percentage,Mazowiecki regionalny,2.9,3.7,3.6
Annual,Percentage,Portugal,2.4,3.0,2.3
Annual,Percentage,Norte,2.6,2.8,2.3
Annual,Percentage,Algarve,5.1,2.9,2.6
Annual,Percentage,Centro (PT) (NUTS 2021),1.6,2.0,1.9
Annual,Percentage,Área Metropolitana de Lisboa (NUTS 2021),1.8,3.0,1.6
Annual,Percentage,Alentejo (NUTS 2021),2.4,2.9,2.3
Annual,Percentage,Região Autónoma dos Açores,6.4,11.6,10.6
Annual,Percentage,Região Autónoma da Madeira,5.0,7.1,7.6
Annual,Percentage,Romania,19.2,22.1,23.2
Annual,Percentage,Macroregiunea Unu,20.4,24.7,24.8
Annual,Percentage,Nord-Vest,18.3,20.9,24.0
Annual,Percentage,Centru,22.8,28.8,25.7
Annual,Percentage,Macroregiunea Doi,20.9,21.7,22.4
Annual,Percentage,Nord-Est,19.2,19.8,20.5
Annual,Percentage,Sud-Est,23.2,24.2,24.9
Annual,Percentage,Macroregiunea Trei,18.8,18.9,22.9
Annual,Percentage,Sud-Muntenia,22.9,22.1,24.5
Annual,Percentage,Bucureşti-Ilfov,13.7,15.0,20.9
Annual,Percentage,Macroregiunea Patru,15.6,23.7,22.9
Annual,Percentage,Sud-Vest Oltenia,14.6,25.3,26.4
Annual,Percentage,Vest,16.8,22.0,18.9
Annual,Percentage,Serbia,14.9,14.7,:
Annual,Percentage,Sweden,1.6,2.4,2.8
Annual,Percentage,Östra Sverige,1.7,2.3,2.9
Annual,Percentage,Stockholm,1.6,2.3,2.8
Annual,Percentage,Östra Mellansverige,1.9,2.4,3.0
Annual,Percentage,Södra Sverige,1.3,2.7,2.7
Annual,Percentage,Småland med öarna,0.9,2.6,3.1
Annual,Percentage,Sydsverige,1.8,3.3,2.5
Annual,Percentage,Västsverige,1.2,2.3,2.6
Annual,Percentage,Norra Sverige,2.0,1.7,2.9
Annual,Percentage,Norra Mellansverige,2.9,2.2,2.8
Annual,Percentage,Mellersta Norrland,1.7,1.2,3.1
Annual,Percentage,Övre Norrland,0.6,1.2,2.8
Annual,Percentage,Slovenia,4.2,3.5,3.3
Annual,Percentage,Vzhodna Slovenija,5.5,4.3,3.9
Annual,Percentage,Zahodna Slovenija,3.0,2.7,2.5
Annual,Percentage,Slovakia,12.7,15.8,17.8
Annual,Percentage,Bratislavský kraj,5.1,7.8,5.2
Annual,Percentage,Západné Slovensko,10.1,13.0,14.1
Annual,Percentage,Stredné Slovensko,17.2,18.4,20.4
Annual,Percentage,Východné Slovensko,15.0,20.5,25.6
Annual,Percentage,Türkiye,38.3,41.5,39.1
