Time frequency,Frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,At least once,Total,Percentage,Finland,99.3,98.8
Annual,At least once,Total,Percentage,Croatia,94.8,:
Annual,At least once,Total,Percentage,Hungary,96.4,96.2
Annual,At least once,Total,Percentage,Italy,:,83.0
Annual,At least once,Total,Percentage,Lithuania,98.6,96.9
Annual,At least once,Total,Percentage,Luxembourg,:,99.6
Annual,At least once,Total,Percentage,Latvia,97.3,97.3
Annual,At least once,Total,Percentage,Malta,82.3,77.4
Annual,At least once,Total,Percentage,Poland,97.9,96.3
Annual,At least once,Total,Percentage,Portugal,86.7,93.0
Annual,At least once,Total,Percentage,Romania,92.3,81.0
Annual,At least once,Total,Percentage,Serbia,:,93.0
Annual,At least once,Total,Percentage,Slovenia,97.3,86.9
Annual,At least once,Total,Percentage,Slovakia,99.4,99.2
Annual,At least once,Total,Percentage,Türkiye,76.3,68.2
Annual,At least once,Total,Percentage,United Kingdom,:,88.1
Annual,At least once a month,Females,Percentage,Austria,2.5,2.1
Annual,At least once a month,Females,Percentage,Belgium,8.5,:
Annual,At least once a month,Females,Percentage,Bulgaria,5.5,8.3
Annual,At least once a month,Females,Percentage,Cyprus,9.2,10.8
Annual,At least once a month,Females,Percentage,Czechia,9.7,8.3
Annual,At least once a month,Females,Percentage,Germany,:,2.7
Annual,At least once a month,Females,Percentage,Estonia,2.5,3.7
Annual,At least once a month,Females,Percentage,Greece,10.9,12.9
Annual,At least once a month,Females,Percentage,Spain,7.4,7.0
Annual,At least once a month,Females,Percentage,Finland,1.2 u,2.2 u
Annual,At least once a month,Females,Percentage,Croatia,5.7,:
Annual,At least once a month,Females,Percentage,Hungary,4.1,5.2
Annual,At least once a month,Females,Percentage,Italy,:,9.4
Annual,At least once a month,Females,Percentage,Lithuania,2.4,3.7
Annual,At least once a month,Females,Percentage,Luxembourg,:,3.6 u
Annual,At least once a month,Females,Percentage,Latvia,3.0 u,5.7
Annual,At least once a month,Females,Percentage,Malta,8.3,7.3
Annual,At least once a month,Females,Percentage,Poland,5.8,6.5
Annual,At least once a month,Females,Percentage,Portugal,8.9,7.3
Annual,At least once a month,Females,Percentage,Romania,13.5,12.6
Annual,At least once a month,Females,Percentage,Serbia,:,8.1
Annual,At least once a month,Females,Percentage,Slovenia,3.3,2.9
Annual,At least once a month,Females,Percentage,Slovakia,2.9,5.0
Annual,At least once a month,Females,Percentage,Türkiye,8.5,8.8
Annual,At least once a month,Females,Percentage,United Kingdom,:,8.1
Annual,At least once a month,Males,Percentage,Austria,1.9 u,1.7 u
Annual,At least once a month,Males,Percentage,Belgium,7.3,:
Annual,At least once a month,Males,Percentage,Bulgaria,4.6,5.3
Annual,At least once a month,Males,Percentage,Cyprus,4.8,6.6
Annual,At least once a month,Males,Percentage,Czechia,6.1,5.4
Annual,At least once a month,Males,Percentage,Germany,:,2.8
Annual,At least once a month,Males,Percentage,Estonia,3.1 u,3.7
Annual,At least once a month,Males,Percentage,Greece,6.7,13.7
Annual,At least once a month,Males,Percentage,Spain,5.4,4.3
Annual,At least once a month,Males,Percentage,Finland,: u,2.0 u
Annual,At least once a month,Males,Percentage,Croatia,4.2,:
Annual,At least once a month,Males,Percentage,Hungary,3.9,5.0
Annual,At least once a month,Males,Percentage,Italy,:,7.1
Annual,At least once a month,Males,Percentage,Lithuania,3.1 u,4.6
Annual,At least once a month,Males,Percentage,Luxembourg,:,2.3 u
Annual,At least once a month,Males,Percentage,Latvia,5.2,9.2
Annual,At least once a month,Males,Percentage,Malta,5.4 u,5.0
Annual,At least once a month,Males,Percentage,Poland,7.0,8.7
Annual,At least once a month,Males,Percentage,Portugal,5.7,4.4
Annual,At least once a month,Males,Percentage,Romania,9.7,12.0
Annual,At least once a month,Males,Percentage,Serbia,:,6.9
Annual,At least once a month,Males,Percentage,Slovenia,2.8,3.5
Annual,At least once a month,Males,Percentage,Slovakia,2.9,5.1
Annual,At least once a month,Males,Percentage,Türkiye,5.0,6.2
Annual,At least once a month,Males,Percentage,United Kingdom,:,7.6
Annual,At least once a month,Total,Percentage,Austria,2.2,1.9
Annual,At least once a month,Total,Percentage,Belgium,7.9,:
Annual,At least once a month,Total,Percentage,Bulgaria,5.1,6.8
Annual,At least once a month,Total,Percentage,Cyprus,7.0,8.8
Annual,At least once a month,Total,Percentage,Czechia,7.9,6.8
Annual,At least once a month,Total,Percentage,Germany,:,2.7
Annual,At least once a month,Total,Percentage,Estonia,2.8,3.7
Annual,At least once a month,Total,Percentage,Greece,8.8,13.3
Annual,At least once a month,Total,Percentage,Spain,6.4,5.6
Annual,At least once a month,Total,Percentage,Finland,1.1 u,2.1
Annual,At least once a month,Total,Percentage,Croatia,5.0,:
Annual,At least once a month,Total,Percentage,Hungary,4.0,5.1
Annual,At least once a month,Total,Percentage,Italy,:,8.2
Annual,At least once a month,Total,Percentage,Lithuania,2.7,4.1
Annual,At least once a month,Total,Percentage,Luxembourg,:,2.9
Annual,At least once a month,Total,Percentage,Latvia,4.0,7.4
Annual,At least once a month,Total,Percentage,Malta,6.9,6.2
Annual,At least once a month,Total,Percentage,Poland,6.4,7.6
Annual,At least once a month,Total,Percentage,Portugal,7.3,5.9
Annual,At least once a month,Total,Percentage,Romania,11.6,12.3
Annual,At least once a month,Total,Percentage,Serbia,:,7.5
Annual,At least once a month,Total,Percentage,Slovenia,3.1,3.2
Annual,At least once a month,Total,Percentage,Slovakia,2.9,5.0
Annual,At least once a month,Total,Percentage,Türkiye,6.8,7.5
Annual,At least once a month,Total,Percentage,United Kingdom,:,7.8
Annual,At least once a week,Females,Percentage,Austria,26.1,20.0
Annual,At least once a week,Females,Percentage,Belgium,34.0,:
Annual,At least once a week,Females,Percentage,Bulgaria,38.8,33.8
Annual,At least once a week,Females,Percentage,Cyprus,44.9,37.2
Annual,At least once a week,Females,Percentage,Czechia,37.9,34.9
Annual,At least once a week,Females,Percentage,Germany,:,27.0
Annual,At least once a week,Females,Percentage,Estonia,23.7,24.1
Annual,At least once a week,Females,Percentage,Greece,35.1,27.2
Annual,At least once a week,Females,Percentage,Spain,30.7,29.7
Annual,At least once a week,Females,Percentage,Finland,10.1,11.2
Annual,At least once a week,Females,Percentage,Croatia,32.1,:
Annual,At least once a week,Females,Percentage,Hungary,27.7,25.2
Annual,At least once a week,Females,Percentage,Italy,:,9.5
Annual,At least once a week,Females,Percentage,Lithuania,30.1,29.6
Annual,At least once a week,Females,Percentage,Luxembourg,:,18.4
Annual,At least once a week,Females,Percentage,Latvia,28.3,37.7
Annual,At least once a week,Females,Percentage,Malta,41.9,31.8
Annual,At least once a week,Females,Percentage,Poland,44.5,37.2
Annual,At least once a week,Females,Percentage,Portugal,35.7,33.7
