Time frequency,Frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,Never,Males,Percentage,Latvia,2.8 u,3.8
Annual,Never,Males,Percentage,Malta,17.4,22.2
Annual,Never,Males,Percentage,Poland,2.7,4.8
Annual,Never,Males,Percentage,Portugal,7.8,6.4
Annual,Never,Males,Percentage,Romania,4.6,16.0
Annual,Never,Males,Percentage,Serbia,:,6.7
Annual,Never,Males,Percentage,Slovenia,2.6,13.3
Annual,Never,Males,Percentage,Slovakia,: u,1.0 u
Annual,Never,Males,Percentage,Türkiye,11.2,18.2
Annual,Never,Males,Percentage,United Kingdom,:,11.2
Annual,Never,Total,Percentage,Austria,2.7,2.2
Annual,Never,Total,Percentage,Belgium,9.3,:
Annual,Never,Total,Percentage,Bulgaria,11.0,12.1
Annual,Never,Total,Percentage,Cyprus,9.7,14.3
Annual,Never,Total,Percentage,Czechia,2.6,2.9
Annual,Never,Total,Percentage,Germany,7.9,6.7
Annual,Never,Total,Percentage,Estonia,1.9,2.8
Annual,Never,Total,Percentage,Greece,12.8,22.5
Annual,Never,Total,Percentage,Spain,11.4,15.7
Annual,Never,Total,Percentage,Finland,0.7 u,1.2 u
Annual,Never,Total,Percentage,Croatia,5.1,:
Annual,Never,Total,Percentage,Hungary,3.6,3.8
Annual,Never,Total,Percentage,Italy,:,16.9
Annual,Never,Total,Percentage,Lithuania,1.4 u,3.1
Annual,Never,Total,Percentage,Luxembourg,:,: u
Annual,Never,Total,Percentage,Latvia,1.8 u,2.7
Annual,Never,Total,Percentage,Malta,17.7,22.6
Annual,Never,Total,Percentage,Poland,2.1,3.7
Annual,Never,Total,Percentage,Portugal,13.3,7.0
Annual,Never,Total,Percentage,Romania,7.4,18.3
Annual,Never,Total,Percentage,Serbia,:,6.1
Annual,Never,Total,Percentage,Slovenia,2.7,13.1
Annual,Never,Total,Percentage,Slovakia,: u,0.8 u
Annual,Never,Total,Percentage,Türkiye,23.7,31.8
Annual,Never,Total,Percentage,United Kingdom,:,11.9
