Time frequency,Type of return,Unit of measure,Geopolitical entity (reporting)\Time,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Assisted return,Percentage,Austria,70.9,75.4,72.6,68.5,68.6,43.7,47.6,51.9,55.9,59.9,52.0,57.7,65.2,66.0,58.7
Quarterly,Assisted return,Percentage,Belgium,96.4,99.4,96.6,96.7,99.1,99.1,99.1,97.6,95.2,96.2,94.6,93.0,96.3,97.8,97.3
Quarterly,Assisted return,Percentage,Bulgaria,88.0,92.4,92.6,87.2,92.2,80.6,91.1,95.4,73.3,90.5,88.2,90.0,95.8,77.4,83.3
Quarterly,Assisted return,Percentage,Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,:,100.0,100.0
Quarterly,Assisted return,Percentage,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,Czechia,94.8,93.0,89.1,90.7,98.5,99.2,99.0,99.8,100.0,100.0,85.2,90.3,91.5,92.4,94.6
Quarterly,Assisted return,Percentage,Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,Denmark,98.7,98.6,99.2,98.6,100.0,99.5,95.7,99.0,98.2,98.8,99.2,99.3,99.1,100.0,98.7
Quarterly,Assisted return,Percentage,Estonia,6.4,13.2,24.0,12.8,13.2,20.2,10.7,10.4,25.9,27.0,22.0,20.8,19.1,17.5,29.5
Quarterly,Assisted return,Percentage,Greece,91.0,88.4,85.6,78.6,86.8,83.6,78.0,74.4,89.5,86.5,86.7,87.6,86.2,84.0,86.0
Quarterly,Assisted return,Percentage,Spain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,European Union - 27 countries (from 2020),76.0 b,74.2,73.6,67.8,72.0 bd,68.0,68.1,73.4,68.1,70.1,65.0,65.5,75.7,74.3,73.0
Quarterly,Assisted return,Percentage,Finland,65.1 b,61.2,65.6,65.5,65.2,66.1,64.9,61.6,62.8,66.4,64.3,59.6,69.3,69.5,67.2
Quarterly,Assisted return,Percentage,France,77.7 b,83.1,82.3,81.9,79.2,84.1,86.5,84.0,82.2,82.4,82.5,77.5,76.8,79.5,73.6
Quarterly,Assisted return,Percentage,Croatia,55.8,73.3,78.1,81.4,79.5,80.0,89.3,91.3,90.0,89.5,87.2,88.8,80.0,75.7,78.0
Quarterly,Assisted return,Percentage,Hungary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.1,56.6
Quarterly,Assisted return,Percentage,Ireland,47.1,56.3,30.6,48.6,26.3,29.1,23.5,70.1,63.9,62.3,71.9,67.1,72.0,52.8,61.1
Quarterly,Assisted return,Percentage,Italy,100.0,100.0,100.0,100.0,:,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,Liechtenstein,0.0,11.8,0.0,50.0,0.0,80.0,0.0,0.0,0.0,100.0,100.0,:,:,100.0,:
Quarterly,Assisted return,Percentage,Lithuania,0.0,0.0,0.0,0.0,33.2,3.1,2.7,3.2,5.8,0.2,3.4,2.7,5.2,5.6,4.4
Quarterly,Assisted return,Percentage,Luxembourg,74.4,63.9,76.9,77.1,92.9,67.5,84.9,85.3,83.1,89.7,76.5,65.8,69.1,60.4,69.4
Quarterly,Assisted return,Percentage,Latvia,14.9,9.5,7.8,17.6,28.2,5.6,4.8,4.6,5.1,5.5,1.1,2.6,6.0,7.0,3.9
Quarterly,Assisted return,Percentage,Montenegro,:,:,:,17.5,3.4,3.9,6.8,6.0,5.5,1.1,6.0,7.9,6.0,9.4,8.9
Quarterly,Assisted return,Percentage,Malta,64.4,54.4,66.5,57.0,58.5,40.3,38.7,59.7,61.2,66.1,64.1,65.1,60.2,61.5,45.9
Quarterly,Assisted return,Percentage,Netherlands,28.4,31.2,35.8,27.1,21.5,22.4,16.7,16.0,10.6,19.9,21.7,22.0,23.7,24.3,21.5
Quarterly,Assisted return,Percentage,Norway,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,Poland,3.5,10.9,7.8,23.4,27.4,22.4,14.5,97.8,25.3,22.3,16.1,19.7,18.6,22.8,17.7
Quarterly,Assisted return,Percentage,Portugal,96.8,95.0,94.9,97.3,97.2,96.4,98.5,97.6,98.1,98.0,100.0,100.0,100.0,100.0,100.0
Quarterly,Assisted return,Percentage,Romania,69.9,84.4,75.6,64.2,66.0,39.1,26.1,27.2,41.9,56.2,53.4,39.3,51.1,48.7,42.0
Quarterly,Assisted return,Percentage,Sweden,80.7,83.3,86.1,72.7,87.3,58.7,76.4,75.0,84.4,88.1,87.1,87.7,86.0,75.8,75.7
Quarterly,Assisted return,Percentage,Slovenia,100.2,62.3,44.4,26.2,0.0,47.6,25.8,15.1,7.9,19.0,13.2,12.5,15.1,23.7,23.1
Quarterly,Assisted return,Percentage,Slovakia,89.7,76.9,88.8,83.7,91.1,100.0,100.0,91.1,100.0,92.5,100.0,68.5,29.2,28.3,39.7
Quarterly,Assisted forced return,Percentage,Austria,32.9,22.0,23.4,19.3,18.1,12.2,16.0,16.0,17.9,20.2,17.8,21.6,22.5,20.4,19.8
Quarterly,Assisted forced return,Percentage,Belgium,34.1,37.9,34.0,36.4,70.9,65.6,72.2,63.0,70.8,64.9,69.2,70.0,67.4,63.3,54.8
Quarterly,Assisted forced return,Percentage,Bulgaria,82.0,85.5,88.3,80.5,81.2,71.3,89.5,91.6,62.2,81.1,71.8,83.1,90.8,67.9,75.3
Quarterly,Assisted forced return,Percentage,Switzerland,73.2,76.0,69.6,66.4,69.2,65.7,65.1,64.5,64.7,70.5,64.1,100.0,:,59.2,53.2
