Time frequency,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Belgium,79.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Bulgaria,19.2
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Switzerland,51.3 u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Cyprus,67.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Czechia,73.8
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Denmark,58.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),51.2 e
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Estonia,49.0
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Greece,77.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Spain,63.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),50.6 e
Annual,No interest,Some or severe,Total,16 years or over,Percentage,France,56.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Croatia,65.2
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Hungary,59.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Ireland,61.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Italy,32.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Lithuania,49.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Luxembourg,61.0
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Latvia,51.8
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Montenegro,41.8
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Malta,57.2
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Netherlands,63.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Norway,5.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Poland,45.0
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Portugal,43.7
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Romania,35.5
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Serbia,55.7
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Sweden,63.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Slovenia,70.5
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Slovakia,62.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,No time,Some or severe,Total,16 years or over,Percentage,Belgium,3.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Bulgaria,1.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Switzerland,9.9 u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Cyprus,14.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,Czechia,2.5
Annual,No time,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,No time,Some or severe,Total,16 years or over,Percentage,Denmark,7.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),7.5 e
Annual,No time,Some or severe,Total,16 years or over,Percentage,Estonia,6.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Greece,2.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,Spain,3.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),7.5 e
Annual,No time,Some or severe,Total,16 years or over,Percentage,France,10.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Croatia,1.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Hungary,4.0
Annual,No time,Some or severe,Total,16 years or over,Percentage,Ireland,10.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Italy,9.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Lithuania,8.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Luxembourg,10.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Latvia,17.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Montenegro,0.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Malta,2.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,Netherlands,7.3
Annual,No time,Some or severe,Total,16 years or over,Percentage,Norway,60.6
Annual,No time,Some or severe,Total,16 years or over,Percentage,Poland,10.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Portugal,13.0
Annual,No time,Some or severe,Total,16 years or over,Percentage,Romania,9.1
Annual,No time,Some or severe,Total,16 years or over,Percentage,Serbia,5.4
Annual,No time,Some or severe,Total,16 years or over,Percentage,Sweden,5.9
Annual,No time,Some or severe,Total,16 years or over,Percentage,Slovenia,11.8
Annual,No time,Some or severe,Total,16 years or over,Percentage,Slovakia,10.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Austria,100.0
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Belgium,17.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Bulgaria,79.0
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Switzerland,38.8 u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Cyprus,18.5
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Czechia,23.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Denmark,34.4
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),41.3 e
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Estonia,44.3
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Greece,20.0
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Spain,33.4
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),41.9 e
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,France,33.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Croatia,33.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Hungary,36.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Ireland,27.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Italy,58.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Lithuania,42.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Luxembourg,28.9
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Latvia,31.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Montenegro,57.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Malta,40.5
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Netherlands,29.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Norway,34.1
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Poland,44.6
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Portugal,43.4
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Romania,55.4
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Serbia,38.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Sweden,30.8
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Slovenia,17.7
Annual,Other reason,Some or severe,Total,16 years or over,Percentage,Slovakia,26.6
