Time frequency,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Austria,1.8
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Belgium,0.8
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Bulgaria,1.8
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Switzerland,: u
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Cyprus,0.4
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Czechia,1.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Denmark,0.6
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),0.7 e
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Estonia,1.7 u
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Greece,0.5
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Spain,0.8
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),0.8 e
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Finland,1.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,France,0.3
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Croatia,1.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Hungary,2.2
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Ireland,0.3
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Italy,0.4
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Lithuania,1.5
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Luxembourg,1.5 u
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Latvia,2.9
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Montenegro,0.7
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Malta,4.2
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Netherlands,0.0 n
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Norway,0.8
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Poland,1.0 u
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Portugal,0.7
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Romania,1.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Serbia,1.1
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Sweden,2.0
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Slovenia,1.1
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Slovakia,0.3
Annual,Difficulty,Some or severe,Total,16 years or over,Percentage,Türkiye,0.1
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Austria,1.0
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Belgium,1.6
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Bulgaria,3.0
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Switzerland,: u
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Cyprus,0.5
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Czechia,1.3
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Denmark,2.3
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),2.3 e
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Estonia,0.7 u
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Greece,4.9
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Spain,1.9
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),2.1 e
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Finland,0.1
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,France,1.9
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Croatia,1.5
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Hungary,5.1
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Ireland,1.0
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Italy,2.2
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Lithuania,2.3
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Luxembourg,2.0 u
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Latvia,1.3
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Montenegro,0.5
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Malta,0.7
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Netherlands,2.8
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Norway,1.1
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Poland,0.7 u
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Portugal,1.3
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,1.2
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,2.2
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,1.1
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,0.8
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,1.0
Annual,Financial reasons,Some or severe,Total,16 years or over,Percentage,Türkiye,1.4
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Austria,61.3
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Belgium,70.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Bulgaria,21.6
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Switzerland,: u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Cyprus,60.1
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Czechia,50.9
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Denmark,50.4
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),51.1 e
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Estonia,31.9 u
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Greece,83.5
Annual,No interest,Some or severe,Total,16 years or over,Percentage,Spain,43.6
