Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Dragoman - Sofia,Goods trains,Number,4500.0
Annual,Dragoman - Sofia,Other trains,Number,2180.0
Annual,Dragoman - Sofia,Passenger trains,Number,5031.0
Annual,Septemvri - Sofia,Goods trains,Number,3300.0
Annual,Septemvri - Sofia,Other trains,Number,978.0
Annual,Septemvri - Sofia,Passenger trains,Number,7140.0
Annual,Septemvri - Plovdiv,Goods trains,Number,3820.0
Annual,Septemvri - Plovdiv,Other trains,Number,562.0
Annual,Septemvri - Plovdiv,Passenger trains,Number,7375.0
Annual,Plovdiv - Dimitrovgrad,Goods trains,Number,3396.0
Annual,Plovdiv - Dimitrovgrad,Other trains,Number,252.0
Annual,Plovdiv - Dimitrovgrad,Passenger trains,Number,14958.0
Annual,Dimitrovgrad - Svilengrad,Goods trains,Number,2792.0
Annual,Dimitrovgrad - Svilengrad,Other trains,Number,181.0
Annual,Dimitrovgrad - Svilengrad,Passenger trains,Number,2212.0
Annual,Sofia - Mezdra,Goods trains,Number,2382.0
Annual,Sofia - Mezdra,Other trains,Number,1226.0
Annual,Sofia - Mezdra,Passenger trains,Number,10092.0
Annual,Mezdra - Yasen,Goods trains,Number,1183.0
Annual,Mezdra - Yasen,Other trains,Number,118.0
Annual,Mezdra - Yasen,Passenger trains,Number,5072.0
Annual,Yasen - Gorna Oryahovitza,Goods trains,Number,2285.0
Annual,Yasen - Gorna Oryahovitza,Other trains,Number,382.0
Annual,Yasen - Gorna Oryahovitza,Passenger trains,Number,7775.0
Annual,Gorna Oryahovitza - Kaspichan,Goods trains,Number,1823.0
Annual,Gorna Oryahovitza - Kaspichan,Other trains,Number,161.0
Annual,Gorna Oryahovitza - Kaspichan,Passenger trains,Number,5064.0
Annual,Kaspichan - Varna,Goods trains,Number,3486.0
Annual,Kaspichan - Varna,Other trains,Number,1309.0
Annual,Kaspichan - Varna,Passenger trains,Number,8417.0
Annual,Sofia - Karlovo,Goods trains,Number,3311.0
Annual,Sofia - Karlovo,Other trains,Number,800.0
Annual,Sofia - Karlovo,Passenger trains,Number,3424.0
Annual,Karlovo - Tulovo,Goods trains,Number,1096.0
Annual,Karlovo - Tulovo,Other trains,Number,38.0
Annual,Karlovo - Tulovo,Passenger trains,Number,2075.0
Annual,Tulovo - Zimnitza,Goods trains,Number,1395.0
Annual,Tulovo - Zimnitza,Other trains,Number,114.0
Annual,Tulovo - Zimnitza,Passenger trains,Number,4907.0
Annual,Karnobat - Podvis,Goods trains,Number,2228.0
Annual,Karnobat - Podvis,Other trains,Number,67.0
Annual,Karnobat - Podvis,Passenger trains,Number,2757.0
Annual,Podvis - Sindel,Goods trains,Number,2228.0
Annual,Podvis - Sindel,Other trains,Number,67.0
Annual,Podvis - Sindel,Passenger trains,Number,2757.0
Annual,Ruse - Gorna Oryahovitza,Goods trains,Number,1004.0
Annual,Ruse - Gorna Oryahovitza,Other trains,Number,230.0
Annual,Ruse - Gorna Oryahovitza,Passenger trains,Number,6117.0
Annual,Gorna Oryahovitza - Dabovo,Goods trains,Number,267.0
Annual,Gorna Oryahovitza - Dabovo,Other trains,Number,175.0
Annual,Gorna Oryahovitza - Dabovo,Passenger trains,Number,2904.0
Annual,Tulovo - Stara Zagora,Goods trains,Number,203.0
Annual,Tulovo - Stara Zagora,Other trains,Number,83.0
Annual,Tulovo - Stara Zagora,Passenger trains,Number,1631.0
Annual,Mihaylovo - Dimitrovgrad,Goods trains,Number,1396.0
Annual,Mihaylovo - Dimitrovgrad,Other trains,Number,210.0
Annual,Mihaylovo - Dimitrovgrad,Passenger trains,Number,754.0
Annual,Sofia - Pernik,Goods trains,Number,224.0
Annual,Sofia - Pernik,Other trains,Number,376.0
Annual,Sofia - Pernik,Passenger trains,Number,7885.0
Annual,Pernik - Radomir,Goods trains,Number,1335.0
Annual,Pernik - Radomir,Other trains,Number,166.0
Annual,Pernik - Radomir,Passenger trains,Number,5402.0
Annual,Radomir - Gen. Todorov,Goods trains,Number,1669.0
Annual,Radomir - Gen. Todorov,Other trains,Number,241.0
Annual,Radomir - Gen. Todorov,Passenger trains,Number,4685.0
Annual,Gen. Todorov - Kulata,Goods trains,Number,154.0
Annual,Gen. Todorov - Kulata,Other trains,Number,17.0
Annual,Gen. Todorov - Kulata,Passenger trains,Number,2554.0
Annual,Radomir - Gyueshevo,Goods trains,Number,1.0
Annual,Radomir - Gyueshevo,Other trains,Number,9.0
Annual,Radomir - Gyueshevo,Passenger trains,Number,3211.0
Annual,Mezdra - Boychinovtzi,Goods trains,Number,577.0
Annual,Mezdra - Boychinovtzi,Other trains,Number,110.0
