Time frequency,n_room,unit,geo\TIME_PERIOD,1991.0
Annual,1.0,NR,AT,345657.0
Annual,1.0,NR,BE,37522.0
Annual,1.0,NR,CH,64759.0
Annual,1.0,NR,DE,576831.0
Annual,1.0,NR,DK,47323.0
Annual,1.0,NR,EA,2861050.0
Annual,1.0,NR,EL,68109.0
Annual,1.0,NR,ES,48135.0
Annual,1.0,NR,EU15,3288243.0
Annual,1.0,NR,FI,205533.0
Annual,1.0,NR,FR,1303104.0
Annual,1.0,NR,FR9,23312.0
Annual,1.0,NR,IE,14976.0
Annual,1.0,NR,IT,218687.0
Annual,1.0,NR,LI,376.0
Annual,1.0,NR,LU,3422.0
Annual,1.0,NR,NL,57000.0
Annual,1.0,NR,NO,100101.0
Annual,1.0,NR,PT,50183.0
Annual,1.0,NR,SE,111297.0
Annual,1.0,NR,UK,200464.0
Annual,2.0,NR,AT,737787.0
Annual,2.0,NR,BE,381781.0
Annual,2.0,NR,CH,148962.0
Annual,2.0,NR,DE,1459551.0
Annual,2.0,NR,DK,68553.0
Annual,2.0,NR,EA,8218892.0
Annual,2.0,NR,EL,345351.0
Annual,2.0,NR,ES,292542.0
Annual,2.0,NR,EU15,9796707.0
Annual,2.0,NR,FI,265177.0
Annual,2.0,NR,FR,2792004.0
Annual,2.0,NR,FR9,55981.0
Annual,2.0,NR,IE,36328.0
Annual,2.0,NR,IT,1465301.0
Annual,2.0,NR,LI,480.0
Annual,2.0,NR,LU,4414.0
Annual,2.0,NR,NL,563000.0
Annual,2.0,NR,NO,255784.0
Annual,2.0,NR,PT,221007.0
Annual,2.0,NR,SE,337156.0
Annual,2.0,NR,UK,826755.0
Annual,3.0,NR,AT,843480.0
Annual,3.0,NR,BE,795963.0
Annual,3.0,NR,CH,360226.0
Annual,3.0,NR,DE,5346103.0
Annual,3.0,NR,DK,393808.0
Annual,3.0,NR,EA,19331096.0
Annual,3.0,NR,EL,767683.0
Annual,3.0,NR,ES,1340615.0
Annual,3.0,NR,EU15,23428163.0
Annual,3.0,NR,FI,485876.0
Annual,3.0,NR,FR,5063032.0
Annual,3.0,NR,FR9,96764.0
Annual,3.0,NR,IE,83869.0
Annual,3.0,NR,IT,3833997.0
Annual,3.0,NR,LI,771.0
Annual,3.0,NR,LU,12162.0
Annual,3.0,NR,NL,1008000.0
Annual,3.0,NR,NO,367896.0
Annual,3.0,NR,PT,517999.0
Annual,3.0,NR,SE,898520.0
Annual,3.0,NR,UK,2037056.0
Annual,4.0,NR,AT,537778.0
Annual,4.0,NR,BE,1074396.0
Annual,4.0,NR,CH,762753.0
Annual,4.0,NR,DE,7459387.0
Annual,4.0,NR,DK,524212.0
Annual,4.0,NR,EA,28587873.0
Annual,4.0,NR,EL,1106709.0
Annual,4.0,NR,ES,3070308.0
Annual,4.0,NR,EU15,35881740.0
Annual,4.0,NR,FI,459890.0
Annual,4.0,NR,FR,6022972.0
Annual,4.0,NR,FR9,129824.0
Annual,4.0,NR,IE,163317.0
Annual,4.0,NR,IT,6605764.0
Annual,4.0,NR,LI,1436.0
Annual,4.0,NR,LU,24094.0
Annual,4.0,NR,NL,2291000.0
Annual,4.0,NR,NO,430032.0
Annual,4.0,NR,PT,878967.0
Annual,4.0,NR,SE,978242.0
Annual,4.0,NR,UK,4684704.0
Annual,5.0,NR,AT,282750.0
Annual,5.0,NR,BE,723310.0
Annual,5.0,NR,CH,744994.0
Annual,5.0,NR,DE,4885179.0
Annual,5.0,NR,DK,601793.0
