Time frequency,Country/region of birth,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Reporting country,Percentage,Hungary,49.5
Annual,Reporting country,Percentage,Ireland,39.7
Annual,Reporting country,Percentage,Lithuania,25.0
Annual,Reporting country,Percentage,Luxembourg,47.9
Annual,Reporting country,Percentage,Latvia,25.7
Annual,Reporting country,Percentage,Montenegro,11.5
Annual,Reporting country,Percentage,Malta,23.9
Annual,Reporting country,Percentage,Netherlands,42.5
Annual,Reporting country,Percentage,Poland,16.7
Annual,Reporting country,Percentage,Portugal,19.1
Annual,Reporting country,Percentage,Romania,42.1
Annual,Reporting country,Percentage,Serbia,17.2
Annual,Reporting country,Percentage,Sweden,54.1
Annual,Reporting country,Percentage,Slovenia,22.8
Annual,Reporting country,Percentage,Slovakia,37.5
Annual,Reporting country,Percentage,Kosovo*,10.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Austria,29.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Belgium,24.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Bulgaria,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Cyprus,37.0 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Czechia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Germany,49.5
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Denmark,43.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Estonia,23.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Greece,39.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Spain,30.3
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,European Union (aggregate changing according to the context),32.8 e
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Finland,40.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,France,27.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Croatia,21.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Hungary,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Ireland,46.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Lithuania,29.2 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Luxembourg,37.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Latvia,19.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Montenegro,12.8 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Malta,27.5
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Netherlands,32.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Poland,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Portugal,24.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Romania,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Serbia,19.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Sweden,43.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovenia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovakia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Kosovo*,: u
