Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Netherlands,3458.785,3649.95,3692.065,3705.531,3991.72,4003.738,3884.944,3862.943,2935.62,2981.883
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Norway,274.966,288.418,295.845,325.534,328.553,322.224,334.301,347.929,319.482,340.257
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Poland,3420.882,3329.935,3537.569,3881.008,3918.937,3813.401,3867.885,3834.615,3302.534,3576.038
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Portugal,337.424,345.958,353.068,371.407,384.173,379.953,411.396,434.147,395.843,410.075
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Romania,420.892,458.591,453.305,495.784,565.828,557.151,530.671,566.582,554.831,539.309
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Serbia,159.455,152.413,192.188,190.508,170.313,151.504,149.301,138.332,148.878,145.723
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Sweden,625.392,614.779,632.624,627.096,603.505,624.703,589.141,564.298,648.124,600.859
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Slovenia,75.287,74.166,73.381,72.919,74.521,73.245,71.937,73.567,73.954,73.844
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Slovakia,137.209,150.297,148.743,142.552,132.68,129.36,131.8,131.742,123.964,119.368
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Türkiye,4468.821,3749.513,3686.388,4168.811,4443.581,4548.198,4839.102,4963.248,4936.576,:
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Ukraine,1999.391,1944.915,2125.407,1836.821,1873.591,1878.102,1660.882,:,:,:
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,United Kingdom,1023.269,744.878,1224.011,1334.723,1163.643,1211.439,:,:,:,:
Annual,Final consumption - other sectors - agriculture and forestry - energy use,Total,Thousand tonnes of oil equivalent,Kosovo*,22.351,27.63,29.331,29.618,31.347,36.214,33.657,38.563,37.547,:
