Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Seasonal adjustment,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Albania,:,:,:,768.4,820.4,847.5,907.2,971.3,997.1,1077.9,1118.9,1196.4
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Austria,-3190.0,-3957.0,-3163.0,-3272.0,-3582.0,-2816.0,-3894.0,-3504.0,-3767.0,-2857.0,-3353.0,-3356.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bosnia and Herzegovina,1879.7,1888.6,2029.3,1826.6,1793.3,1958.5,2050.2,2198.0,1965.3,2179.8,2452.9,2555.8
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Belgium,-5182.0,-5725.0,-5908.0,-6043.0,-6847.0,-5597.0,-6738.0,-5672.0,-6591.0,-6548.0,-6009.0,-8201.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bulgaria,2098.7,2395.7,1660.6,1599.7,1520.9,1744.6,1829.1,1928.9,1012.9,910.2,1458.3,1488.1
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Switzerland,-6499.4,-8778.3,-13545.1,-11109.2,-8644.3,-11626.0,-7774.0,-10787.0,-14215.4,-10969.4,-10567.0,-12624.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Cyprus,-245.2,-335.7,-407.5,-422.2,-367.5,-331.8,-363.1,-273.4,-360.7,-308.4,-199.9,-359.2
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Czechia,-1082.8,-414.5,-251.7,33.2,-986.7,-1253.7,-864.8,-752.8,-1012.1,-970.3,-1351.9,-1558.5
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Germany,-35510.0,-40218.0,-41442.0,-38770.0,-38260.0,-50964.0,-49721.0,-50375.0,-53405.0,-59500.0,-67487.0,-64234.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Denmark,-5075.4,-5237.0,-4476.9,-4425.9,-4115.7,-3977.1,-4949.8,-4538.8,-5147.1,-5200.6,-4095.5,-4370.5
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Euro area - 19 countries  (2015-2022),-138180.0,-145991.0,-143051.0,-133552.0,-136962.0,-134890.0,-149877.0,-147559.0,-157822.0,-159190.0,:,:
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Estonia,106.3,-10.9,14.7,7.1,-32.9,158.9,70.0,74.2,-6.5,-31.6,-108.8,204.2
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Greece,-953.0,1797.0,-334.0,-507.0,-588.0,-558.0,-322.0,584.0,561.0,1234.0,-301.0,1326.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Spain,-11168.0,-11468.0,-9404.0,-9683.0,-11008.0,-9334.0,-10898.0,-11936.0,-10271.0,-10925.0,-13310.0,-11845.0
Annual,Million euro,Secondary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Finland,-2239.0,-2987.0,-2946.0,-2922.0,-2908.0,-2424.0,-2713.0,-2782.0,-3175.0,-3336.0,-3493.0,-3075.0
