Time frequency,Unit of measure,Sex,Size classes in number of employees,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,Females,10 employees or more,Albania,:,:,:,23.46,15.18
Annual,Percentage,Females,10 employees or more,Austria,25.32,24.76,23.1,22.36,20.95
Annual,Percentage,Females,10 employees or more,Bosnia and Herzegovina,:,:,:,:,19.46
Annual,Percentage,Females,10 employees or more,Belgium,9.77,10.33,4.33,16.39,15.91
Annual,Percentage,Females,10 employees or more,Bulgaria,19.51,21.55,17.2,19.2,23.7
Annual,Percentage,Females,10 employees or more,Switzerland,:,16.92,13.99,13.79,13.33
Annual,Percentage,Females,10 employees or more,Cyprus,34.18,31.18,22.54,21.88,22.66
Annual,Percentage,Females,10 employees or more,Czechia,25.08,24.54,24.72,19.36,17.41
Annual,Percentage,Females,10 employees or more,Germany,27.44,28.72,28.73,26.2,23.09
Annual,Percentage,Females,10 employees or more,Denmark,10.61,10.28,10.43,10.23,11.79
Annual,Percentage,Females,10 employees or more,Euro area - 17 countries (2011-2013),19.46,19.13,20.06,18.56,:
Annual,Percentage,Females,10 employees or more,Euro area - 18 countries (2014),:,:,:,18.63,:
Annual,Percentage,Females,10 employees or more,Euro area - 19 countries  (2015-2022),:,:,20.21,18.69,:
Annual,Percentage,Females,10 employees or more,Estonia,29.84,30.1,29.35,27.46,26.95
Annual,Percentage,Females,10 employees or more,Greece,20.16,14.61,23.48,20.78,23.43
Annual,Percentage,Females,10 employees or more,Spain,21.24,21.02,19.84,18.93,17.61
Annual,Percentage,Females,10 employees or more,European Union - 27 countries (2007-2013),21.77,20.98,21.12,18.74,:
Annual,Percentage,Females,10 employees or more,European Union - 27 countries (from 2020),20.19,19.51,19.88,18.21,:
Annual,Percentage,Females,10 employees or more,European Union - 28 countries (2013-2020),:,21.09,21.16,:,:
Annual,Percentage,Females,10 employees or more,Finland,6.81,8.02,6.79,6.42,8.13
Annual,Percentage,Females,10 employees or more,France,9.33,7.87,11.72,11.31,10.81
Annual,Percentage,Females,10 employees or more,Croatia,:,24.99,26.0,23.07,21.65
Annual,Percentage,Females,10 employees or more,Hungary,21.05,21.15,18.61,12.31,15.6
Annual,Percentage,Females,10 employees or more,Ireland,26.67,23.57,25.55,22.63,21.97
