Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Primary education,Percentage,European Union - 28 countries (2013-2020),:,22.2 d,22.9 d,23.1 d,23.3 d,27.3 d,24.5 d,:,:,:
Annual,Primary education,Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Primary education,Percentage,France,13.1,14.5,12.8 d,12.8 d,12.9 d,12.7 d,11.6 d,11.4 d,11.2 d,11.3 d
Annual,Primary education,Percentage,Croatia,6.8,6.9,6.6,6.8,7.1,7.7,7.7,7.3,8.3,8.8
Annual,Primary education,Percentage,Hungary,4.1 d,3.5,4.2,4.2,4.7,5.3,6.2,7.4,8.0,9.1
Annual,Primary education,Percentage,Ireland,:,:,:,:,:,: d,:,:,0.3,0.3
Annual,Primary education,Percentage,Iceland,22.8,21.1,20.6,19.4,19.9,21.9,22.0,23.6,22.7,22.7
Annual,Primary education,Percentage,Italy,6.3,6.3,6.5,6.3,6.7,7.1,7.4,7.5,7.5,8.7
Annual,Primary education,Percentage,Liechtenstein,46.7,50.1,50.4,52.7,52.5,52.5,53.6,55.6,53.7,53.7
Annual,Primary education,Percentage,Lithuania,21.7,21.1,21.7,20.0,18.8 d,22.6,35.0,28.3,26.7,25.3
Annual,Primary education,Percentage,Luxembourg,15.4,17.3,42.5,42.1,24.8,22.0,22.2,20.0,29.0,21.8
Annual,Primary education,Percentage,Latvia,0.0,0.0,0.0,25.9,44.6,45.2,44.2,51.9,54.0,42.7
Annual,Primary education,Percentage,Montenegro,:,:,:,: d,:,: d,: d,:,: d,:
Annual,Primary education,Percentage,North Macedonia,2.0,2.0,3.9,2.7,2.9,3.1,3.2,2.6,3.5,3.2
Annual,Primary education,Percentage,Malta,1.7,1.9,1.8,1.1,1.4,1.0,0.6,0.5,0.5,0.7
Annual,Primary education,Percentage,Netherlands,:,66.2,67.5,68.8,68.7,68.8,69.3,70.9,71.9,71.5
