Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Short-cycle tertiary education,Percentage,Montenegro,:,:,:,:,:,: m,: m,:,: m,:
Annual,Short-cycle tertiary education,Percentage,North Macedonia,: m,: m,: m,: m,: m,: m,:,:,: m,: m
Annual,Short-cycle tertiary education,Percentage,Malta,32.1,36.6,35.3,38.2,51.6,61.3,45.2,56.3,59.2,69.9
Annual,Short-cycle tertiary education,Percentage,Netherlands,:,:,55.9,56.3,40.5,50.3,66.4,67.4,67.9,68.1
Annual,Short-cycle tertiary education,Percentage,Norway,: d,: d,32.9,29.4,29.1,29.4,28.3,42.2,42.8,48.7
Annual,Short-cycle tertiary education,Percentage,Poland,60.5,63.9,73.6,81.7,81.5,80.7,83.1,62.1,61.2 de,59.2 de
Annual,Short-cycle tertiary education,Percentage,Portugal,: m,: m,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Short-cycle tertiary education,Percentage,Romania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Short-cycle tertiary education,Percentage,Sweden,29.3,29.1,28.8,29.4,29.4,29.1,29.1,28.6,30.3,30.7
Annual,Short-cycle tertiary education,Percentage,Slovenia,93.2,92.3,91.5,92.8,92.8,92.9,92.9,93.0,66.0,65.2
Annual,Short-cycle tertiary education,Percentage,Slovakia,41.9,42.8,45.6,44.5,44.8,42.0,38.0,36.4,35.9,40.8
Annual,Short-cycle tertiary education,Percentage,Türkiye,11.1,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Short-cycle tertiary education,Percentage,United Kingdom,45.4,78.8,: d,: d,:,: d,: d,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Albania,:,:,:,:,:,:,:,:,47.9,38.9
Annual,Tertiary education (levels 5-8),Percentage,Austria,66.6,66.5,66.9,65.1,65.6,67.0,67.8,66.4,65.1,66.8
Annual,Tertiary education (levels 5-8),Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,47.3,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Belgium,44.3,49.9 d,: d,51.6 d,52.5,53.2,53.7,53.9,54.1,53.6
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,39.5,38.9,40.7,37.6,37.6,38.1,38.0,37.6,37.9,38.1
Annual,Tertiary education (levels 5-8),Percentage,Switzerland,70.0,70.6,70.6,71.5,71.2,73.0,73.7,73.7,73.6,74.4
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,39.5,47.2,49.1,55.4,54.8,57.1,57.6,67.6,68.0,68.3
Annual,Tertiary education (levels 5-8),Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education (levels 5-8),Percentage,Germany,59.7,60.7,61.4,61.5,61.5,61.5,63.3 bd,63.0,62.9,63.0
Annual,Tertiary education (levels 5-8),Percentage,Denmark,:,39.9,43.1,43.9,42.6,42.8,42.4,40.7,39.0,39.7
Annual,Tertiary education (levels 5-8),Percentage,Estonia,:,39.5,40.1,37.8,37.2,39.4,36.6,36.6,35.4,35.5
Annual,Tertiary education (levels 5-8),Percentage,Greece,:,0.0,8.8,18.5,19.2,9.2,24.4,10.5,23.6,27.1
Annual,Tertiary education (levels 5-8),Percentage,Spain,32.7,33.2,33.9,33.8,34.8,35.3,35.7,35.9,36.3,36.1
Annual,Tertiary education (levels 5-8),Percentage,European Union - 27 countries (from 2020),:,:,37.6 d,:,:,:,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,European Union - 28 countries (2013-2020),:,:,37.6 d,:,:,:,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education (levels 5-8),Percentage,France,:,:,:,7.9 d,6.8 d,:,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Croatia,42.2,41.5,39.6,41.0,39.7,39.2,40.0,40.0,41.1,41.2
Annual,Tertiary education (levels 5-8),Percentage,Hungary,30.1,29.8,28.8,29.5,31.0,32.9,32.6,35.1,37.1,39.7
Annual,Tertiary education (levels 5-8),Percentage,Ireland,:,:,:,:,:,: d,:,:,:,:
Annual,Tertiary education (levels 5-8),Percentage,Iceland,:,:,:,:,:,:,:,:,:,56.9
Annual,Tertiary education (levels 5-8),Percentage,Italy,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Tertiary education (levels 5-8),Percentage,Liechtenstein,81.1,78.6,83.2,84.2,83.9,93.3,86.4,100.0,100.0,100.0
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,59.7,59.3,60.5,62.9,63.4,63.4,63.8,65.1,67.6,68.2
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,:,:,2.0,2.9 d,10.2,5.6,4.5,6.0,7.1,5.9
Annual,Tertiary education (levels 5-8),Percentage,Latvia,72.3,78.9,81.0,80.3,79.3,82.2,84.8,81.7,82.6,81.0
Annual,Tertiary education (levels 5-8),Percentage,North Macedonia,2.0,0.0,3.4,24.7,20.8,34.5,36.4,36.9,33.5,34.2
Annual,Tertiary education (levels 5-8),Percentage,Malta,51.2,54.7,54.5,53.6,54.4,55.9,52.7,54.3,52.5,59.9
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,:,:,55.9,56.3,40.5,50.3,47.8,47.9,47.7,48.0
Annual,Tertiary education (levels 5-8),Percentage,Norway,31.2,33.4,35.3,:,37.5,36.9,37.9,37.2,37.8,39.5
Annual,Tertiary education (levels 5-8),Percentage,Poland,4.8,4.4,4.2,:,:,:,:,8.9,10.2 de,10.9 de
Annual,Tertiary education (levels 5-8),Percentage,Portugal,40.9,39.9,39.2 d,40.7 d,41.5 d,42.6,44.3,43.0,43.7,45.8
Annual,Tertiary education (levels 5-8),Percentage,Romania,0.3,0.6,0.3,2.0,2.1,2.0,0.5,1.4,1.2,0.6
Annual,Tertiary education (levels 5-8),Percentage,Serbia,11.0,10.9,10.4,10.5,11.4,11.5,12.3,11.3,11.6,12.3
Annual,Tertiary education (levels 5-8),Percentage,Sweden,29.3,28.9,28.7,29.4,29.2,28.9,29.2,29.2,30.9,31.5
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,70.1,69.0,69.4,69.4,69.5,68.1,69.3,69.4,55.7,50.1
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,15.1,15.5,15.0,14.2,14.7,15.4,15.5,15.2,15.9,16.7
Annual,Tertiary education (levels 5-8),Percentage,Türkiye,8.1,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education (levels 5-8),Percentage,United Kingdom,39.5,39.7,38.2,38.0,37.9,38.4 d,33.9 d,:,:,:
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Albania,:,:,:,:,:,:,:,:,47.9 d,38.9 d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Austria,73.3,73.3,73.9,72.1,72.5,73.9,74.4,72.5,71.0,72.2
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,47.3,:,:,:
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Belgium,:,:,: d,: d,: d,: d,: d,54.5,54.7,54.1
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Bulgaria,39.5,38.9,40.7,37.6,37.6,38.1,38.0,37.6,37.9,38.1
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Switzerland,70.0,70.6,70.6,71.5,71.2,73.0,73.7,73.7,73.6,74.4
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Cyprus,34.5,43.5,44.8,52.2,51.7,52.7,54.3,64.8,65.8,66.7
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Germany,59.7,60.7,61.4 d,61.5 d,61.5 d,61.5,63.2 bd,62.8,62.7,62.9
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Denmark,:,40.2,43.3,44.3,43.2,43.5,43.1,41.2,39.4,40.2
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Estonia,:,39.5,40.1,37.8,37.2,39.4,36.6,36.6,35.4,35.5
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Greece,:,0.0,8.8,18.5,19.2,9.2,24.4,10.5,23.6,27.1
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Spain,36.8,37.5,38.4,38.1,39.5,40.1,40.3,40.8,41.1,41.3
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,France,:,:,:,7.5 d,6.3 d,:,:,:,:,:
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Croatia,42.2 d,41.5,: d,41.0 d,39.7 d,: d,: d,: d,: d,: d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Hungary,: d,28.7,28.7,29.5,: d,: d,: d,: d,: d,: d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Ireland,:,:,:,:,:,: d,:,:,:,:
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Iceland,:,:,:,:,:,:,:,:,:,56.9
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Italy,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Liechtenstein,81.1,78.6,83.2,84.2,83.9,93.3,86.4,100.0,100.0,100.0
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Lithuania,59.7,59.3,60.5,62.9,63.4,63.4,63.8,65.1,67.6,68.2
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Luxembourg,:,:,1.5,2.9,10.3,5.3,4.0,5.0,5.6,4.8
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Latvia,71.5,77.7 d,: d,85.5 d,86.4 d,87.7 d,88.0 d,89.8 d,87.5 d,93.5 d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,North Macedonia,2.0,0.0,3.4,24.7,20.8,34.5,36.4,36.9,33.5,34.2
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Malta,54.8,57.7,57.9,55.7,54.8,55.1,53.7,54.1,51.9,59.1
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Netherlands,:,:,55.9,56.3,40.5,50.3,47.4,47.4,47.2,47.3
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Norway,31.2,33.4,35.3,:,37.7,37.1,38.2,37.1,37.7,39.3
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Poland,3.8,3.7 d,3.8 d,:,:,:,:,8.9,10.1,10.8
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Portugal,40.9 d,39.9 d,: d,: d,: d,: d,: d,: d,43.7 d,45.8 d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Romania,0.3,0.6,0.3,2.0,2.1,2.0,0.5,1.4,1.2,0.6
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Serbia,11.0,10.9,10.4,10.5,11.4,11.5,12.3,11.3,11.6,12.3
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Sweden,29.3,28.9,28.7,29.4,29.2,28.9,29.2,29.2,30.9,31.5
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Slovenia,64.1,63.4,64.1,63.2,63.1,63.1,63.1,63.2,53.4,47.9
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Slovakia,14.2,14.6,13.8,13.0,13.4,14.3,14.7,14.5,15.2,15.9
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,Türkiye,7.8,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Tertiary education excluding short-cycle tertiary education (levels 6-8),Percentage,United Kingdom,38.9,32.8,: d,: d,:,: d,: d,:,:,:
