Time frequency,Unit of measure,n_item,sex,age,geo\TIME_PERIOD,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Percentage,0.0,T,Y_LT18,EL,85.1,82.4,83.9,83.7,84.0,86.2,84.7,85.7,84.3,78.1
Annual,Percentage,0.0,T,Y_LT18,ES,84.4,77.9,78.9,81.4,78.5,85.1,80.0,81.5,71.2,69.5
Annual,Percentage,0.0,T,Y_LT18,EU,77.7,77.7,77.8,78.4,77.9,82.8 e,80.9 e,82.0 e,:,:
Annual,Percentage,0.0,T,Y_LT18,EU27_2007,77.7,77.7,77.7,78.4,77.8,82.8 e,80.8 e,82.0 e,:,:
Annual,Percentage,0.0,T,Y_LT18,EU27_2020,78.3 e,77.8 e,77.9 e,78.5 e,78.2 e,81.5 e,80.9 e,82.3 e,80.5 u,80.0
Annual,Percentage,0.0,T,Y_LT18,EU28,77.7,77.7,77.8,78.4,77.9,82.8 e,80.9 e,82.0 e,:,:
Annual,Percentage,0.0,T,Y_LT18,FI,89.7,91.2,91.9,92.5,91.4,92.3,91.3,93.2,91.3,89.4
Annual,Percentage,0.0,T,Y_LT18,FR,80.0,80.3,79.5,79.7,77.3,83.2,80.4,81.9,74.0 b,67.1
Annual,Percentage,0.0,T,Y_LT18,HR,84.5 b,85.8,85.8,86.9,86.9,87.2,88.2,88.2,88.9,92.9
Annual,Percentage,0.0,T,Y_LT18,HU,66.3,65.6,64.3,67.7,64.3,67.2,71.8,68.6,71.2,77.1
Annual,Percentage,0.0,T,Y_LT18,IE,79.8,79.3,82.0,81.3,81.7,81.8,84.5,81.9 b,78.8 bu,100.0
Annual,Percentage,0.0,T,Y_LT18,IS,74.7,75.7,77.3,73.1,75.5,74.2,74.3,76.2,:,:
Annual,Percentage,0.0,T,Y_LT18,IT,74.1,74.4,71.8,72.2,77.7,83.0,86.5,85.6,80.1,81.4
Annual,Percentage,0.0,T,Y_LT18,LT,71.4,71.3,71.4,75.2,71.2,73.6,77.4,75.6,82.3,86.5
Annual,Percentage,0.0,T,Y_LT18,LU,73.4,76.1,78.5,79.1,70.7 b,75.0,72.6,77.4,77.2 b,77.2
Annual,Percentage,0.0,T,Y_LT18,LV,57.4,60.1,61.4,65.3,69.0,70.4,69.2,72.4,77.7,75.9
Annual,Percentage,0.0,T,Y_LT18,ME,:,55.9,66.7,61.9,69.4,73.3,74.5,73.0,72.7,:
Annual,Percentage,0.0,T,Y_LT18,MK,74.2,77.9,76.8,82.9,78.4,81.2,79.1,80.6,80.9,:
Annual,Percentage,0.0,T,Y_LT18,MT,88.9,85.1,84.9,84.9,85.4,86.9,84.9,85.2,87.0,83.3
Annual,Percentage,0.0,T,Y_LT18,NL,79.5,82.5,80.7,81.4,80.2 b,83.9,82.5,83.0,81.9,83.7
Annual,Percentage,0.0,T,Y_LT18,NO,87.3,90.0,92.0,90.6,89.7,89.6,89.5,90.4,91.2,91.1
Annual,Percentage,0.0,T,Y_LT18,PL,83.4,84.0,86.1,84.1,84.6,83.8,85.3,86.2,:,91.0
Annual,Percentage,0.0,T,Y_LT18,PT,73.2,62.3,62.3,68.5,65.8,67.4,68.5,70.9,70.6,63.5
Annual,Percentage,0.0,T,Y_LT18,RO,52.5,50.4,53.7,55.3,54.0,60.4,63.6,68.4,69.2,79.9
Annual,Percentage,0.0,T,Y_LT18,RS,:,74.5,70.3,73.8,75.8,74.6,79.1,81.2,88.6,:
Annual,Percentage,0.0,T,Y_LT18,SE,85.1,84.7,84.0,84.6,85.4,87.0,85.6,87.0,84.9,90.0
Annual,Percentage,0.0,T,Y_LT18,SI,64.7,70.9,69.0,72.8,75.8,77.7,76.0,79.1,79.2,79.0
Annual,Percentage,0.0,T,Y_LT18,SK,87.3,88.6,90.7,89.8,90.9,89.7,92.6,92.3,93.9,90.7
Annual,Percentage,0.0,T,Y_LT18,TR,41.1,44.9,47.5,48.7,49.4,51.2,52.3,52.0,55.0,56.0
Annual,Percentage,0.0,T,Y_LT18,UK,74.5 b,77.5,76.7,77.9,76.1,90.7 bu,80.7 u,:,:,:
Annual,Percentage,0.0,T,Y_LT18,XK,:,:,:,:,:,:,70.4,:,:,:
