Time frequency,Unit of measure,Farm type,Eurofarm indicators,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Thousand,Total,hold: Equidae,Austria,17.02,16.76,16.52,16.93
Annual,Thousand,Total,hold: Equidae,Belgium,6.18,6.16,5.92,5.4
Annual,Thousand,Total,hold: Equidae,Bulgaria,150.34,121.77,92.81,48.78
Annual,Thousand,Total,hold: Equidae,Switzerland,12.92,:,12.23,:
Annual,Thousand,Total,hold: Equidae,Cyprus,0.52,0.57,0.36,0.21
Annual,Thousand,Total,hold: Equidae,Czechia,4.86,4.71,3.47,3.9
Annual,Thousand,Total,hold: Equidae,Germany,64.14,69.15,49.0,46.31
Annual,Thousand,Total,hold: Equidae,Denmark,8.81,8.18,8.21,7.95
Annual,Thousand,Total,hold: Equidae,Estonia,1.37,1.1,0.99,0.91
Annual,Thousand,Total,hold: Equidae,Greece,22.91,16.28,14.14,11.07
Annual,Thousand,Total,hold: Equidae,Spain,75.36,71.63,51.03,44.86
Annual,Thousand,Total,hold: Equidae,Finland,4.93,5.46,5.32,4.44
Annual,Thousand,Total,hold: Equidae,France,62.75,55.34,54.64,43.32
Annual,Thousand,Total,hold: Equidae,Croatia,:,2.36,4.31,4.72
Annual,Thousand,Total,hold: Equidae,Hungary,30.35,25.52,27.27,25.19
Annual,Thousand,Total,hold: Equidae,Ireland,16.33,16.76,17.34,17.34
Annual,Thousand,Total,hold: Equidae,Iceland,:,:,1.85,:
Annual,Thousand,Total,hold: Equidae,Italy,31.06,34.15,45.36,30.51
Annual,Thousand,Total,hold: Equidae,Lithuania,54.71,35.35,19.11,10.36
Annual,Thousand,Total,hold: Equidae,Luxembourg,0.53,0.5,0.53,0.53
Annual,Thousand,Total,hold: Equidae,Latvia,9.15,7.74,5.5,4.64
Annual,Thousand,Total,hold: Equidae,Montenegro,:,:,3.12,:
Annual,Thousand,Total,hold: Equidae,Malta,0.65,0.68,0.77,0.55
Annual,Thousand,Total,hold: Equidae,Netherlands,17.69,16.11,14.61,12.98
Annual,Thousand,Total,hold: Equidae,Norway,6.39,6.61,6.73,7.01
Annual,Thousand,Total,hold: Equidae,Poland,157.99,151.65,96.16,87.25
Annual,Thousand,Total,hold: Equidae,Portugal,36.92,29.6,27.65,22.4
Annual,Thousand,Total,hold: Equidae,Romania,720.77,579.34,489.5,387.46
Annual,Thousand,Total,hold: Equidae,Sweden,16.61,17.5,17.51,16.6
Annual,Thousand,Total,hold: Equidae,Slovenia,5.13,5.08,5.95,6.03
Annual,Thousand,Total,hold: Equidae,Slovakia,2.02,2.17,1.57,1.34
Annual,Thousand,Total,hold: Equidae,United Kingdom,55.31,43.99,38.85,40.57
Annual,Thousand,Total,hold: Dairy cows,Austria,54.58,49.45,47.74,42.18
Annual,Thousand,Total,hold: Dairy cows,Belgium,15.18,13.32,11.4,9.04
Annual,Thousand,Total,hold: Dairy cows,Bulgaria,152.56,120.82,85.95,61.47
Annual,Thousand,Total,hold: Dairy cows,Switzerland,36.54,:,32.15,:
Annual,Thousand,Total,hold: Dairy cows,Cyprus,0.24,0.24,0.2,0.19
Annual,Thousand,Total,hold: Dairy cows,Czechia,6.78,5.62,3.1,3.43
Annual,Thousand,Total,hold: Dairy cows,Germany,110.37,101.07,89.76,78.83
Annual,Thousand,Total,hold: Dairy cows,Denmark,6.63,5.38,4.25,3.68
