Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024
Monthly,Exports,Total - all products,Rest of the world,"Index, 2015=100 (NSA)",Euro area – 20 countries (from 2023),146.4,145.2,146.5,146.1,148.0,148.7,149.1,148.7,149.0,148.4,148.8,149.5
Monthly,Exports,Total - all products,Rest of the world,"Index, 2015=100 (NSA)",European Union - 27 countries (from 2020),145.1,144.0,145.1,145.0,147.2,147.9,148.4,148.0,147.9,147.6,147.8,148.4
Monthly,Exports,Total - all products,Rest of the world,Percentage change m/m-12 (NSA),Euro area – 20 countries (from 2023),-0.9,-1.0,0.5,0.9,1.3,2.6,3.0,2.6,3.5,2.6,2.3,2.7
Monthly,Exports,Total - all products,Rest of the world,Percentage change m/m-12 (NSA),European Union - 27 countries (from 2020),-1.3,-1.1,0.5,1.3,1.5,3.0,3.3,3.1,3.9,3.0,3.0,2.5
Monthly,Exports,Total - all products,Rest of the world,Percentage change m/m-1 (NSA),Euro area – 20 countries (from 2023),0.5,-0.8,0.9,-0.3,1.3,0.5,0.3,-0.3,0.2,-0.4,0.3,0.5
Monthly,Exports,Total - all products,Rest of the world,Percentage change m/m-1 (NSA),European Union - 27 countries (from 2020),0.2,-0.8,0.8,-0.1,1.5,0.5,0.3,-0.3,-0.1,-0.2,0.1,0.4
