Time frequency,Economical indicator for structural business statistics,Enterprise,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Denmark,:,412.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Spain,:,832.6
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Finland,:,130.1
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,France,2246.2,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Luxembourg,:,185.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Portugal,:,76.6
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,Sweden,832.1,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 10 to 49 persons employed,United Kingdom,:,3101.3
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Denmark,:,451.5
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Spain,:,1036.5
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Finland,:,309.8
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,France,2653.4,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Luxembourg,:,47.2
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Portugal,:,117.2
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,Sweden,819.6,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,From 50 to 249 persons employed,United Kingdom,:,4085.8
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,Denmark,:,: @C
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,Spain,:,2560.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,Finland,:,484.7
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,France,4483.8,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,Portugal,:,26.4
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,Sweden,1897.8,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,250 persons employed or more,United Kingdom,:,7013.3
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Denmark,:,: @C
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Spain,:,665.8
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,Finland,:,100.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Fewer than 10 persons employed,France,1719.0,:
