Time frequency,Price adjustment,Unit of measure,product,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Annual,Nominal index,"Index, 2000=100",140000.0,AT,107.4,99.8,93.7,100.0,106.7,101.7,102.1,101.5,102.6,107.8,116.2,121.0 p
Annual,Nominal index,"Index, 2000=100",140000.0,BE,105.2,98.8,90.6,100.0,104.5,94.7,97.7,99.7,100.8,110.3,112.6,109.1
Annual,Nominal index,"Index, 2000=100",140000.0,BG,94.8,98.5,88.8,100.0,116.0,102.5,104.8,116.4,100.3,104.0,125.4,136.7
Annual,Nominal index,"Index, 2000=100",140000.0,CY,:,:,:,100.0,:,:,:,121.0,121.9,128.7,134.7,157.0
Annual,Nominal index,"Index, 2000=100",140000.0,CZ,101.4,103.7,91.5,100.0,110.9,100.1,96.4,102.9,96.2,97.3,113.6,123.6
Annual,Nominal index,"Index, 2000=100",140000.0,DE,105.3,100.2,94.1,100.0,107.1,100.0,101.3,99.7,98.8,107.5,118.2,121.6
Annual,Nominal index,"Index, 2000=100",140000.0,DK,106.7,93.8,89.7,100.0,107.4,96.9,92.5,94.9,93.4,98.8,101.0,113.6
Annual,Nominal index,"Index, 2000=100",140000.0,EE,:,:,:,100.0,:,:,:,127.4,130.8,133.6,145.4,163.5
Annual,Nominal index,"Index, 2000=100",140000.0,EL,97.2,96.1,96.3,100.0,106.1,113.6,123.6,121.2,125.0,133.2,142.6,147.2
Annual,Nominal index,"Index, 2000=100",140000.0,ES,101.6,98.9,95.6,100.0,103.0,100.3,105.8,106.8,110.2,109.2,115.8,119.2
Annual,Nominal index,"Index, 2000=100",140000.0,FI,102.5,101.3,96.6,100.0,105.2,103.7,99.0,102.0,98.9,103.2,109.3,120.9
Annual,Nominal index,"Index, 2000=100",140000.0,FR,101.8,101.7,98.3,100.0,103.5,99.9,103.6,101.8,97.4,102.3,113.9,121.2
Annual,Nominal index,"Index, 2000=100",140000.0,HU,77.4,79.5,81.6,100.0,106.0,104.3,110.5,104.5,105.2,116.3,142.1,137.9
Annual,Nominal index,"Index, 2000=100",140000.0,IE,98.8,98.0,94.0,100.0,104.3,100.0,99.6,101.8,102.3,107.4,118.0,122.3
Annual,Nominal index,"Index, 2000=100",140000.0,IT,105.9,102.4,97.7,100.0,105.8,107.2,113.9,111.6,105.7,109.0,113.3,120.4
Annual,Nominal index,"Index, 2000=100",140000.0,LT,121.3,113.4,105.3,100.0,114.7,114.2,101.9,102.9,116.4,137.3,164.6,165.7
Annual,Nominal index,"Index, 2000=100",140000.0,LU,102.8,102.2,99.2,100.0,101.8,99.5,100.5,103.8,103.1,104.9,113.9,121.5
Annual,Nominal index,"Index, 2000=100",140000.0,LV,111.9,107.1,97.2,100.0,108.6,106.7,104.7,124.1,140.3,147.1,175.3,186.2
Annual,Nominal index,"Index, 2000=100",140000.0,MT,:,:,:,100.0,109.4,110.3,103.9,98.8,97.8,97.2,103.4,108.0
Annual,Nominal index,"Index, 2000=100",140000.0,NL,103.9,98.6,92.9,100.0,106.1,103.7,104.9,99.6,101.0,112.4,118.0,116.2
Annual,Nominal index,"Index, 2000=100",140000.0,PL,92.2,90.7,85.9,100.0,101.6,94.8,96.6,105.7,103.7,111.5,127.7,124.2
Annual,Nominal index,"Index, 2000=100",140000.0,PT,98.8,100.1,95.4,100.0,111.0,104.5,112.2,111.4,108.9,113.3,118.3,121.6
Annual,Nominal index,"Index, 2000=100",140000.0,RO,42.0,58.3,67.7,100.0,140.3,175.7,191.1,230.8,215.8,236.2,282.0,313.4
Annual,Nominal index,"Index, 2000=100",140000.0,SE,104.3,102.7,101.2,100.0,105.1,102.2,100.7,99.1,97.6,101.5,115.1,114.7
Annual,Nominal index,"Index, 2000=100",140000.0,SI,94.1,94.5,94.1,100.0,109.0,109.9,113.5,112.2,113.7,118.9,128.6,145.1
Annual,Nominal index,"Index, 2000=100",140000.0,SK,95.2,95.0,93.2,100.0,108.0,106.8,101.5,103.8,101.3,101.1,106.6,111.0
Annual,Nominal index,"Index, 2000=100",140000.0,TR,:,:,:,100.0,140.9,154.3,136.7,:,:,:,:,:
Annual,Nominal index,"Index, 2000=100",140000.0,UK,117.1,107.0,103.6,100.0,108.3,103.3,109.9,113.2,109.7,114.2,129.3,155.8
Annual,Real index,"Index, 2000=100",140000.0,AT,111.0,102.3,95.5,100.0,104.3,97.8,96.9,94.5,93.5,96.6,101.9,102.8 p
Annual,Real index,"Index, 2000=100",140000.0,BE,110.2,102.5,93.0,100.0,102.0,91.0,92.5,92.7,91.4,97.7,98.0,90.8
Annual,Real index,"Index, 2000=100",140000.0,BG,127.3,111.5,98.0,100.0,108.0,90.2,90.1,94.3,76.6,74.0,82.9,80.7
Annual,Real index,"Index, 2000=100",140000.0,CY,:,:,:,100.0,:,:,:,109.0,107.6,111.1,113.8,127.1
Annual,Real index,"Index, 2000=100",140000.0,CZ,117.7,109.8,95.2,100.0,106.1,94.4,91.0,94.7,87.2,86.3,97.9,100.3
Annual,Real index,"Index, 2000=100",140000.0,DE,108.1,102.3,95.5,100.0,105.2,96.9,97.1,93.9,91.3,97.6,104.9,105.0
Annual,Real index,"Index, 2000=100",140000.0,DK,113.2,98.3,92.1,100.0,105.0,92.4,86.5,88.0,85.2,88.5,89.0,96.6
Annual,Real index,"Index, 2000=100",140000.0,EE,:,:,:,100.0,:,:,:,117.4,118.0,117.9,125.4,111.4
Annual,Real index,"Index, 2000=100",140000.0,EL,106.8,101.0,99.0,100.0,102.4,105.5,110.9,105.6,105.2,108.5,112.8,111.7
Annual,Real index,"Index, 2000=100",140000.0,ES,109.4,104.6,99.0,100.0,100.2,94.2,96.3,94.4,94.2,90.1,92.9,91.9
Annual,Real index,"Index, 2000=100",140000.0,FI,108.3,105.7,99.5,100.0,102.5,99.0,93.3,96.0,92.4,95.2,99.2,105.6
