Time frequency,Unit of measure,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Deposit,Armenia,7.3,6.7,6.25,7.71,8.65,8.76,10.29,10.06,10.42,10.95,14.09,9.9,8.41,8.57,8.47,7.4,8.27,8.62
Annual,Rate,Deposit,Azerbaijan,9.40 d,10.50 d,12.10 d,12.20 d,12.20 d,11.00 d,10.40 d,10.10 d,9.70 d,9.10 d,8.20 d,5.50 d,12.10 d,9.80 d,9.40 d,8.60 d,8.80 d,9.00 d
Annual,Rate,Deposit,Belarus,3.0,3.0,5.0,8.0,9.5,7.0,30.0,19.0,20.0,17.0,16.0,11.0,8.0,8.0,8.0,6.75,:,:
Annual,Rate,Deposit,Georgia,:,11.39 d,7.04 d,12.75 d,9.59 d,7.64 d,8.69 d,6.34 d,4.86 d,4.29 d,7.21 d,7.63 d,7.06 d,7.22 d,7.22 d,8.46 d,9.13 d,10.49 d
Annual,Rate,Deposit,Moldova,2.00 d,2.00 d,2.00 d,2.00 d,2.00 d,4.00 d,6.50 d,1.50 d,0.50 d,3.50 d,16.50 d,6.00 d,3.50 d,3.50 d,2.50 d,0.15 d,4.50 d,18.00 d
Annual,Rate,Deposit,Ukraine,3.50 d,1.10 d,0.70 d,3.90 d,6.60 d,3.20 d,1.82 d,2.57 d,2.05 d,5.68 d,15.54 d,16.22 d,12.13 d,15.64 d,15.18 d,7.22 d,6.95 d,19.43 d
Annual,Rate,Loan,Armenia,17.62,17.29,17.52,16.5,18.76,18.9,17.69,15.99,15.04,16.26,15.96,15.47,13.26,11.58,11.47,11.47,12.28,12.03
Annual,Rate,Loan,Azerbaijan,16.20 d,18.30 d,19.50 d,19.10 d,22.20 d,19.20 d,19.20 d,18.90 d,17.80 d,18.00 d,17.60 d,15.70 d,17.70 d,16.80 d,17.50 d,16.80 d,16.40 d,13.10 d
Annual,Rate,Loan,Belarus,16.0,16.0,20.0,20.0,21.5,16.0,70.0,50.0,35.0,50.0,30.0,23.0,12.0,11.5,10.0,8.75,:,:
Annual,Rate,Loan,Georgia,:,:,:,9.12 d,7.59 d,6.50 d,7.74 d,5.72 d,4.15 d,3.99 d,6.30 d,7.21 d,6.97 d,7.00 d,6.98 d,8.52 d,9.46 d,10.93 d
Annual,Rate,Loan,Moldova,15.00 d,18.00 d,18.00 d,16.50 d,7.50 d,10.00 d,12.50 d,7.50 d,6.50 d,9.50 d,22.50 d,12.00 d,9.50 d,9.50 d,8.50 d,5.15 d,8.50 d,22.00 d
Annual,Rate,Loan,Ukraine,14.70 d,11.50 d,10.10 d,15.30 d,16.70 d,11.62 d,12.39 d,8.13 d,7.15 d,15.57 d,25.22 d,17.40 d,15.90 d,19.20 d,18.35 d,7.89 d,7.67 d,19.80 d
