Time frequency,Country of citizenship,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Austria,5.8
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Belgium,4.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Cyprus,2.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Czechia,1.5
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Germany,5.4
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Denmark,5.0
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Euro area – 20 countries (from 2023),7.6
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Estonia,6.8 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Greece,8.3
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Spain,10.4
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,European Union - 27 countries (from 2020),7.5 e
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Finland,11.8 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,France,15.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Croatia,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Hungary,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Ireland,15.0 u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Italy,3.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Lithuania,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Luxembourg,7.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Latvia,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Malta,5.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Netherlands,12.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Norway,4.3
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Poland,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Portugal,11.1
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Romania,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Sweden,7.9
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Slovenia,: u
Annual,EU27 countries (from 2020) except reporting country,Females,Percentage,Slovakia,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Austria,7.1
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Belgium,3.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Bulgaria,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Cyprus,3.6
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Czechia,4.2 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Germany,4.7
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Denmark,10.1
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Euro area – 20 countries (from 2023),7.2
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Estonia,0.0 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Greece,11.5 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Spain,17.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,European Union - 27 countries (from 2020),7.4 e
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Finland,15.6 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,France,8.2
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Croatia,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Hungary,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Ireland,6.6 u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Italy,1.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Lithuania,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Luxembourg,6.9
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Latvia,: u
Annual,EU27 countries (from 2020) except reporting country,Males,Percentage,Malta,5.9
