Time frequency,Reason,Classification of activities for time use,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,22.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,18.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,20.7
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,8.7
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,23.4
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,38.4
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,19.6
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,13.6
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,17.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,60.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,14.1
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),21.6 e
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,9.7
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,France,22.7
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,10.7
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,38.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,13.9 u
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,9.3
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,18.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,17.8
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,11.6
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,25.0
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,33.2
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,25.0
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,11.0
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,10.1
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,27.7 u
Annual,No interest,Formal voluntary activities,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,19.7
