Time frequency,Waste management operations,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Austria,12.0,9.0,12.0,9.0,12.0,9.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Belgium,7.0,3.0,3.0,4.0,4.0,3.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Bulgaria,69.0,85.0,82.0,70.0,73.0,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Cyprus,53.0,63.0,66.0,70.0,66.0,52.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Czechia,29.0,24.0,22.0,22.0,: b@C,27.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Germany,8 i,10 i,11 i,11 i,10 i,9 i,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Denmark,6.0,5.0,1.0,3.0,1.0,1.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Estonia,74.0,71.0,77.0,83.0,:,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Greece,:,:,:,:,60.0,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Spain,51.0,46.0,47.0,45.0,45.0,44.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,European Union - 27 countries (from 2020),27.0,26.0,25.0,23.0,23.0,19.0,21 i
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Finland,17.0,11.0,17.0,12.0,8.0,7.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,France,26.0,25.0,23.0,21.0,23.0,22.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Croatia,51.0,63.0,51.0,45.0,41.0,34.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Hungary,54.0,55.0,46.0,46.0,40.0,35.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Ireland,50.0,41.0,23.0,31 i,18.0,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Italy,28 i,25 i,21 i,19 i,18 i,15 i,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Lithuania,44.0,45.0,38.0,19.0,17.0,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Luxembourg,3.0,4.0,6.0,17.0,9.0,7.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Latvia,:,:,:,:,27.0,25.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Malta,73.0,70.0,71.0,56.0,71.0,73.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Netherlands,2.0,3.0,2.0,3.0,2.0,2.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Poland,28.0,29.0,26.0,29.0,26.0,21.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Portugal,38.0,37.0,31.0,33.0,45.0,46.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Romania,63 d,60 d,59 d,54 d,57 d,51 d,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Sweden,10.0,9.0,9.0,8.0,8.0,:,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Slovenia,32.0,13.0,10.0,5.0,4.0,6.0,:
Annual,"Disposal - landfill (D1, D5, D12)",Percentage,Slovakia,55 d,53 d,52 d,47 d,40 d,31 d,:
