Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Overall index excluding tobacco,"Index, 2015=100",Albania,129.17 d,129.59 d,130.56 d,130.56 d,130.51 d,130.24 d,130.00 d,130.39 d,131.36 d,131.49 d,131.10 d,131.74 d
Monthly,Overall index excluding tobacco,"Index, 2015=100",Austria,132.73,133.41,134.25,134.36,134.47,134.51,134.02,133.83,134.19,134.7,135.08,136.02
Monthly,Overall index excluding tobacco,"Index, 2015=100",Belgium,126.22,129.29,129.71,129.2,129.35,129.88,128.86,130.69,129.99,130.6,130.82,131.84
Monthly,Overall index excluding tobacco,"Index, 2015=100",Bulgaria,136.86,137.25,137.55,137.37,137.33,137.53,139.17,139.24,137.59,138.46,138.83,139.29
Monthly,Overall index excluding tobacco,"Index, 2015=100",Switzerland,106.56,106.8,106.73,107.3,107.58,107.43,107.88,107.85,107.48,107.47,106.89,106.83
Monthly,Overall index excluding tobacco,"Index, 2015=100",Cyprus,112.92,113.87,114.75,116.42,117.86,118.3,119.21,120.34,119.84,119.6,118.39,117.99
Monthly,Overall index excluding tobacco,"Index, 2015=100",Czechia,149.0,149.6,149.7,150.9,150.8,150.3,151.4,151.6,150.8,151.1,151.2,150.8
Monthly,Overall index excluding tobacco,"Index, 2015=100",Germany,125.9,126.7,127.6,128.3,128.6,128.9,129.5,129.4,129.3,129.7,128.8,129.6
Monthly,Overall index excluding tobacco,"Index, 2015=100",Denmark,117.5,118.0,118.0,118.1,118.0,118.1,119.6,119.0,118.5,119.3,118.8,118.4
Monthly,Overall index excluding tobacco,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",123.16,123.9,124.85,125.56,125.84,126.07,126.01,126.18,126.05,126.47,126.05,126.5
Monthly,Overall index excluding tobacco,"Index, 2015=100",Euro area - 19 countries  (2015-2022),123.13,123.88,124.82,125.54,125.81,126.04,125.97,126.13,126.01,126.43,126.0,126.45
Monthly,Overall index excluding tobacco,"Index, 2015=100",Euro area – 20 countries (from 2023),123.17,123.92,124.86,125.58,125.85,126.09,126.02,126.19,126.06,126.48,126.06,126.51
Monthly,Overall index excluding tobacco,"Index, 2015=100",Estonia,151.79,151.86,152.5,154.08,154.08,154.81,155.15,155.76,155.29,156.56,155.49,155.91
Monthly,Overall index excluding tobacco,"Index, 2015=100",Greece,115.84,116.0,118.16,119.3,118.95,120.2,119.62,119.64,121.85,121.93,120.4,120.51
Monthly,Overall index excluding tobacco,"Index, 2015=100",Spain,120.87,121.3,122.97,123.72,124.01,124.51,123.56,123.59,123.47,123.97,124.01,124.5
Monthly,Overall index excluding tobacco,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",127.22,127.94,128.79,129.54,129.77,129.97,130.12,130.25,130.13,130.59,130.32,130.72
Monthly,Overall index excluding tobacco,"Index, 2015=100",European Union - 27 countries (from 2020),126.73,127.45,128.29,129.04,129.27,129.48,129.62,129.75,129.63,130.09,129.82,130.22
Monthly,Overall index excluding tobacco,"Index, 2015=100",Finland,117.96,118.74,118.58,118.66,118.59,118.52,118.78,118.1,118.61,119.5,119.14,119.22
Monthly,Overall index excluding tobacco,"Index, 2015=100",France,120.09,121.21,121.5,122.28,122.45,122.64,122.9,123.65,122.01,122.4,122.22,122.48
Monthly,Overall index excluding tobacco,"Index, 2015=100",Croatia,127.93,128.32,129.45,130.8,131.06,132.13,133.52,133.68,132.92,133.97,133.94,134.2
Monthly,Overall index excluding tobacco,"Index, 2015=100",Hungary,160.22,161.38,162.76,163.97,163.92,163.85,165.27,165.39,164.97,165.08,165.97,166.8
Monthly,Overall index excluding tobacco,"Index, 2015=100",Ireland,116.1,117.3,117.8,117.9,118.6,119.1,119.3,119.4,118.2,118.4,117.7,118.8
Monthly,Overall index excluding tobacco,"Index, 2015=100",Iceland,123.17,124.91,125.52,125.85,126.9,128.71,129.65,129.41,128.17,127.99,127.54,127.86
Monthly,Overall index excluding tobacco,"Index, 2015=100",Italy,120.6,120.4,121.8,122.5,122.8,122.9,121.8,121.6,123.1,123.5,123.4,123.5
Monthly,Overall index excluding tobacco,"Index, 2015=100",Lithuania,148.71,149.7,149.54,149.87,150.3,150.36,150.16,149.39,149.95,150.03,150.89,151.12
Monthly,Overall index excluding tobacco,"Index, 2015=100",Luxembourg,122.13,124.3,124.51,124.99,124.93,124.76,124.02,125.15,124.33,124.18,123.58,123.73
Monthly,Overall index excluding tobacco,"Index, 2015=100",Latvia,142.7,142.82,144.54,145.05,145.53,145.47,145.53,144.91,145.16,145.35,145.52,145.99
Monthly,Overall index excluding tobacco,"Index, 2015=100",Montenegro,132.93 d,133.45 d,134.12 d,134.37 d,134.60 d,135.21 d,136.39 d,137.30 d,136.49 d,135.96 d,136.05 d,135.81 d
Monthly,Overall index excluding tobacco,"Index, 2015=100",North Macedonia,136.57 d,137.22 d,138.49 d,139.49 d,140.86 d,140.38 d,142.00 d,143.30 d,144.37 d,142.68 d,144.15 d,144.03 d
Monthly,Overall index excluding tobacco,"Index, 2015=100",Malta,117.96,118.22,119.42,122.84,124.85,126.59,127.24,127.86,126.58,125.22,121.19,120.7
Monthly,Overall index excluding tobacco,"Index, 2015=100",Netherlands,127.5,128.73,129.51,130.91,131.23,130.87,132.34,132.83,131.61,132.47,131.06,131.52
Monthly,Overall index excluding tobacco,"Index, 2015=100",Norway,134.0,134.2,134.4,135.6,135.3,135.7,136.3,134.7,135.0,136.0,136.6,136.4
Monthly,Overall index excluding tobacco,"Index, 2015=100",Poland,146.0,146.4,146.7,148.2,148.3,148.5,149.7,149.8,149.8,150.3,150.8,150.9
Monthly,Overall index excluding tobacco,"Index, 2015=100",Portugal,118.27,118.45,121.16,122.42,123.71,123.34,122.37,122.22,124.17,123.71,122.43,122.08
