Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT services,Greece,2.11 b,2.07,2.03,1.95,2.05,2.23,2.16,1.98,2.45 b,2.24,3.19 p,3.41 bp
Annual,ICT services,Spain,3.33,3.32,3.3,3.24,3.12,3.09,3.11,3.22,3.2 b,3.34,3.63 p,3.53 p
Annual,ICT services,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,4.05 u,: @C,4.69 be
Annual,ICT services,Finland,3.67,3.65,3.75,: @C,4.06,4.3,4.35,4.49 b,4.48,4.66,4.86,4.92 b
Annual,ICT services,France,3.75,3.77,3.71,3.59,3.58 b,3.63 b,3.72,4.09 b,3.88,3.93 p,4.28 p,4.08 bp
Annual,ICT services,Croatia,4.33,3.81,3.73,3.69,3.65,3.72,3.74,3.9,4.0,4.37 b,4.87,5.12 b
Annual,ICT services,Hungary,4.08,3.86,3.84,4.04,3.95,4.07,4.02,4.12,4.3 b,4.35,4.55,4.57 b
Annual,ICT services,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,ICT services,Iceland,:,:,:,:,:,:,4.21 p,4.18 p,4.03,4.2 p,4.63 p,:
Annual,ICT services,Italy,3.16,3.1,3.17,2.99,2.98,2.98,3.05,3.09 b,3.05,3.1,3.28,3.15 b
Annual,ICT services,Lithuania,2.29,2.34,2.37,2.35,2.49,2.87,2.9,2.9,3.03 b,3.33,3.6,3.86 b
Annual,ICT services,Luxembourg,6.71,7.01,6.9,6.84,7.68,7.06,6.4,6.41,6.72,6.87,6.2,6.33 b
Annual,ICT services,Latvia,3.35,3.16,3.23,3.52,3.45,3.69,4.06,4.27,4.52,4.93,5.22,5.52 b
Annual,ICT services,North Macedonia,:,4.08,4.08,3.45,3.15,3.15 p,: @C,: @C,: @C,: @C,:,:
Annual,ICT services,Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,6.97,6.56,5.85,7.33,9.44 b
Annual,ICT services,Netherlands,: @C,4.5,4.59,4.68,4.51,4.47,4.76,4.68,4.71,4.69,5.01,4.96 b
Annual,ICT services,Norway,3.22,3.02,3.08,3.07,3.17,3.27,3.36,3.31,3.26 b,3.64,3.92,3.41 b
Annual,ICT services,Poland,2.83,2.93,2.87,2.74,2.82,2.88,3.0,3.08,3.27 b,3.33,3.46,3.72 b
Annual,ICT services,Portugal,3.36,3.18,3.18,3.02,3.0,2.99,3.05,3.09,3.14,3.41,4.02,4.28 b
Annual,ICT services,Romania,2.8,2.69,2.8,2.96,3.1,3.13,3.39,3.33,3.47 b,3.42,3.97,: @C
Annual,ICT services,Serbia,:,:,:,:,:,:,4.13 p,4.2 p,4.28,4.67,5.46,6.23 b
Annual,ICT services,Sweden,: @C,: @C,4.98,5.02,5.12,6.07,5.57,4.95,5.78 b,6.31,6.89,6.37 b
Annual,ICT services,Slovenia,3.13,3.12,3.24,3.26,3.26,3.25,3.24,3.33,3.21,3.39,3.6,: @C
Annual,ICT services,Slovakia,3.35,3.76,3.75,: @C,3.41,3.49,3.46,3.66,3.66,3.95,4.17,4.07 b
Annual,ICT services,United Kingdom,5.04,5.21,5.24,5.37,5.47,5.62,5.65 b,5.76,5.94,:,:,:
