Time frequency,Country/region of birth,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,EU-countries except reporting country,Percentage,Austria,26.2
Annual,EU-countries except reporting country,Percentage,Belgium,16.7
Annual,EU-countries except reporting country,Percentage,Bulgaria,: u
Annual,EU-countries except reporting country,Percentage,Cyprus,: u
Annual,EU-countries except reporting country,Percentage,Czechia,: u
Annual,EU-countries except reporting country,Percentage,Germany,32.7 u
Annual,EU-countries except reporting country,Percentage,Denmark,45.8
Annual,EU-countries except reporting country,Percentage,Estonia,: u
Annual,EU-countries except reporting country,Percentage,Greece,29.2
Annual,EU-countries except reporting country,Percentage,Spain,12.5 u
Annual,EU-countries except reporting country,Percentage,European Union (aggregate changing according to the context),26.6 e
Annual,EU-countries except reporting country,Percentage,Finland,47.9
Annual,EU-countries except reporting country,Percentage,France,21.8
Annual,EU-countries except reporting country,Percentage,Croatia,36.2 u
Annual,EU-countries except reporting country,Percentage,Hungary,: u
Annual,EU-countries except reporting country,Percentage,Ireland,: u
Annual,EU-countries except reporting country,Percentage,Lithuania,: u
Annual,EU-countries except reporting country,Percentage,Luxembourg,32.4
Annual,EU-countries except reporting country,Percentage,Latvia,: u
Annual,EU-countries except reporting country,Percentage,Montenegro,: u
Annual,EU-countries except reporting country,Percentage,Malta,: u
Annual,EU-countries except reporting country,Percentage,Netherlands,35.3
Annual,EU-countries except reporting country,Percentage,Poland,: u
Annual,EU-countries except reporting country,Percentage,Portugal,12.7 u
Annual,EU-countries except reporting country,Percentage,Romania,: u
Annual,EU-countries except reporting country,Percentage,Serbia,15.8 u
Annual,EU-countries except reporting country,Percentage,Sweden,43.7
Annual,EU-countries except reporting country,Percentage,Slovenia,: u
Annual,EU-countries except reporting country,Percentage,Slovakia,23.7 u
Annual,EU-countries except reporting country,Percentage,Kosovo*,: u
Annual,Reporting country,Percentage,Austria,29.1
Annual,Reporting country,Percentage,Belgium,19.5
Annual,Reporting country,Percentage,Bulgaria,5.9
Annual,Reporting country,Percentage,Cyprus,13.8
Annual,Reporting country,Percentage,Czechia,9.4
Annual,Reporting country,Percentage,Germany,12.8
Annual,Reporting country,Percentage,Denmark,38.1
Annual,Reporting country,Percentage,Estonia,21.9
Annual,Reporting country,Percentage,Greece,24.7
Annual,Reporting country,Percentage,Spain,20.6
Annual,Reporting country,Percentage,European Union (aggregate changing according to the context),19.1 e
Annual,Reporting country,Percentage,Finland,47.2
Annual,Reporting country,Percentage,France,27.0
Annual,Reporting country,Percentage,Croatia,18.8
Annual,Reporting country,Percentage,Hungary,19.3
Annual,Reporting country,Percentage,Ireland,26.9
Annual,Reporting country,Percentage,Lithuania,13.5
Annual,Reporting country,Percentage,Luxembourg,36.7
Annual,Reporting country,Percentage,Latvia,14.2
Annual,Reporting country,Percentage,Montenegro,6.4
Annual,Reporting country,Percentage,Malta,14.4
Annual,Reporting country,Percentage,Netherlands,36.7
Annual,Reporting country,Percentage,Poland,8.1
Annual,Reporting country,Percentage,Portugal,12.7
Annual,Reporting country,Percentage,Romania,14.1
Annual,Reporting country,Percentage,Serbia,9.6
Annual,Reporting country,Percentage,Sweden,43.9
Annual,Reporting country,Percentage,Slovenia,16.1
Annual,Reporting country,Percentage,Slovakia,16.8
Annual,Reporting country,Percentage,Kosovo*,5.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Austria,18.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Belgium,18.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Bulgaria,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Cyprus,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Czechia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Germany,26.9 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Denmark,33.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Estonia,10.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Greece,24.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Spain,17.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,European Union (aggregate changing according to the context),21.8 e
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Finland,34.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,France,20.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Croatia,15.1 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Hungary,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Ireland,31.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Lithuania,14.8 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Luxembourg,27.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Latvia,10.3
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Montenegro,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Malta,20.9 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Netherlands,27.8
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Poland,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Portugal,16.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Romania,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Serbia,14.2 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Sweden,30.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovenia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovakia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Kosovo*,: u
