Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,7.0
Annual,Median equivalised income,Above 60%,Percentage,Austria,18.8
Annual,Median equivalised income,Above 60%,Percentage,Belgium,27.0
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,8.7
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,40.2
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,41.1
Annual,Median equivalised income,Above 60%,Percentage,Czechia,16.6
Annual,Median equivalised income,Above 60%,Percentage,Germany,16.2 u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,31.5
Annual,Median equivalised income,Above 60%,Percentage,Estonia,42.2
Annual,Median equivalised income,Above 60%,Percentage,Greece,35.7
Annual,Median equivalised income,Above 60%,Percentage,Spain,31.9
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),25.4 e
Annual,Median equivalised income,Above 60%,Percentage,Finland,62.4
Annual,Median equivalised income,Above 60%,Percentage,France,39.0
Annual,Median equivalised income,Above 60%,Percentage,Croatia,35.8
Annual,Median equivalised income,Above 60%,Percentage,Hungary,16.2
Annual,Median equivalised income,Above 60%,Percentage,Ireland,44.4
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,17.3
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,45.3
Annual,Median equivalised income,Above 60%,Percentage,Latvia,28.2
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,40.2
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,19.1
Annual,Median equivalised income,Above 60%,Percentage,Malta,18.2
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,18.6
Annual,Median equivalised income,Above 60%,Percentage,Norway,42.8
Annual,Median equivalised income,Above 60%,Percentage,Poland,15.3
Annual,Median equivalised income,Above 60%,Percentage,Portugal,15.7
Annual,Median equivalised income,Above 60%,Percentage,Romania,7.6
Annual,Median equivalised income,Above 60%,Percentage,Serbia,30.6
Annual,Median equivalised income,Above 60%,Percentage,Sweden,42.7
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,45.6
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,19.7
Annual,Median equivalised income,Below 60%,Percentage,Albania,11.6
Annual,Median equivalised income,Below 60%,Percentage,Austria,15.5
Annual,Median equivalised income,Below 60%,Percentage,Belgium,19.0
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,6.5
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,28.1
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,18.8
Annual,Median equivalised income,Below 60%,Percentage,Czechia,10.9
Annual,Median equivalised income,Below 60%,Percentage,Germany,9.7 u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,32.4
Annual,Median equivalised income,Below 60%,Percentage,Estonia,18.1
Annual,Median equivalised income,Below 60%,Percentage,Greece,18.2
Annual,Median equivalised income,Below 60%,Percentage,Spain,25.4
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),17.1 e
Annual,Median equivalised income,Below 60%,Percentage,Finland,44.3
Annual,Median equivalised income,Below 60%,Percentage,France,22.6
Annual,Median equivalised income,Below 60%,Percentage,Croatia,14.1
Annual,Median equivalised income,Below 60%,Percentage,Hungary,9.5
Annual,Median equivalised income,Below 60%,Percentage,Ireland,28.5
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,9.8
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,37.6
Annual,Median equivalised income,Below 60%,Percentage,Latvia,11.9
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,28.0
