Time frequency,Age class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2014.0,2018.0
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Austria,46.6,45.0,44.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Belgium,35.8,31.2,26.4
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Bulgaria,23.6,22.9,24.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Switzerland,45.9,44.6,43.0
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Cyprus,33.8,27.3,25.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Czechia,41.1,40.5,36.0
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Germany,45.5,45.0,41.9
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Denmark,25.3,26.4,25.1
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Estonia,30.9,37.3,31.1
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Greece,45.9,41.9,41.3
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Spain,38.2,35.6,33.0
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,European Union - 27 countries (from 2020),39.3,38.4,36.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Finland,27.0,24.2,24.5
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,France,31.5,29.3,29.6
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Croatia,23.1,24.4,25.5
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Hungary,26.9,27.4,28.1
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Ireland,34.9,36.9,35.9
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Iceland,33.0,34.2,31.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Italy,44.1,43.4,43.0
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Lithuania,12.2,18.8,20.4
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Luxembourg,38.6,32.7,23.2
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Latvia,15.5,22.6,25.7
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Malta,64.0,44.2,39.6
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Netherlands,40.9,49.5,43.7
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Norway,25.4,31.0,27.6
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Poland,26.7,31.0,30.3
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Portugal,24.8,25.9,20.4
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Romania,40.9,30.2,27.3
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Sweden,23.9,26.8,23.8
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Slovenia,12.5,19.8,20.7
Annual,From 15 to 64 years,"Industry, construction and services (except public administration, defense, compulsory social security)",Percentage,Slovakia,45.4,32.7,30.6
