Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Albania,3.3,:,:
Annual,Percentage,Austria,6.1,7.4,6.0
Annual,Percentage,Belgium,7.5,7.7,7.7
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,15.5,17.8,15.8
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,15.5,17.8,15.8
Annual,Percentage,Vlaams Gewest,5.6,5.3,5.7
Annual,Percentage,Prov. Antwerpen,6.4,5.9,6.1
Annual,Percentage,Prov. Limburg (BE),3.5,3.6,4.4
Annual,Percentage,Prov. Oost-Vlaanderen,5.1,4.6,4.9
Annual,Percentage,Prov. Vlaams-Brabant,6.4,6.1,6.3
Annual,Percentage,Prov. West-Vlaanderen,5.7,5.5,6.5
Annual,Percentage,Région wallonne,8.5,8.7,8.8
Annual,Percentage,Prov. Brabant wallon,9.6,10.1,12.1
Annual,Percentage,Prov. Hainaut,8.1,8.4,8.0
Annual,Percentage,Prov. Liège,9.3,9.4,9.2
Annual,Percentage,Prov. Luxembourg (BE),7.6,8.5,10.0
Annual,Percentage,Prov. Namur,7.2,6.9,6.6
Annual,Percentage,Bulgaria,11.6,15.1,11.1
Annual,Percentage,Severna i Yugoiztochna Bulgaria,12.3,16.1,13.0
Annual,Percentage,Severozapaden,16.0,19.5,15.8
Annual,Percentage,Severen tsentralen,12.8,20.0,16.8
Annual,Percentage,Severoiztochen,8.0,12.9,9.4
Annual,Percentage,Yugoiztochen,13.2,13.6,11.5
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,11.0,14.2,9.3
Annual,Percentage,Yugozapaden,11.8,13.8,7.6
Annual,Percentage,Yuzhen tsentralen,9.8,14.8,11.9
Annual,Percentage,Switzerland,14.8,13.3,14.2
Annual,Percentage,Région lémanique,21.6,14.9,17.2
Annual,Percentage,Espace Mittelland,12.5,13.6,13.3
Annual,Percentage,Nordwestschweiz,11.5,11.9,11.2
Annual,Percentage,Zürich,16.0,14.2,15.4
Annual,Percentage,Ostschweiz,11.3,10.0,9.7
Annual,Percentage,Zentralschweiz,12.1,12.0,16.6
Annual,Percentage,Ticino,19.8,19.7,19.9
Annual,Percentage,Cyprus,2.5,2.5,2.6
Annual,Percentage,Czechia,6.2,6.9,9.1
Annual,Percentage,Praha,10.5,13.0,16.6
Annual,Percentage,Střední Čechy,3.9,4.9,6.9
Annual,Percentage,Jihozápad,4.6,5.4,5.7
Annual,Percentage,Severozápad,7.7,9.6,11.7
Annual,Percentage,Severovýchod,5.0,5.1,6.6
Annual,Percentage,Jihovýchod,5.2,5.3,6.6
Annual,Percentage,Střední Morava,5.1,5.4,9.4
Annual,Percentage,Moravskoslezsko,8.2,8.1,11.6
Annual,Percentage,Germany,11.0,11.9,13.0 b
Annual,Percentage,Baden-Württemberg,10.4,12.2,11.7 b
Annual,Percentage,Stuttgart,9.9,12.0,10.4 b
Annual,Percentage,Karlsruhe,12.2,12.7,13.0 b
Annual,Percentage,Freiburg,10.7,12.4,12.0 b
Annual,Percentage,Tübingen,8.5,11.5,12.2 b
Annual,Percentage,Bayern,11.1,11.8,11.9 b
Annual,Percentage,Oberbayern,12.4,14.6,13.6 b
Annual,Percentage,Niederbayern,10.4,10.4,11.6 b
Annual,Percentage,Oberpfalz,11.1,9.8,10.4 b
Annual,Percentage,Oberfranken,9.7,10.3,10.6 b
Annual,Percentage,Mittelfranken,11.0,12.6,13.5 b
Annual,Percentage,Unterfranken,9.4,10.4,8.8 b
Annual,Percentage,Schwaben,10.2,7.7,9.9 b
Annual,Percentage,Berlin,11.7,12.9,12.9 b
Annual,Percentage,Berlin,11.7,12.9,12.9 b
Annual,Percentage,Brandenburg,8.6,8.0,12.7 b
Annual,Percentage,Brandenburg,8.6,8.0,12.7 b
Annual,Percentage,Bremen,16.5,11.3,14.3 b
Annual,Percentage,Bremen,16.5,11.3,14.3 b
Annual,Percentage,Hamburg,13.8,16.8,15.8 b
Annual,Percentage,Hamburg,13.8,16.8,15.8 b
Annual,Percentage,Hessen,14.4,12.8,15.0 b
Annual,Percentage,Darmstadt,15.8,13.3,15.1 b
Annual,Percentage,Gießen,11.9,11.8,15.6 b
Annual,Percentage,Kassel,11.7,12.4,14.4 b
Annual,Percentage,Mecklenburg-Vorpommern,6.6,8.0,12.4 b
Annual,Percentage,Mecklenburg-Vorpommern,6.6,8.0,12.4 b
Annual,Percentage,Niedersachsen,11.4,13.1,13.4 b
Annual,Percentage,Braunschweig,11.0,11.3,11.3 b
Annual,Percentage,Hannover,10.3,12.9,13.3 b
Annual,Percentage,Lüneburg,10.7,13.2,13.8 b
Annual,Percentage,Weser-Ems,12.9,14.3,14.6 b
Annual,Percentage,Nordrhein-Westfalen,11.4,12.5,14.2 b
Annual,Percentage,Düsseldorf,12.6,13.0,14.7 b
Annual,Percentage,Köln,11.4,13.7,15.5 b
Annual,Percentage,Münster,11.6,12.3,13.8 b
Annual,Percentage,Detmold,11.4,10.4,11.9 b
Annual,Percentage,Arnsberg,9.2,11.7,13.4 b
Annual,Percentage,Rheinland-Pfalz,10.9,12.1,14.4 b
Annual,Percentage,Koblenz,10.5,12.3,13.5 b
Annual,Percentage,Trier,9.0,11.9,12.2 b
Annual,Percentage,Rheinhessen-Pfalz,11.6,12.0,15.6 b
Annual,Percentage,Saarland,12.4,14.4,13.6 b
Annual,Percentage,Saarland,12.4,14.4,13.6 b
Annual,Percentage,Sachsen,6.7,8.8,8.5 b
Annual,Percentage,Dresden,5.8,10.3,8.7 b
Annual,Percentage,Chemnitz,6.0,6.1,5.8 b
Annual,Percentage,Leipzig,9.1,10.2,11.5 b
Annual,Percentage,Sachsen-Anhalt,8.2,7.3,9.6 b
Annual,Percentage,Sachsen-Anhalt,8.2,7.3,9.6 b
Annual,Percentage,Schleswig-Holstein,12.1,13.1,16.4 b
Annual,Percentage,Schleswig-Holstein,12.1,13.1,16.4 b
Annual,Percentage,Thüringen,8.6,9.4,12.1 b
Annual,Percentage,Thüringen,8.6,9.4,12.1 b
Annual,Percentage,Denmark,15.5,14.7,15.4
Annual,Percentage,Hovedstaden,20.4,19.1,19.8
Annual,Percentage,Sjælland,12.1,9.3,12.7
Annual,Percentage,Syddanmark,13.3,11.3,12.1
Annual,Percentage,Midtjylland,13.9,16.5,15.1
Annual,Percentage,Nordjylland,12.9,11.6,12.9
Annual,Percentage,Estonia,4.4,4.9,7.6
Annual,Percentage,Greece,28.8,26.7,28.5
Annual,Percentage,Attiki,31.2,25.7,27.9
Annual,Percentage,Attiki,31.2,25.7,27.9
Annual,Percentage,"Nisia Aigaiou, Kriti",24.4,21.7,22.9
Annual,Percentage,Voreio Aigaio,24.3,22.4,27.7
Annual,Percentage,Notio Aigaio,24.4,21.8,25.0
Annual,Percentage,Kriti,24.5,21.4,20.2
Annual,Percentage,Voreia Elláda,29.2,29.8,32.6
Annual,Percentage,"Anatoliki Makedonia, Thraki",24.6,28.4,32.7
Annual,Percentage,Kentriki Makedonia,31.7,31.4,34.8
Annual,Percentage,Dytiki Makedonia,22.6,27.8,25.7
Annual,Percentage,Ipeiros,29.3,24.7,25.6
Annual,Percentage,Kentriki Elláda,26.8,27.1,27.5
Annual,Percentage,Thessalia,22.1,23.5,23.9
Annual,Percentage,Ionia Nisia,27.7,27.4,23.1
Annual,Percentage,Dytiki Elláda,29.2,28.1,29.1
Annual,Percentage,Sterea Elláda,25.3,30.6,27.7
Annual,Percentage,Peloponnisos,31.4,28.0,31.8
Annual,Percentage,Spain,9.9,9.2,8.2
Annual,Percentage,Noroeste,6.7,6.4,5.5
Annual,Percentage,Galicia,5.4,4.8,4.8
Annual,Percentage,Principado de Asturias,10.5,10.4,6.5
Annual,Percentage,Cantabria,5.9,6.8,6.8
Annual,Percentage,Noreste,6.6,7.2,6.8
Annual,Percentage,País Vasco,6.6,7.3,5.9
Annual,Percentage,Comunidad Foral de Navarra,6.1,8.0,9.1
Annual,Percentage,La Rioja,8.2,6.9,5.5
Annual,Percentage,Aragón,6.7,6.9,7.6
Annual,Percentage,Comunidad de Madrid,13.4,12.2,9.1
Annual,Percentage,Comunidad de Madrid,13.4,12.2,9.1
Annual,Percentage,Centro (ES),6.9,6.1,6.4
Annual,Percentage,Castilla y León,6.7,6.9,6.9
Annual,Percentage,Castilla-La Mancha,7.8,5.9,6.7
Annual,Percentage,Extremadura,5.6,4.4,4.7
Annual,Percentage,Este,10.7,9.6,9.7
Annual,Percentage,Cataluña,10.4,10.7,9.6
Annual,Percentage,Comunitat Valenciana,9.6,7.4,8.8
Annual,Percentage,Illes Balears,17.8,11.8,14.5
Annual,Percentage,Sur,9.5,9.2,8.3
Annual,Percentage,Andalucía,10.1,9.4,8.7
Annual,Percentage,Región de Murcia,5.9,8.0,6.0
Annual,Percentage,Ciudad de Ceuta,14.1,9.5,5.5
Annual,Percentage,Ciudad de Melilla,15.4,13.2,7.2
Annual,Percentage,Canarias,15.0,14.8,8.6
Annual,Percentage,Canarias,15.0,14.8,8.6
Annual,Percentage,Finland,4.3,5.4,5.5
Annual,Percentage,Manner-Suomi,4.3,5.4,5.5
Annual,Percentage,"Länsi-Suomi, Åland",3.8,4.8,4.2
Annual,Percentage,Helsinki-Uusimaa,5.4,7.3,8.4
Annual,Percentage,Etelä-Suomi,3.7,4.7,4.5
Annual,Percentage,Pohjois- ja Itä-Suomi,3.8,4.3,3.9
Annual,Percentage,France,:,6.5 b,6.5
Annual,Percentage,Croatia,4.5,3.8,4.0
Annual,Percentage,Panonska Hrvatska,6.1,4.8,5.6
Annual,Percentage,Jadranska Hrvatska,4.2,4.2,4.2
Annual,Percentage,Grad Zagreb,2.8,2.4,2.9
Annual,Percentage,Sjeverna Hrvatska,4.5,3.3,3.0
Annual,Percentage,Hungary,2.4,8.1,8.7
Annual,Percentage,Közép-Magyarország,2.9,10.1,9.4
Annual,Percentage,Budapest,3.8,8.4,11.3
Annual,Percentage,Pest,1.6,12.2,7.0
Annual,Percentage,Dunántúl,2.1,6.9,6.8
Annual,Percentage,Közép-Dunántúl,1.2,6.1,5.9
Annual,Percentage,Nyugat-Dunántúl,2.2,7.9,5.9
Annual,Percentage,Dél-Dunántúl,2.9,6.7,9.1
Annual,Percentage,Alföld és Észak,2.4,7.3,9.6
Annual,Percentage,Észak-Magyarország,1.7,6.8,9.9
Annual,Percentage,Észak-Alföld,3.1,7.1,10.2
Annual,Percentage,Dél-Alföld,2.2,8.1,8.7
Annual,Percentage,Ireland,2.6,3.7,4.7
Annual,Percentage,Northern and Western,2.4,4.4,5.8
Annual,Percentage,Southern,2.3,2.9,4.4
Annual,Percentage,Eastern and Midland,2.8,4.1,4.5
Annual,Percentage,Italy,7.2,6.6,5.7
Annual,Percentage,Nord-Ovest,7.6,7.4,6.3
Annual,Percentage,Piemonte,7.3,6.0,5.9
Annual,Percentage,Valle d’Aosta/Vallée d’Aoste,5.5,3.4,6.3
Annual,Percentage,Liguria,8.6,7.6,9.6
Annual,Percentage,Lombardia,7.5,8.1,5.9
Annual,Percentage,Sud,8.8,6.9,6.4
Annual,Percentage,Abruzzo,4.4,4.7,3.1
Annual,Percentage,Molise,3.0,3.8,3.8
Annual,Percentage,Campania,11.4,9.4,8.5
Annual,Percentage,Puglia,8.7,3.5,4.8
Annual,Percentage,Basilicata,6.3,6.8,4.9
Annual,Percentage,Calabria,5.5,8.2,6.4
Annual,Percentage,Isole,8.2,7.3,4.9
Annual,Percentage,Sicilia,9.5,8.2,5.1
Annual,Percentage,Sardegna,4.3,4.6,4.2
Annual,Percentage,Nord-Est,5.3,5.0,4.3
Annual,Percentage,Provincia Autonoma di Bolzano/Bozen,8.5,7.3,4.7
Annual,Percentage,Provincia Autonoma di Trento,7.9,7.6,5.3
Annual,Percentage,Veneto,5.7,4.2,4.8
Annual,Percentage,Friuli-Venezia Giulia,4.6,5.7,4.1
Annual,Percentage,Emilia-Romagna,4.3,5.0,3.8
Annual,Percentage,Centro (IT),6.4,6.5,5.8
Annual,Percentage,Toscana,7.7,5.6,4.1
Annual,Percentage,Umbria,4.5,3.2,2.9
Annual,Percentage,Marche,3.6,4.0,3.6
Annual,Percentage,Lazio,6.5,8.2,7.8
Annual,Percentage,Lithuania,2.7,3.5,5.2
Annual,Percentage,Sostinės regionas,1.5,2.4,4.2
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,3.2,3.9,5.6
Annual,Percentage,Luxembourg,5.1,9.0 b,11.5
Annual,Percentage,Latvia,4.9,5.4,7.2
Annual,Percentage,Montenegro,8.0,5.8,:
Annual,Percentage,Malta,2.7,2.9,6.0 b
Annual,Percentage,Netherlands,8.3,10.0,9.3
Annual,Percentage,Noord-Nederland,6.7,9.9,7.8
Annual,Percentage,Oost-Nederland,7.4,9.5,8.3
Annual,Percentage,West-Nederland,9.2,10.7,10.6
Annual,Percentage,Zuid-Nederland,7.7,8.9,8.0
Annual,Percentage,Norway,10.9,12.4,13.9
Annual,Percentage,Innlandet,10.0,6.6,9.7
Annual,Percentage,Trøndelag,15.6,12.3,14.6
Annual,Percentage,Nord-Norge,8.1,14.6,13.9
Annual,Percentage,Oslo og Viken,12.2,14.7,16.7
Annual,Percentage,Agder og Sør-Østlandet,9.5,14.7,12.9
Annual,Percentage,Vestlandet,9.4,8.8,11.5
Annual,Percentage,Poland,5.7,5.6,5.9
Annual,Percentage,Makroregion południowy,6.1,5.9,5.1
Annual,Percentage,Małopolskie,6.9,6.2,5.2
Annual,Percentage,Śląskie,5.4,5.6,5.0
Annual,Percentage,Makroregion północno-zachodni,6.3,6.9,6.0
Annual,Percentage,Wielkopolskie,5.9,6.5,5.0
Annual,Percentage,Zachodniopomorskie,7.7,7.7,8.3
Annual,Percentage,Lubuskie,5.5,6.7,5.9
Annual,Percentage,Makroregion południowo-zachodni,5.0,5.2,5.3
Annual,Percentage,Dolnośląskie,4.7,5.4,5.4
Annual,Percentage,Opolskie,5.6,4.5,5.3
Annual,Percentage,Makroregion północny,5.7,6.5,7.4
Annual,Percentage,Kujawsko-pomorskie,6.4,6.1,6.8
Annual,Percentage,Warmińsko-mazurskie,5.1,7.3,6.1
Annual,Percentage,Pomorskie,5.5,6.5,8.7
Annual,Percentage,Makroregion centralny,5.1,4.9,6.2
Annual,Percentage,Łódzkie,5.8,5.0,6.0
Annual,Percentage,Świętokrzyskie,3.7,4.8,6.7
Annual,Percentage,Makroregion wschodni,4.1,4.3,4.6
Annual,Percentage,Lubelskie,4.8,4.9,5.1
Annual,Percentage,Podkarpackie,3.2,2.8,2.9
Annual,Percentage,Podlaskie,4.5,6.0,6.6
Annual,Percentage,Makroregion województwo mazowieckie,7.0,4.7,6.6
Annual,Percentage,Warszawski stołeczny,7.1,4.5,8.1
Annual,Percentage,Mazowiecki regionalny,6.9,4.9,4.5
Annual,Percentage,Portugal,5.9,5.0,4.9
Annual,Percentage,Norte,6.0,3.9,4.7
Annual,Percentage,Algarve,9.9,9.1,7.9
Annual,Percentage,Centro (PT) (NUTS 2021),4.5,4.2,3.4
Annual,Percentage,Área Metropolitana de Lisboa (NUTS 2021),6.7,6.6,6.4
Annual,Percentage,Alentejo (NUTS 2021),4.4,4.9,3.6
Annual,Percentage,Região Autónoma dos Açores,4.7,4.4,2.8
Annual,Percentage,Região Autónoma da Madeira,4.7,4.1,3.8
Annual,Percentage,Romania,7.5,8.5,9.1
Annual,Percentage,Macroregiunea Unu,6.5,9.0,8.9
Annual,Percentage,Nord-Vest,5.5,6.7,6.7
Annual,Percentage,Centru,7.7,11.6,11.3
Annual,Percentage,Macroregiunea Doi,8.9,8.0,10.8
Annual,Percentage,Nord-Est,9.4,7.2,9.1
Annual,Percentage,Sud-Est,8.2,9.2,13.2
Annual,Percentage,Macroregiunea Trei,4.9,7.3,8.2
Annual,Percentage,Sud-Muntenia,5.6,6.3,7.5
Annual,Percentage,Bucureşti-Ilfov,4.1,8.5,9.1
Annual,Percentage,Macroregiunea Patru,10.5,10.4,8.1
Annual,Percentage,Sud-Vest Oltenia,10.8,12.7,9.7
Annual,Percentage,Vest,10.2,8.0,6.3
Annual,Percentage,Serbia,15.1,13.1,:
Annual,Percentage,Sweden,8.5,9.1,10.9
