Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Porto São Bento - Valença Fronteira,Goods trains,Number,4799.0
Annual,Porto São Bento - Valença Fronteira,Other trains,Number,12022.0
Annual,Porto São Bento - Valença Fronteira,Passenger trains,Number,44186.0
Annual,Ermesinde - São Gemil,Goods trains,Number,434.0
Annual,Ermesinde - São Gemil,Other trains,Number,42.0
Annual,Ermesinde - São Gemil,Passenger trains,Number,0.0
Annual,Agulha De Inserção Na Linha Do Minho Do Ramal De Braga - Braga,Goods trains,Number,353.0
Annual,Agulha De Inserção Na Linha Do Minho Do Ramal De Braga - Braga,Other trains,Number,215.0
Annual,Agulha De Inserção Na Linha Do Minho Do Ramal De Braga - Braga,Passenger trains,Number,10340.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Leixões - Pk Extremo Da Linha De Leixões,Goods trains,Number,1667.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Leixões - Pk Extremo Da Linha De Leixões,Other trains,Number,92.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Leixões - Pk Extremo Da Linha De Leixões,Passenger trains,Number,0.0
Annual,Ermesinde - Pk Extremo Da Linha Do Douro,Goods trains,Number,940.0
Annual,Ermesinde - Pk Extremo Da Linha Do Douro,Other trains,Number,707.0
Annual,Ermesinde - Pk Extremo Da Linha Do Douro,Passenger trains,Number,15246.0
Annual,Lisboa Santa Apolónia - Porto Campanhã,Goods trains,Number,10188.0
Annual,Lisboa Santa Apolónia - Porto Campanhã,Other trains,Number,6185.0
Annual,Lisboa Santa Apolónia - Porto Campanhã,Passenger trains,Number,86670.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Guimarães - Guimarães,Goods trains,Number,0.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Guimarães - Guimarães,Other trains,Number,126.0
Annual,Agulha De Inserção Na Linha Do Minho Da Linha De Guimarães - Guimarães,Passenger trains,Number,5429.0
Annual,Tua - Pk - Extremo Da Linha Do Tua,Goods trains,Number,0.0
Annual,Tua - Pk - Extremo Da Linha Do Tua,Other trains,Number,0.0
Annual,Tua - Pk - Extremo Da Linha Do Tua,Passenger trains,Number,0.0
Annual,Pk Inicio Da Linha Do Vouga - Pk Extremo Da Linha Do Vouga,Goods trains,Number,0.0
Annual,Pk Inicio Da Linha Do Vouga - Pk Extremo Da Linha Do Vouga,Other trains,Number,237.0
Annual,Pk Inicio Da Linha Do Vouga - Pk Extremo Da Linha Do Vouga,Passenger trains,Number,6052.0
Annual,Pampilhosa - Vilar Formoso Fronteira,Goods trains,Number,753.0
Annual,Pampilhosa - Vilar Formoso Fronteira,Other trains,Number,177.0
Annual,Pampilhosa - Vilar Formoso Fronteira,Passenger trains,Number,2444.0
Annual,Coimbra B - Coimbra,Goods trains,Number,0.0
Annual,Coimbra B - Coimbra,Other trains,Number,403.0
Annual,Coimbra B - Coimbra,Passenger trains,Number,14756.0
Annual,Agulha De Inserção Na Linha Oeste Do Ramal De Alfarelos - Alfarelos,Goods trains,Number,1698.0
Annual,Agulha De Inserção Na Linha Oeste Do Ramal De Alfarelos - Alfarelos,Other trains,Number,232.0
Annual,Agulha De Inserção Na Linha Oeste Do Ramal De Alfarelos - Alfarelos,Passenger trains,Number,6094.0
Annual,Bifurcação De Meleças - Descendente - Figueira Da Foz,Goods trains,Number,1707.0
Annual,Bifurcação De Meleças - Descendente - Figueira Da Foz,Other trains,Number,511.0
Annual,Bifurcação De Meleças - Descendente - Figueira Da Foz,Passenger trains,Number,16420.0
Annual,Lamarosa - Tomar,Goods trains,Number,0.0
Annual,Lamarosa - Tomar,Other trains,Number,55.0
Annual,Lamarosa - Tomar,Passenger trains,Number,5138.0
Annual,Entroncamento - Guarda,Goods trains,Number,772.0
Annual,Entroncamento - Guarda,Other trains,Number,91.0
Annual,Entroncamento - Guarda,Passenger trains,Number,4043.0
Annual,Abrantes - Elvas-Fronteira,Goods trains,Number,556.0
Annual,Abrantes - Elvas-Fronteira,Other trains,Number,12.0
Annual,Abrantes - Elvas-Fronteira,Passenger trains,Number,316.0
Annual,Lisboa Rossio - Pk Extremo Da Linha De Sintra,Goods trains,Number,20.0
Annual,Lisboa Rossio - Pk Extremo Da Linha De Sintra,Other trains,Number,7922.0
Annual,Lisboa Rossio - Pk Extremo Da Linha De Sintra,Passenger trains,Number,41951.0
Annual,Alcântara-Mar - Braço De Prata,Goods trains,Number,93.0
Annual,Alcântara-Mar - Braço De Prata,Other trains,Number,4894.0
Annual,Alcântara-Mar - Braço De Prata,Passenger trains,Number,56772.0
Annual,Ramal Do Pego (Inserção) - Central Do Pego (Terminal De Carvão),Goods trains,Number,13.0
Annual,Ramal Do Pego (Inserção) - Central Do Pego (Terminal De Carvão),Other trains,Number,1.0
