Time frequency,Waste management operations,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Recovery - recycling,Percentage,Austria,60.0,65.0,62.0,66.0,63.0,63.0,:
Annual,Recovery - recycling,Percentage,Belgium,75.0,80.0,81.0,78.0,81.0,87.0,:
Annual,Recovery - recycling,Percentage,Bulgaria,27.0,14.0,17.0,27.0,23.0,:,:
Annual,Recovery - recycling,Percentage,Cyprus,46.0,34.0,31.0,31.0,32.0,44.0,:
Annual,Recovery - recycling,Percentage,Czechia,50.0,58.0,60.0,60.0,61 b,59.0,:
Annual,Recovery - recycling,Percentage,Germany,55 i,54 i,53 i,: @C,53 i,55 i,:
Annual,Recovery - recycling,Percentage,Denmark,56.0,59.0,60.0,61.0,59.0,63.0,:
Annual,Recovery - recycling,Percentage,Estonia,22.0,25.0,19.0,10.0,:,:,:
Annual,Recovery - recycling,Percentage,Greece,:,:,:,:,27.0,:,:
Annual,Recovery - recycling,Percentage,Spain,44.0,46.0,46.0,46.0,47.0,48.0,:
Annual,Recovery - recycling,Percentage,European Union - 27 countries (from 2020),53.0,53.0,54.0,55.0,56.0,58.0,56 i
Annual,Recovery - recycling,Percentage,Finland,33.0,41.0,41.0,37.0,37.0,40.0,:
Annual,Recovery - recycling,Percentage,France,50.0,51.0,53.0,54.0,52.0,47.0,:
Annual,Recovery - recycling,Percentage,Croatia,26.0,35.0,47.0,52.0,56.0,60.0,:
Annual,Recovery - recycling,Percentage,Hungary,36.0,35.0,40.0,43.0,49.0,54.0,:
Annual,Recovery - recycling,Percentage,Ireland,36.0,37.0,45.0,41 i,41.0,:,:
Annual,Recovery - recycling,Percentage,Italy,60 i,64 i,67 i,68 i,67 i,72 i,:
Annual,Recovery - recycling,Percentage,Lithuania,50.0,51.0,57.0,68.0,72.0,:,:
Annual,Recovery - recycling,Percentage,Luxembourg,87.0,77.0,62.0,64.0,70.0,71.0,:
Annual,Recovery - recycling,Percentage,Latvia,:,:,:,:,50.0,70.0,:
Annual,Recovery - recycling,Percentage,Malta,24.0,28.0,27.0,42.0,28.0,25.0,:
Annual,Recovery - recycling,Percentage,Netherlands,71.0,71.0,72.0,72.0,66.0,74.0,:
Annual,Recovery - recycling,Percentage,Poland,58.0,55.0,60.0,56.0,60.0,52.0,:
Annual,Recovery - recycling,Percentage,Portugal,47.0,49.0,54.0,52.0,40.0,39.0,:
Annual,Recovery - recycling,Percentage,Romania,26 d,28 d,27 d,30 d,29 d,37 d,:
Annual,Recovery - recycling,Percentage,Sweden,51.0,53.0,51.0,49.0,50.0,:,:
Annual,Recovery - recycling,Percentage,Slovenia,52.0,74.0,75.0,80.0,82.0,80.0,:
Annual,Recovery - recycling,Percentage,Slovakia,38 d,40 d,40 d,44 d,50 d,60 d,:
