Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT manufacturing,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,0.01 bp
Annual,ICT manufacturing,Austria,0.48 b,0.45,0.43,0.49,0.46,0.46,: @C,0.44,0.44,0.46,0.52 b,0.51,0.44,0.5 b
Annual,ICT manufacturing,Bosnia and Herzegovina,: b,:,:,:,:,:,0.03,0.06 be,0.06 be,: @C,: @C,: @C,: @C,0.06 b
Annual,ICT manufacturing,Belgium,: @C,0.48,0.39,0.22,0.22,0.22,0.24,0.19,0.21,0.21,0.21 b,0.23,0.21 p,0.23 b
Annual,ICT manufacturing,Bulgaria,0.19 b,0.12,0.17,0.16,0.17,0.19,0.22,0.24,0.25,0.29,0.3 b,0.2,0.21,0.19 b
Annual,ICT manufacturing,Switzerland,: b,:,:,:,:,:,:,:,:,:,:,:,:,0.56 be
Annual,ICT manufacturing,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,ICT manufacturing,Czechia,: @C,0.34,0.39,0.35,0.41,0.44,0.44,0.37,0.39,0.36,0.38,0.33,0.39,0.39 b
Annual,ICT manufacturing,Germany,0.56 b,0.37,0.44,0.41,0.34,0.36,0.38,0.43,0.43,0.4,0.43 b,0.4 p,0.36 p,0.4 bp
Annual,ICT manufacturing,Denmark,0.26 b,0.23,0.22,0.21,: @C,: @C,: @C,: @C,: @C,: @C,0.14,0.16,0.16,0.14 b
Annual,ICT manufacturing,Estonia,0.64 b,0.59,0.73,1.05,0.79,0.81,0.8,0.66,0.65,0.66,0.72 b,0.73,: @C,: @C
Annual,ICT manufacturing,Greece,0.04 b,: @C,: @C,0.04,0.05,0.04,0.04,0.03,0.05,0.03,0.04 b,0.03,0.04 p,0.04 bp
Annual,ICT manufacturing,Spain,0.12 b,0.1,0.11,0.08,0.07,0.07,0.07,: @C,: @C,: @C,0.08 b,: @C,: @C,: @C
Annual,ICT manufacturing,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,: @C,: @C,0.8 be
Annual,ICT manufacturing,Finland,3.2 b,1.34,1.5,0.68,-0.13,: @C,: @C,0.24,: @C,0.93 b,0.37,0.25,0.93,: b@C
Annual,ICT manufacturing,France,0.35 b,0.26,0.28,0.3,0.3,: @C,0.25 b,0.26 b,0.28,0.24 b,0.43,0.48 p,0.44 p,0.24 bp
Annual,ICT manufacturing,Croatia,0.51 b,0.25,0.21,0.17,0.1,0.35,0.36,0.41,0.41,0.4,0.37,0.1 b,0.12,0.14 b
Annual,ICT manufacturing,Hungary,1.74 b,1.62,1.54,2.04,1.85,1.75,1.63,1.65,1.6,1.84,1.65 b,1.78,1.45,1.24 b
Annual,ICT manufacturing,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,ICT manufacturing,Iceland,: b,:,:,:,:,:,:,:,0 p,0 p,0.0,0 p,0 p,:
Annual,ICT manufacturing,Italy,0.29 b,0.27,0.31,0.31,0.3,0.26,0.24,0.24,0.22,0.24 b,0.24,0.25,: @C,: @C
Annual,ICT manufacturing,Lithuania,0.16 b,: @C,0.16,0.15,0.12,0.06,0.07,0.09,0.09,0.12,0.1 b,0.16,0.21,0.33 b
Annual,ICT manufacturing,Luxembourg,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,ICT manufacturing,Latvia,0.2 b,0.18,0.16,0.24,0.23,0.23,0.29,0.46,0.48,0.43,0.4,0.41,0.44,0.6 b
Annual,ICT manufacturing,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT manufacturing,North Macedonia,: b,:,:,0.08,0.04,0.1,0.11,0.11 p,: @C,: @C,: @C,: @C,:,:
Annual,ICT manufacturing,Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.8,0.87,: @C,0.69,0.81 b
