Time frequency,Unit of measure,n_vehicl,geo\TIME_PERIOD,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,1.0,BG,:,:,:,:,:,:,:,:,2.0,1.0,2.0,1.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,CZ,:,:,:,:,:,:,19493.0,19633.0,20254.0,20523.0,22622.0,25349.0,23964.0,26267.0,26931.0,29440 e,29204 e,27883 e,30891 e,:,:,:,:,:,:
Annual,Number,1.0,ES,:,:,:,:,:,:,:,:,:,:,:,98796.0,:,:,:,69440.0,67824.0,692.0,1535.0,1261.0,791.0,1034.0,:,1594.0,:
Annual,Number,1.0,FR,:,:,:,:,15468.0,15578.0,15161.0,16622.0,17594.0,17774.0,19042.0,19161.0,17820.0,17818.0,16846 p,15701.0,13859.0,13455.0,12087.0,14826.0,:,:,:,:,:
Annual,Number,1.0,HR,:,:,:,:,: m,3.0,: m,41.0,26.0,22.0,27.0,23.0,16.0,3.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,1.0,LT,:,:,:,:,:,:,160.0,318.0,368.0,466.0,367.0,343.0,489.0,437.0,702.0,529.0,1187.0,1352.0,1372.0,1470.0,1412.0,1869.0,1747.0,1628.0,:
Annual,Number,1.0,LV,:,:,:,:,:,:,:,157.0,219.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,MK,:,:,:,:,:,:,:,:,7.0,20.0,23.0,43.0,8.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,PL,:,:,:,:,:,:,:,52815.0,64697.0,76363.0,86081.0,86371.0,79782.0,75369.0,76086.0,66925.0,60943.0,55106.0,60026.0,63632.0,61541.0,56328.0,61550.0,65254.0,62773.0
Annual,Number,1.0,PT,:,:,:,:,1262.0,933.0,1024.0,926.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,1.0,SE,:,:,:,:,2398.0,:,:,6355.0,6124.0,5844.0,5759.0,5152.0,4953.0,4726.0,4548.0,4484.0,5438.0,5632.0,5434.0,5326.0,5249.0,5135.0,5051.0,:,:
Annual,Number,10-19,BG,:,:,:,:,:,:,:,:,18.0,13.0,13.0,15.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,CZ,:,:,:,:,:,:,1440.0,1065.0,1285.0,1302.0,1305.0,996.0,945.0,1222.0,1310.0,1923 e,2191 e,2154 e,2305 e,:,:,:,:,:,:
Annual,Number,10-19,ES,:,:,:,:,:,:,:,:,:,:,:,2074.0,:,:,:,4343.0,3880.0,4572.0,4396.0,4325.0,4733.0,4612.0,:,4058.0,:
Annual,Number,10-19,FR,:,:,:,:,2806.0,2633.0,2571.0,2777.0,2797.0,2580.0,3074.0,2922.0,3119.0,3206.0,3168 p,2972.0,2970.0,3036.0,3114.0,3094.0,:,:,:,:,:
Annual,Number,10-19,HR,:,:,:,:,9.0,13.0,12.0,13.0,23.0,18.0,29.0,32.0,33.0,32.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,LI,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:,:,:,: m,: m,:,:,:
Annual,Number,10-19,LT,:,:,:,:,:,:,27.0,39.0,53.0,91.0,88.0,207.0,240.0,267.0,199.0,208.0,241.0,291.0,323.0,372.0,357.0,308.0,310.0,332.0,:
Annual,Number,10-19,LV,:,:,:,:,:,:,:,85.0,39.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,MK,:,:,:,:,:,:,:,2.0,4.0,5.0,9.0,4.0,6.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,PL,:,:,:,:,:,:,:,340.0,573.0,690.0,389.0,385.0,359.0,363.0,357.0,360.0,404.0,440.0,492.0,540.0,812.0,1160.0,1224.0,1451.0,1613.0
Annual,Number,10-19,PT,:,:,:,:,297.0,333.0,449.0,495.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,10-19,SE,:,:,:,:,444.0,:,:,450.0,481.0,570.0,473.0,563.0,593.0,640.0,634.0,632.0,205.0,280.0,276.0,309.0,308.0,309.0,300.0,:,:
Annual,Number,2-5,BG,:,:,:,:,:,:,:,:,8.0,8.0,6.0,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Number,2-5,CZ,:,:,:,:,:,:,12560.0,9955.0,10270.0,10407.0,11842.0,9817.0,9195.0,11357.0,11754.0,19613 e,15264 e,14837 e,15019 e,:,:,:,:,:,:
Annual,Number,2-5,ES,:,:,:,:,:,:,:,:,:,:,:,27411.0,:,:,:,44709.0,48702.0,115142.0,111268.0,115413.0,116502.0,112151.0,:,99383.0,:
