Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Albania,:,:,:,:,:,27.0,26.5,26.7,25.1,25.6,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Austria,26.5,26.5,26.2,26.1,26.8,25.6,25.7,27.4,23.8,26.5,25.5 b,25.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Belgium,28.1,26.5,27.7,27.7,27.8,27.3,26.1,25.7 b,26.1,27.4,26.3 b,25.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Bulgaria,27.5,28.1,27.9,30.3,28.9 b,30.8,31.2,31.4,32.1,33.8,33.4 b,29.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Switzerland,24.8,23.5,26.0 b,25.8,25.8,25.4,24.4,24.3,24.9,25.2,25.1,25.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Cyprus,25.5,25.9,25.5,25.9,25.5,25.3,24.4,23.3,22.8,23.6,21.4 b,21.2
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Czechia,18.6,17.4,18.2,18.1,17.4,17.5,17.5,18.7,18.3,17.5,19.3 b,18.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Germany,25.4,25.8,25.8,26.0,26.7,25.3,24.8,24.1,25.4 b,27.6,26.4 b,25.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Denmark,27.6,27.5,26.6,26.3,25.6,24.5,23.9,23.7,26.5 b,28.4,26.0 b,25.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Euro area - 19 countries  (2015-2022),25.9,26.2,26.2,26.2,26.4,25.7,25.5,25.0,25.9 b,28.0,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Euro area – 20 countries (from 2023),:,:,26.2,26.3,26.4,25.7,25.5,25.0,25.9,27.9,26.9,26.4
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Estonia,25.3,26.6,29.6 b,29.5,31.1,31.2,32.1,32.3,31.9,31.8,33.5 b,33.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Greece,27.4,28.8,25.9,25.5,25.2,24.2,23.2,23.3,23.5,25.0,24.0 b,24.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Spain,29.1,29.3,30.8,29.5,28.9,28.7,28.4,27.2,28.0,31.7,28.7 b,26.7
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,European Union - 27 countries (2007-2013),26.4,26.7,26.6,26.6,26.6,26.2,26.3,25.9 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,European Union - 27 countries (from 2020),25.8 e,26.0 e,26.0 e,26.1 e,26.2 e,25.6 e,25.6 e,25.1 e,25.8 b,27.4,26.3,25.8
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,European Union - 28 countries (2013-2020),26.4,26.7,26.6,26.6,26.6,26.3,26.3,25.9 e,:,:,:,:
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Finland,27.6,26.9,27.8,26.9,27.2,26.8,26.1,25.3,25.2,26.2,26.2,24.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,France,24.3,25.1,24.4,24.4,24.4,24.3,24.2,23.9,26.8 b,27.3,27.4 b,27.6
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Croatia,30.7,29.6,30.3,30.9,27.7,27.2,26.5,25.0,24.7,25.7,24.2 b,26.0 b
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Hungary,26.7,26.1,25.7,24.9,25.6,25.3,25.7,20.6,21.8,26.2,19.7 b,21.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Ireland,39.7,38.6,37.3,37.1,35.8,33.9,33.8,33.2 b,29.8 b,33.3,32.1 b,30.1
Annual,At risk of poverty rate before social transfers (pensions excluded from social transfers) (cut-off point: 60% of median equivalised income after social transfers),Percentage,Total,Females,Iceland,23.7,23.0,21.6,20.4,20.2,20.0,18.2,19.1,:,:,:,:
