Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,Algeria,28.2,25.3,24.4,23.9,22.9,22.2,21.6,21.2,21.2,20.4,20.7,19.3,19.3,19.5,19.4,16.6,:,:
Annual,Rate,Females,Egypt,18.7,:,16.5,15.0,11.1,13.5,14.4,14.0,:,13.9,15.0,14.4,:,14.4,14.7,14.7,:,:
Annual,Rate,Females,Israel,4.1,3.6,3.7,3.3,3.6,3.5,3.3,3.3,2.9,2.9,3.0,2.9,2.9,3.0,2.5,2.2,2.3,2.7
Annual,Rate,Females,Jordan,23.0 e,23.0,23.0,:,:,:,:,:,:,:,:,:,:,:,15.0 d,15.0 d,15.0 d,15.0 d
Annual,Rate,Females,Lebanon,:,:,:,:,8.0 e,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,Libya,:,:,:,:,:,:,:,8.0,8.0,8.3,8.0,7.5,7.4,7.3,7.3,7.4,:,:
Annual,Rate,Females,Morocco,:,:,:,:,:,27.4,23.5,:,:,:,:,:,:,17.7,:,:,:,:
Annual,Rate,Females,Palestine*,:,23.7 e,:,:,17.1 e,:,:,:,:,17.2,:,:,:,:,:,10.0,:,:
Annual,Rate,Females,Tunisia,19.0,:,:,:,15.8,15.0,14.8,15.3,13.6,14.7,11.7,11.0,12.0,11.6,10.9,11.5,12.4,:
Annual,Rate,Males,Algeria,32.4,28.3,27.9,26.9,26.6,25.2,24.6,23.9,23.6,23.5,23.7,22.4,22.6,22.5,22.5,21.0,:,:
Annual,Rate,Males,Egypt,21.4,:,18.9,16.4,12.1,14.5,15.5,15.9,15.5,15.3,16.3,15.8,:,16.4,16.6,16.8,:,:
Annual,Rate,Males,Israel,4.6,4.4,4.1,4.4,4.1,3.9,3.8,3.8,3.3,3.3,3.3,3.4,3.3,3.1,3.5,2.6,3.1,3.0
Annual,Rate,Males,Jordan,25.0 e,25.0,25.0,:,:,:,:,:,:,:,:,:,:,:,18.0 d,18.0 d,18.0 d,18.0 d
Annual,Rate,Males,Lebanon,:,:,:,:,10.0 e,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Males,Libya,:,:,:,:,:,:,:,12.0,12.0,12.3,11.0,11.0,10.0,9.0,9.0,9.5,:,:
Annual,Rate,Males,Morocco,:,:,:,:,:,32.7,33.8,:,:,:,:,:,:,18.3,:,:,:,:
Annual,Rate,Males,Palestine*,:,27.3 e,:,:,20.6 e,:,:,:,:,19.2,:,:,:,:,:,14.0,:,:
Annual,Rate,Males,Tunisia,21.5,:,:,:,19.3,18.1,17.9,18.0,17.7,17.9,14.8,13.2,14.1,14.5,13.8,14.5,14.2,:
Annual,Rate,Total,Algeria,30.4,26.9,26.2,25.5,24.8,23.7,23.1,22.6,22.4,22.0,22.3,20.9,21.0,21.0,21.0,18.9,:,:
Annual,Rate,Total,Egypt,20.1,:,17.8,15.7,11.6,14.0,14.7,15.2,:,14.6,15.7,15.1,:,15.4,15.7,15.7,:,:
Annual,Rate,Total,Israel,4.4,4.0,3.9,3.8,3.8,3.7,3.5,3.6,3.1,3.1,3.2,3.1,3.1,3.0,3.0,2.4,2.7,2.8
Annual,Rate,Total,Jordan,24.0 e,24.0,24.0,20.0,19.0,:,:,:,17.0,17.0,17.0,17.0,17.0,17.0 d,17.0 d,17.0 d,17.0 d,17.0 d
Annual,Rate,Total,Lebanon,:,:,:,:,9.0 e,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Total,Libya,:,:,:,:,:,:,:,10.0,10.0,10.3,9.5,9.2,8.7,8.1,8.1,8.4,:,:
Annual,Rate,Total,Morocco,:,:,:,:,:,30.2,28.8,:,:,:,:,:,:,18.0,:,:,:,:
Annual,Rate,Total,Palestine*,:,25.3 e,:,:,18.9 e,:,:,:,:,18.2,:,:,:,:,:,12.1,:,:
Annual,Rate,Total,Tunisia,20.3,19.1,18.7 p,18.4 p,17.6,16.8,16.4,16.7,15.7,16.3,13.3,12.1,13.1,13.1,12.4,13.1,13.3,:
