Time frequency,Unit of measure,Sex,Age class,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Austria,74.2 b,74.3,74.8,75.4,76.2,76.8,75.5,75.6 b,77.3,77.2
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Bosnia and Herzegovina,:,:,:,:,:,:,:,52.6 b,53.9,55.9
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Belgium,67.3 b,67.2,67.7,68.5 b,69.7,70.5,70.0,70.6 b,71.9,72.1
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Bulgaria,65.1 b,67.1,67.7,71.3,72.4,75.0 b,73.6,73.3 b,75.9,76.2
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Switzerland,81.1 b,81.7,82.0,82.1,82.5,82.9,82.5,82.0 b,82.4,83.1
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Cyprus,67.6 b,67.9,68.7,70.8,73.9,75.8,75.2,76.3 b,78.6,79.5
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Czechia,73.5 b,74.8,76.7,78.5,79.9,80.3,79.7,80.0 b,81.3,81.7
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Germany,77.7 b,78.0,78.6,79.2,79.9,80.6,79.2 b,79.4 b,80.6,81.1
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Denmark,74.7 b,75.4,76.0 b,76.6 b,77.5,78.3,77.8,79.0 b,80.1,79.8 b
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Euro area – 20 countries (from 2023),68.0 b,68.8,69.8,70.8,71.8,72.5,71.5,72.4 b,74.0,74.7
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Estonia,74.3 b,76.0,76.4,78.3,79.1,79.7,78.2,79.3 b,81.9,82.1
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Greece,53.3 b,54.9,56.2,57.8,59.5,61.2,61.1,62.6 b,66.3,67.4
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Spain,59.9 b,62.0,63.9,65.5,67.0,68.0,65.7,67.5 bd,69.3 d,70.5 d
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,European Union - 27 countries (from 2020),68.2 b,69.0,70.1,71.3,72.3,73.1,72.2,73.0 b,74.6,75.3
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Finland,73.1 b,72.9,73.4,74.2,76.3,77.2,76.5,76.8 b,78.4,78.2
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,France,69.2 b,69.5,70.0,70.6,71.3,71.6,71.4,73.2 bd,74.0 d,74.4 d
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Croatia,59.1 b,60.5,61.3,63.2,64.9,66.4,66.9,68.6 b,70.2,70.8
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Hungary,66.7 b,68.9,71.5,73.3,74.5 b,75.4,75.2,78.9 b,80.3,80.7
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Ireland,68.1 b,69.9,71.4,73.0 b,74.1,75.1,73.4,74.9 b,78.2,79.1
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Iceland,84.9 b,86.5,87.8,87.6,86.5,85.9,82.3 b,81.4 b,84.8,85.3
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Italy,59.9 b,60.5,61.6,62.3,63.0 b,63.6,62.5,62.7 b,64.8,66.3
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Lithuania,71.8 b,73.3,75.2,76.0,77.8,78.2,76.7,77.4 b,79.0,78.5
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Luxembourg,72.1 b,70.9 b,70.7,71.5,72.1,72.8,72.1,74.1 b,74.8,74.8
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Latvia,70.7 b,72.5,73.2,74.8,76.8,77.4,77.0,75.3 b,77.0,77.5
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Montenegro,55.6 b,56.7,57.1,58.2,59.8,60.8,55.2,:,:,:
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,North Macedonia,51.3 b,51.9,53.3,54.8,56.1,59.2,59.1,:,:,:
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Malta,67.9 b,69.0,71.1,73.0,74.9,75.6,76.0,77.8 b,80.1,81.3
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Netherlands,75.4 b,76.4,77.1,78.0,79.2,80.1 b,80.0,81.7 b,82.9,83.5
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Norway,79.6 b,79.1,78.6,78.3,79.2,79.5,78.8,80.0 b,80.9,80.4
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Poland,66.5 b,67.8,69.3,70.9,72.2,73.3 b,73.7,75.5 b,76.7,77.9
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Portugal,67.6 b,69.1,70.6,73.4,75.4,76.1,74.4,75.5 b,77.1,78.0
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Romania,65.7 b,66.0,66.3,68.8,69.9,70.9,70.8,67.1 b,68.5,68.7
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Serbia,54.8 b,56.0,59.1,61.4,63.1,65.2,65.9,66.2 b,68.8,69.6
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Sweden,80.0 b,80.5,81.2,81.8,82.4 b,82.1,80.8,80.4 b,82.0,82.6
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Slovenia,67.7 b,69.1,70.1,73.4,75.4,76.4,75.6,76.1 b,77.9,77.5 b
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Slovakia,65.9 b,67.7,69.8,71.1,72.4,73.4,72.5,74.6 b,76.7,77.5
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,Türkiye,53.2 b,53.9,54.4,55.3,55.6,53.8,51.0,53.9 b,56.5,57.3
Annual,Percentage,Total,From 20 to 64 years,All ISCED 2011 levels,United Kingdom,76.2 b,76.8,77.5,78.2,78.7,79.3,:,:,:,:
