Time frequency,Sex,Legal status,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Austria,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Bulgaria,0.14
Annual,Females,Convicted person,Per hundred thousand inhabitants,Cyprus,1.31
Annual,Females,Convicted person,Per hundred thousand inhabitants,Czechia,0.28
Annual,Females,Convicted person,Per hundred thousand inhabitants,Germany,0.07
Annual,Females,Convicted person,Per hundred thousand inhabitants,Denmark,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Estonia,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Greece,0.29
Annual,Females,Convicted person,Per hundred thousand inhabitants,Spain,0.09
Annual,Females,Convicted person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),0.25
Annual,Females,Convicted person,Per hundred thousand inhabitants,Finland,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,France,0.76
Annual,Females,Convicted person,Per hundred thousand inhabitants,Croatia,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Hungary,0.3
Annual,Females,Convicted person,Per hundred thousand inhabitants,Ireland,0.08
Annual,Females,Convicted person,Per hundred thousand inhabitants,Italy,0.35
Annual,Females,Convicted person,Per hundred thousand inhabitants,Lithuania,0.2
Annual,Females,Convicted person,Per hundred thousand inhabitants,Luxembourg,0.32
Annual,Females,Convicted person,Per hundred thousand inhabitants,Latvia,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Malta,0.4
Annual,Females,Convicted person,Per hundred thousand inhabitants,Netherlands,0.13
Annual,Females,Convicted person,Per hundred thousand inhabitants,Poland,0.01
Annual,Females,Convicted person,Per hundred thousand inhabitants,Portugal,0.04
Annual,Females,Convicted person,Per hundred thousand inhabitants,Romania,0.59
Annual,Females,Convicted person,Per hundred thousand inhabitants,Sweden,0.02
Annual,Females,Convicted person,Per hundred thousand inhabitants,Slovenia,0.0
Annual,Females,Convicted person,Per hundred thousand inhabitants,Slovakia,0.25
Annual,Females,Suspected person,Per hundred thousand inhabitants,Austria,0.46
Annual,Females,Suspected person,Per hundred thousand inhabitants,Bulgaria,0.11
Annual,Females,Suspected person,Per hundred thousand inhabitants,Cyprus,1.09
Annual,Females,Suspected person,Per hundred thousand inhabitants,Czechia,0.13
Annual,Females,Suspected person,Per hundred thousand inhabitants,Germany,0.23
Annual,Females,Suspected person,Per hundred thousand inhabitants,Denmark,0.0
Annual,Females,Suspected person,Per hundred thousand inhabitants,Greece,0.37
Annual,Females,Suspected person,Per hundred thousand inhabitants,Spain,0.53
Annual,Females,Suspected person,Per hundred thousand inhabitants,European Union (aggregate changing according to the context),0.89
Annual,Females,Suspected person,Per hundred thousand inhabitants,Finland,0.46
Annual,Females,Suspected person,Per hundred thousand inhabitants,France,1.65
Annual,Females,Suspected person,Per hundred thousand inhabitants,Croatia,0.39
Annual,Females,Suspected person,Per hundred thousand inhabitants,Hungary,1.15
Annual,Females,Suspected person,Per hundred thousand inhabitants,Ireland,0.04
Annual,Females,Suspected person,Per hundred thousand inhabitants,Italy,2.35
