Time frequency,Unit of measure,Hydrological parameters - flows - sources - water supply - treatment of water,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Million cubic metres,Regular freshwater resources 95 per cent time,Tunisia,3586.0 d,3508.0 d,3508.0 d,3530.0 d,3598.0 d,3563.0 d,3573.0 d,3565.0 d,3565.0 d,:,:,:,:
Annual,Million cubic metres,Actual evapotranspiration,Algeria,:,:,:,:,:,:,:,:,:,:,:,:,67500.0
Annual,Million cubic metres,Actual evapotranspiration,Egypt,:,:,:,2.1,2.1,2.1,2.1,2.1,2.1,:,:,:,:
Annual,Million cubic metres,Actual evapotranspiration,Jordan,:,7062.0,7011.8,9026.0,6550.5,8671.0,5813.0,7201.0,4869.4,5902.9,8092.5,6073.0,5534.7
Annual,Million cubic metres,Actual evapotranspiration,Lebanon,4300.0,:,:,:,:,:,:,:,:,4300.0,4500.0,:,:
Annual,Million cubic metres,Actual evapotranspiration,Morocco,:,:,:,:,:,:,:,117000.0,121000.0,126000.0,119000.0,122000.0,79500.0
Annual,Million cubic metres,Actual evapotranspiration,Syria,26463.0,33923.0,38209.0,46217.0,51337.0,42844.0,36112.0,33653.0,:,:,:,:,:
Annual,Million cubic metres,Actual evapotranspiration,Tunisia,22069.0 d,16764.0 d,16764.0 d,30239.0 d,33846.0 d,23342.0 d,27056.0 d,28011.0 d,19026.0 d,30701.0 d,19458.0 d,26376.0 d,16539.0 d
Annual,Million cubic metres,Internal flow,Algeria,10000.0,10000.0,10000.0,11000.0,11000.0,11000.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12500.0
Annual,Million cubic metres,Internal flow,Egypt,:,:,:,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,:,:,:,:
Annual,Million cubic metres,Internal flow,Jordan,:,313.0,533.2,682.0,400.5,633.0,445.0,482.0,324.3,476.0,635.2,404.3,408.2
Annual,Million cubic metres,Internal flow,Lebanon,4300.0,:,:,:,:,:,:,:,:,4300.0,3700.0,:,:
Annual,Million cubic metres,Internal flow,Morocco,:,:,:,:,:,:,:,22000.0,41000.0,39000.0,46000.0,24000.0,11500.0
Annual,Million cubic metres,Internal flow,Syria,4626.0,4985.0,5993.0,8761.0,9060.0,7561.0,5879.0,5478.0,:,:,:,:,:
Annual,Million cubic metres,Internal flow,Tunisia,2891.0 d,2196.0 d,2196.0 d,3961.0 d,4434.0 d,3058.0 d,3544.0 d,3669.0 d,2094.0 d,3379.0 d,2142.0 d,2904.0 d,1821.0 d
Annual,Million cubic metres,Actual external inflow,Algeria,245.0,245.0,245.0,276.0,276.0,276.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0
Annual,Million cubic metres,Actual external inflow,Egypt,:,:,:,61.6,61.6,61.6,61.6,61.6,62.3,:,62.8,:,:
Annual,Million cubic metres,Actual external inflow,Jordan,:,700.6,737.4,734.7,779.5,:,:,:,195.0,190.8,214.6,195.8,169.9
Annual,Million cubic metres,Actual external inflow,Syria,6062.0,6972.0,7772.0,11270.0,8147.0,9764.0,10331.0,9734.0,:,:,:,:,:
Annual,Million cubic metres,Total actual outflow,Algeria,7000.0,7000.0,7000.0,7000.0,7000.0,7500.0,11392.0,11392.0,11392.0,11560.0,11560.0,11560.0,11560.0
Annual,Million cubic metres,Total actual outflow,Egypt,:,:,:,2.0,2.0,2.0,2.0,2.0,2.0,:,:,:,:
Annual,Million cubic metres,Total actual outflow,Israel,153.0,75.0,207.0,414.0,188.0,45.0,37.0,43.0,36.0,21.0,30.0,47.0,:
Annual,Million cubic metres,Total actual outflow,Lebanon,670.0,:,:,:,:,:,:,:,:,670.0,1333.0,:,:
Annual,Million cubic metres,Total actual outflow,Syria,9608.0,9608.0,9771.0,9833.0,10153.0,10633.0,10125.0,10037.0,:,:,:,:,:
Annual,Million cubic metres,Total fresh water resources,Algeria,10245.0,10245.0,10245.0,11276.0,11276.0,11276.0,12707.0,12707.0,12707.0,12707.0,12707.0,12707.0,12707.0
Annual,Million cubic metres,Total fresh water resources,Egypt,:,:,:,60.8,60.8,60.8,60.8,60.8,61.5,:,:,:,:
Annual,Million cubic metres,Total fresh water resources,Jordan,:,1013.6,1270.6,1416.7,1180.0,:,:,:,519.3,666.8,849.8,600.1,578.1
Annual,Million cubic metres,Total fresh water resources,Lebanon,4300.0,:,:,:,:,2600.0,:,:,:,4300.0,2767.0,:,:
Annual,Million cubic metres,Total fresh water resources,Morocco,:,:,:,:,29000.0,:,:,22000.0,41000.0,43000.0,:,:,:
Annual,Million cubic metres,Total fresh water resources,Syria,10688.0,11957.0,13765.0,20031.0,17207.0,17325.0,16210.0,15212.0,:,:,:,:,:
Annual,Million cubic metres,Total fresh water resources,Tunisia,2891.0,2196.0,2196.0,3961.0,4434.0,3058.0,3544.0,3141.0,2094.0,3379.0,2142.0,2904.0,1821.0
