Time frequency,annex,indic_sb,priority,cpa02,unit,nace_r1,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V47120,O,CPA_J6512,NR,J6512,TOTAL,ES,:,13375251.0,14775069.0,15847515.0,17552930.0
Annual,6.0,V47120,O,CPA_J6512,NR,J6512,TOTAL,LV,:,:,:,:,0 p
Annual,6.0,V47120,O,CPA_J6512,NR,J6512_J652,TOTAL,ES,:,13581397.0,14775069.0,15847515.0,17552930.0
Annual,6.0,V47120,O,CPA_J6512,NR,J6522,TOTAL,ES,:,206146.0,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512A,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512A,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512A,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AA,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AA,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AA,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AB,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AB,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AB,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AC,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AC,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512AC,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512B,NR,J6512,TOTAL,ES,:,13375251.0,14775069 d,15847515 d,17552930 d
Annual,6.0,V47120,O,CPA_J6512B,NR,J6512_J652,TOTAL,ES,:,13581397.0,14775069 d,15847515 d,17552930 d
Annual,6.0,V47120,O,CPA_J6512B,NR,J6522,TOTAL,ES,:,206146.0,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BA,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BA,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BA,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512,TOTAL,BE,2504269.0,2586652.0,2639299 d,2741027 d,2811085 d
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512,TOTAL,CH,258312.0,355893.0,: @C,: @C,:
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512_J652,TOTAL,BE,2504269.0,2586652.0,2639299 d,2741027 d,2811085 d
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512_J652,TOTAL,CH,375057.0,365060.0,276281.0,291223.0,:
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6522,TOTAL,BE,: m,: m,: m,: m,: m
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6522,TOTAL,CH,116745.0,9167.0,: @C,: @C,:
Annual,6.0,V47120,O,CPA_J6512BB,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BC,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BC,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BC,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BD,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BD,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BD,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512BE,NR,J6512,TOTAL,ES,11435936.0,13375251.0,14775069.0,15847515.0,17552930.0
Annual,6.0,V47120,O,CPA_J6512BE,NR,J6512_J652,TOTAL,ES,11573709.0,13581397 d,14775069.0,15847515.0,17552930.0
Annual,6.0,V47120,O,CPA_J6512BE,NR,J6522,TOTAL,ES,137773.0,206146.0,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512C,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512C,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6512C,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J652,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J652,NR,J6512_J652,TOTAL,ES,:,:,2842445.0,2913948.0,3755527.0
Annual,6.0,V47120,O,CPA_J652,NR,J6522,TOTAL,ES,:,:,2842445.0,2913948.0,3755527.0
Annual,6.0,V47120,O,CPA_J6521,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6521,NR,J6512_J652,TOTAL,ES,:,:,279542.0,282576.0,434770.0
Annual,6.0,V47120,O,CPA_J6521,NR,J6522,TOTAL,ES,:,:,279542.0,282576.0,434770.0
Annual,6.0,V47120,O,CPA_J6522,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522,NR,J6512_J652,TOTAL,ES,:,:,2562903.0,2631372.0,3320757.0
Annual,6.0,V47120,O,CPA_J6522,NR,J6522,TOTAL,ES,:,:,2562903.0,2631372.0,3320757.0
Annual,6.0,V47120,O,CPA_J6522A,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522A,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522A,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522B,NR,J6512,TOTAL,CH,:,:,:,:,: @C
Annual,6.0,V47120,O,CPA_J6522B,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522B,NR,J6512_J652,TOTAL,CH,:,:,:,:,307768.0
Annual,6.0,V47120,O,CPA_J6522B,NR,J6512_J652,TOTAL,ES,:,:,2227594.0,2412631.0,3080068.0
Annual,6.0,V47120,O,CPA_J6522B,NR,J6522,TOTAL,CH,:,:,:,:,: @C
Annual,6.0,V47120,O,CPA_J6522B,NR,J6522,TOTAL,ES,:,:,2227594.0,2412631.0,3080068.0
Annual,6.0,V47120,O,CPA_J6522C,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522C,NR,J6512_J652,TOTAL,ES,:,:,105124.0,109697.0,113699.0
Annual,6.0,V47120,O,CPA_J6522C,NR,J6522,TOTAL,ES,:,:,105124.0,109697.0,113699.0
Annual,6.0,V47120,O,CPA_J6522D,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522D,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522D,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522E,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6522E,NR,J6512_J652,TOTAL,ES,:,:,230185.0,109044.0,126990.0
Annual,6.0,V47120,O,CPA_J6522E,NR,J6522,TOTAL,ES,:,:,230185.0,109044.0,126990.0
Annual,6.0,V47120,O,CPA_J6523,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523A,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523A,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523A,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523B,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523B,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6523B,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J67,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J67,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J67,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J671,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J671,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J671,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712A,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712A,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712A,NR,J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712B,NR,J6512,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712B,NR,J6512_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V47120,O,CPA_J6712B,NR,J6522,TOTAL,ES,:,:,:,:,0.0
