Annual,Thousand tonnes,23.0,AT,:,:,:,:,:,:,:,:,:,:,:,985.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,BE,297.0,276.0,213.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,BG,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,3.7,0.0,0.0,2.3,12.5,11.7,13.9,13.5,10.6,6.1
Annual,Thousand tonnes,23.0,CH,:,:,:,:,51.0,51.0,39.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,CZ,:,:,:,0.0,5.0,0.0,1.6,2.5,7.0,5.0,0.0,6.1,5.9,5.8,2.5,2.7,2.7,7.6,5.0,3.0,:,:,:
Annual,Thousand tonnes,23.0,DE,228.0,209.0,191.0,182.0,200.0,191.0,173.0,180.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,FI,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,10.0,10.0,11.0,11.0
Annual,Thousand tonnes,23.0,HR,:,:,:,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,: m,2.0,2.0,2.0,2.0,1.0,: m,: @C,: m,: @C
Annual,Thousand tonnes,23.0,LT,:,:,:,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Thousand tonnes,23.0,LU,8.0,:,:,4.0,6.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,LV,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,NL,1333.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,PL,:,:,:,:,:,2.0,7.0,13.0,13.0,9.0,5.0,6.0,6.7,12.6,12.0,12.0,13.8,13.9,31.0,31.7,32.2,30.41,33.26
Annual,Thousand tonnes,23.0,RO,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,23.0,SK,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,:,0.8,0.8,0.8,0.7,:,0.8,:,2.5,2.3
Annual,Thousand tonnes,23.0,UK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34.0,34.0,34.0
Annual,Thousand tonnes,45.0,BE,79.0,73.0,55.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,BG,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,5.5,5.5,5.5,13.1,14.6,14.6,6.9,11.7,17.7
Annual,Thousand tonnes,45.0,CH,:,:,:,:,21.0,17.0,8.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,CZ,:,:,:,8.7,2.8,2.1,3.1,2.4,2.0,0.0,0.0,0.0,2.9,0.0,4.5,4.1,10.3,0.0,1.0,8.0,:,:,:
Annual,Thousand tonnes,45.0,DE,102.0,120.0,101.0,92.0,73.0,87.0,68.0,67.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,FI,4.0,4.0,4.0,4.0,4.0,4.0,4.0,:,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,: m,: m,: m,: m,: m
Annual,Thousand tonnes,45.0,HR,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,: m,: m,1.0,1.0,: m,0.0,: m,: m,1.0,1.0,: m,: @C,: @C
Annual,Thousand tonnes,45.0,LT,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Thousand tonnes,45.0,LU,:,4.0,4.0,4.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,LV,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,NL,399.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,PL,:,:,:,:,:,3.0,3.0,4.0,20.0,1.0,1.0,4.6,8.5,7.1,13.0,7.0,11.0,13.9,16.0,15.9,14.4,14.04,16.0
Annual,Thousand tonnes,45.0,RO,:,:,:,4.0,4.0,4.0,4.0,0.0,7.0,7.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,45.0,SK,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,5.1
Annual,Thousand tonnes,45.0,UK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.0,15.0,15.0
Annual,Thousand tonnes,6-9,BE,37.0,35.0,89.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,BG,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,7.9,9.6,11.6,11.6,23.8,22.6,22.6,8.6,18.3
Annual,Thousand tonnes,6-9,CH,:,:,:,:,30.0,21.0,19.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,CZ,:,:,:,4.4,7.0,7.0,4.4,0.0,1.4,8.0,3.7,0.0,4.4,0.0,3.2,3.2,0.0,3.6,4.0,0.0,:,:,:
Annual,Thousand tonnes,6-9,DE,109.0,104.0,106.0,137.0,125.0,68.0,110.0,110.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,FI,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand tonnes,6-9,HR,:,:,:,1.8,1.8,2.0,1.9,2.0,2.0,2.0,2.0,2.0,0.0,: m,2.0,: m,1.0,: m,: m,1.0,: m,: m,: m
Annual,Thousand tonnes,6-9,LT,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Thousand tonnes,6-9,LV,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,NL,399.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,PL,:,:,:,:,:,6.0,6.0,9.0,20.0,20.0,14.0,14.6,17.8,17.2,14.0,18.0,18.1,12.6,10.7,11.7,11.8,39.54,27.03
Annual,Thousand tonnes,6-9,RO,:,:,:,14.4,14.4,14.4,14.4,4.0,8.0,8.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,SK,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,6-9,UK,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.0,4.0,4.0
Annual,Thousand tonnes,GE20,AT,:,:,:,:,:,:,:,:,:,:,:,188388.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,GE20,BG,:,:,:,:,:,:,:,250.0,237.0,220.0,205.7,205.5,187.6,178.3,180.5,173.9,181.8,173.1,174.4,177.5,181.9,175.4,165.4
Annual,Thousand tonnes,GE20,CZ,:,:,:,312.1,289.8,291.0,217.7,261.0,244.1,133.0,189.5,173.5,188.5,105.2,98.7,86.8,110.5,103.8,103.0,20.0,:,:,:
