Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Females,Austria,:,27.9
Annual,Participation rate (%),Females,Belgium,29.3,19.8
Annual,Participation rate (%),Females,Bulgaria,24.8,:
Annual,Participation rate (%),Females,Germany,30.0,20.6
Annual,Participation rate (%),Females,Estonia,41.0,27.7
Annual,Participation rate (%),Females,Greece,:,18.5
Annual,Participation rate (%),Females,Spain,25.7,27.5
Annual,Participation rate (%),Females,Finland,27.3,25.5
Annual,Participation rate (%),Females,France,28.4,26.3
Annual,Participation rate (%),Females,Hungary,:,23.2
Annual,Participation rate (%),Females,Italy,27.8,24.0
Annual,Participation rate (%),Females,Lithuania,28.5,:
Annual,Participation rate (%),Females,Luxembourg,:,0.0
Annual,Participation rate (%),Females,Latvia,30.0,:
Annual,Participation rate (%),Females,Netherlands,:,0.0
Annual,Participation rate (%),Females,Norway,33.8,29.3
Annual,Participation rate (%),Females,Poland,31.3,29.6
Annual,Participation rate (%),Females,Romania,:,16.5
Annual,Participation rate (%),Females,Serbia,:,22.1
Annual,Participation rate (%),Females,Slovenia,34.1,:
Annual,Participation rate (%),Females,Türkiye,:,0.0
Annual,Participation rate (%),Females,United Kingdom,33.3,30.0
Annual,Participation rate (%),Males,Austria,:,23.9
Annual,Participation rate (%),Males,Belgium,22.4,15.3
Annual,Participation rate (%),Males,Bulgaria,17.6,:
Annual,Participation rate (%),Males,Germany,24.6,15.9
Annual,Participation rate (%),Males,Estonia,29.4,18.6
Annual,Participation rate (%),Males,Greece,:,17.0
Annual,Participation rate (%),Males,Spain,21.0,24.1
Annual,Participation rate (%),Males,Finland,16.2,19.4
Annual,Participation rate (%),Males,France,13.9,16.9
Annual,Participation rate (%),Males,Hungary,:,17.3
Annual,Participation rate (%),Males,Italy,22.9,18.7
Annual,Participation rate (%),Males,Lithuania,22.6,:
Annual,Participation rate (%),Males,Luxembourg,:,0.0
Annual,Participation rate (%),Males,Latvia,17.4,:
Annual,Participation rate (%),Males,Netherlands,:,0.0
Annual,Participation rate (%),Males,Norway,26.7,23.9
Annual,Participation rate (%),Males,Poland,25.3,20.8
Annual,Participation rate (%),Males,Romania,:,11.5
Annual,Participation rate (%),Males,Serbia,:,17.9
Annual,Participation rate (%),Males,Slovenia,24.9,:
Annual,Participation rate (%),Males,Türkiye,:,0.0
Annual,Participation rate (%),Males,United Kingdom,24.5,21.7
Annual,Participation rate (%),Total,Austria,:,25.9
Annual,Participation rate (%),Total,Belgium,26.0,17.6
Annual,Participation rate (%),Total,Bulgaria,21.4,:
Annual,Participation rate (%),Total,Germany,27.4,18.3
Annual,Participation rate (%),Total,Estonia,35.7,23.5
Annual,Participation rate (%),Total,Greece,:,17.8
Annual,Participation rate (%),Total,Spain,23.4,25.8
Annual,Participation rate (%),Total,Finland,22.0,22.5
Annual,Participation rate (%),Total,France,21.3,21.7
Annual,Participation rate (%),Total,Hungary,:,20.4
Annual,Participation rate (%),Total,Italy,25.4,21.4
Annual,Participation rate (%),Total,Lithuania,25.8,:
Annual,Participation rate (%),Total,Luxembourg,:,0.0
Annual,Participation rate (%),Total,Latvia,24.2,:
Annual,Participation rate (%),Total,Netherlands,:,0.0
Annual,Participation rate (%),Total,Norway,30.2,26.6
Annual,Participation rate (%),Total,Poland,28.4,25.3
Annual,Participation rate (%),Total,Romania,:,14.1
Annual,Participation rate (%),Total,Serbia,:,20.1
Annual,Participation rate (%),Total,Slovenia,29.6,:
Annual,Participation rate (%),Total,Türkiye,:,0.0
Annual,Participation rate (%),Total,United Kingdom,29.0,25.9
Annual,Participation time (hh:mm),Females,Austria,:,2:32
Annual,Participation time (hh:mm),Females,Belgium,4:09,1:59
Annual,Participation time (hh:mm),Females,Bulgaria,4:23,:
Annual,Participation time (hh:mm),Females,Germany,5:01,2:02
Annual,Participation time (hh:mm),Females,Estonia,4:57,2:22
Annual,Participation time (hh:mm),Females,Greece,:,2:15
Annual,Participation time (hh:mm),Females,Spain,6:04,2:23
Annual,Participation time (hh:mm),Females,Finland,2:32,2:13
Annual,Participation time (hh:mm),Females,France,1:43,1:59
Annual,Participation time (hh:mm),Females,Hungary,:,3:01
Annual,Participation time (hh:mm),Females,Italy,5:54,2:01
Annual,Participation time (hh:mm),Females,Lithuania,4:57,:
Annual,Participation time (hh:mm),Females,Luxembourg,:,0:00
Annual,Participation time (hh:mm),Females,Latvia,3:57,:
Annual,Participation time (hh:mm),Females,Netherlands,:,0:00
Annual,Participation time (hh:mm),Females,Norway,5:30,1:59
Annual,Participation time (hh:mm),Females,Poland,5:29,2:48
Annual,Participation time (hh:mm),Females,Romania,:,2:20
Annual,Participation time (hh:mm),Females,Serbia,:,2:17
Annual,Participation time (hh:mm),Females,Slovenia,4:15,:
Annual,Participation time (hh:mm),Females,Türkiye,:,0:00
Annual,Participation time (hh:mm),Females,United Kingdom,6:46,2:08
Annual,Participation time (hh:mm),Males,Austria,:,1:40
Annual,Participation time (hh:mm),Males,Belgium,3:12,1:25
Annual,Participation time (hh:mm),Males,Bulgaria,3:08,:
Annual,Participation time (hh:mm),Males,Germany,3:25,1:28
Annual,Participation time (hh:mm),Males,Estonia,3:31,1:30
Annual,Participation time (hh:mm),Males,Greece,:,1:42
Annual,Participation time (hh:mm),Males,Spain,4:08,1:50
Annual,Participation time (hh:mm),Males,Finland,1:33,1:35
Annual,Participation time (hh:mm),Males,France,1:09,1:25
Annual,Participation time (hh:mm),Males,Hungary,:,2:13
Annual,Participation time (hh:mm),Males,Italy,3:53,1:27
Annual,Participation time (hh:mm),Males,Lithuania,3:18,:
Annual,Participation time (hh:mm),Males,Luxembourg,:,0:00
Annual,Participation time (hh:mm),Males,Latvia,3:17,:
Annual,Participation time (hh:mm),Males,Netherlands,:,0:00
Annual,Participation time (hh:mm),Males,Norway,4:06,1:33
Annual,Participation time (hh:mm),Males,Poland,3:35,1:48
Annual,Participation time (hh:mm),Males,Romania,:,1:23
Annual,Participation time (hh:mm),Males,Serbia,:,1:34
Annual,Participation time (hh:mm),Males,Slovenia,3:17,:
Annual,Participation time (hh:mm),Males,Türkiye,:,0:00
Annual,Participation time (hh:mm),Males,United Kingdom,4:36,1:28
Annual,Participation time (hh:mm),Total,Austria,:,2:08
Annual,Participation time (hh:mm),Total,Belgium,3:45,1:45
Annual,Participation time (hh:mm),Total,Bulgaria,3:54,:
