Time frequency,Unit of measure,Health facility,Health care,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,288.24,288.44,288.97,:,:,:,:,:,:,:,:,:
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Austria,767.63,767.39,764.46,758.39,753.68,742.14,736.62,727.16,718.9,705.1,691.47,671.75
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Belgium,605.03,598.52,592.76,585.15,583.22,576.4,566.35,562.24,556.72 bd,553.33 d,549.22 d,544.27 d
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Bulgaria,644.92,661.22,681.64,712.98,723.5,726.95,745.4,756.91,774.07,781.88,792.28,823.49
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Switzerland,504.74,497.48,484.98,473.39,473.0,468.8,465.34,462.76,459.34,448.07,443.35,442.07
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Cyprus,351.17,346.09,340.86,341.58,341.53,342.67,329.6,318.25,311.47,316.81,311.21,313.03
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Czechia,710.65,697.34,674.53,672.07,671.28,671.03,667.31,666.39,662.59,660.63,666.58,654.24
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Germany,837.84,833.62,827.77,822.82,813.31,806.26,800.23,798.35,791.48,781.82,776.02,766.26
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Denmark,312.95 b,:,307.06,:,:,259.62,260.83,261.17,259.29,258.75,251.27,247.67
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Estonia,535.92,552.58,490.29 b,489.53,482.13,468.62,460.61,453.49,453.01,446.33,439.47,419.1
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Greece,447.48,444.54,424.16,423.78,424.6,420.13,420.91,419.77,415.22,419.88,423.82,426.07
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Spain,304.63,299.09,296.34,296.63,297.92,296.59,297.43,297.15,294.6,295.52,296.1,294.29 p
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,European Union - 27 countries (from 2020),567.73,563.09 e,556.83,552.42 e,549.62 e,545.17,541.73,538.22,531.67,526.76,524.3,516.28
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Finland,552.51 e,528.74 e,486.27 e,453.32 e,428.30 e,396.94 e,375.44 e,356.56 e,339.29 e,274.69 e,278.94 e,261.51 e
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,France,635.99,633.94,626.73 b,619.39,613.02,605.47,596.77,588.81,581.43,571.74,561.6,549.9
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Croatia,595.08,588.63,586.04,593.73,563.26,558.28,565.37,575.22,583.13,585.78,578.03,583.78
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Hungary,719.65,700.07,703.73,698.43,699.41,700.15,701.9,695.07 b,690.75,675.74,678.56,665.32
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Ireland,262.18,254.2,256.0,257.4,292.01 b,295.29,297.02,297.39,288.04 b,289.09,289.42,290.55
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Iceland,329.14,324.59,322.15,316.14,311.96,313.32,306.35,287.48,279.84,283.52,:,:
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Italy,351.73,342.16,331.17,321.09,319.55,317.21,318.07,315.46,316.28,318.56,312.39,308.76
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Liechtenstein,214.81,212.79,164.94,163.77,160.03,159.08,239.71,101.97,145.22,228.79,227.15,225.36
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Lithuania,743.4,744.57,731.25,726.38,696.61,669.16,655.78,643.4,634.65,601.17,605.43,568.05
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Luxembourg,527.83,515.31,517.15,505.29,495.96,480.58,466.18,450.7,426.45 b,419.4,414.33,399.48
Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Latvia,588.0,588.5,579.98,565.71,569.45,571.97,556.67,549.35,542.32,528.56,516.43,502.88
