Time frequency,Unit of measure,Age class,Sex,Income and living conditions indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Albania,:,:,:,:,:,11.8,11.5,9.7,8.5,8.5,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Austria,4.5,4.9,4.0,3.8,4.7,5.2,4.4,4.9,4.7,4.9,5.5,5.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Belgium,3.8,3.9,3.8,3.4,3.4,3.4,3.7,2.8 b,3.0,2.5,2.8,2.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Bulgaria,10.1,9.6,10.8,10.0,10.6 b,10.6,9.2,9.6,10.0,8.2,8.4,7.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Switzerland,4.8,3.9,3.5,4.5,4.1,5.2,4.5,5.5,4.7,5.0,4.8,5.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Cyprus,3.2,3.1,3.3,3.9,3.7,2.7,2.4,2.7,2.6,2.4,2.8,2.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Czechia,2.7,2.3,2.4,2.6,2.6,2.2,1.8,2.1,1.7,2.3,2.4,2.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Germany,4.2,4.2,5.4,5.0,4.8,4.4,4.6,4.5,5.9 b,5.3,4.4,4.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Denmark,4.0,4.4,4.4,4.3,4.0,4.1,4.2,4.2,3.6 b,3.6,3.5,3.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Euro area - 19 countries  (2015-2022),5.7,5.8,6.3,6.2,6.3,6.0,5.7,5.7,6.2 b,6.1,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Euro area – 20 countries (from 2023),:,:,6.3,6.3,6.4,6.0,5.8,5.8,6.2 b,6.1,5.7,5.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Estonia,6.7,6.7,7.9,7.4,6.5,6.5,6.6,6.3,6.3,6.0,6.4,6.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Greece,10.6,11.1,10.4,10.1,10.2,9.3,8.1,7.5,7.3,8.3,6.7,6.5
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),Spain,9.6,9.3,10.6,11.2,10.7,10.5,9.2,9.2,9.5,10.2,8.9,8.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),European Union - 27 countries (2007-2013),5.7,5.8,6.3,6.3,6.4,5.9,5.9,:,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 40% of median equivalised income),European Union - 27 countries (from 2020),5.8 e,6.0,6.5,6.5,6.5,6.1,5.9,5.9,6.1 b,6.1,5.7,5.6
