Time frequency,Unit of measure,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Austria,6.1,4.33,6.1,9.02,6.71,6.55,5.33,7.23,5.25,4.35,5.49
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Belgium,8.83,8.14,6.96,6.84,5.07,6.15,6.65,5.55,6.62,4.54,7.89
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Bulgaria,4.06,6.34,3.97,5.38,3.19,2.57,3.53,2.86,3.18,2.55,2.21
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Switzerland,5.56,7.41,6.79,6.14,7.98,4.57,6.68,9.33,5.19,7.6,6.64
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Cyprus,0.0,4.97,3.53,3.71,1.91,1.96,2.01,2.04,2.03,0.0,: @C
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Czechia,7.86,6.09,8.48,7.21,4.56,8.07,9.56,7.96,5.71,4.98,6.06
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Germany,4.3,4.56,4.13,4.81,4.77,4.95,4.53,4.45,4.13,3.98,4.29
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Denmark,3.63,4.74,4.76,4.79,1.42,3.14,4.31,4.92,4.36,3.5,4.38
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Estonia,11.28,4.52,7.98,16.45,16.64,8.37,8.35,16.47,12.89,18.86,12.22
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Greece,1.95,1.45,1.28,1.66,1.31,1.12,1.48,2.02,1.46,1.28,0.56
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Spain,1.99,2.29,2.51,2.7,2.63,2.59,2.23,2.96,2.87,1.98,2.07
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,European Union - 27 countries (from 2020),4.85,4.82,4.76,4.9,4.35,4.21,4.39,4.23,4.34,3.99,4.37
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Finland,13.03,13.57,10.09,9.35,5.59,7.34,10.43,10.13,11.47,10.76,9.32
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,France,4.35,4.36,3.93,3.5,3.26,3.37,3.1,3.47,3.84,3.59,3.81
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Croatia,3.69,4.89,6.5,8.21,5.03,6.52,4.11,4.78,4.96,7.1,5.2
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Hungary,6.96,5.19,3.96,4.31,5.26,4.61,5.5,5.74,4.31,4.1,5.51
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Ireland,11.72,9.56,7.33,4.45,6.73,10.21,6.12,5.06,6.85,7.73,7.04
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Iceland,4.31,: @C,4.42,8.98,18.09,18.16,0.0,22.79,9.05,13.47,8.86
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Italy,2.06,1.97,2.25,2.55,2.47,2.11,2.45,2.39,2.47,2.34,3.28
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Liechtenstein,: @C,0.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.0
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Lithuania,8.62,15.4,21.38,16.11,18.64,8.88,13.48,11.41,12.7,11.62,8.57
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Luxembourg,0.0,9.42,3.1,9.23,3.04,0.0,6.03,6.03,12.02,9.04,3.01
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Latvia,8.59,7.61,5.22,16.7,6.89,8.14,6.95,5.69,11.21,5.55,3.27
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Malta,7.56,: @C,0.0,8.03,8.17,0.0,8.69,: @C,: @C,0.0,4.67
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Netherlands,3.99,4.62,5.33,5.31,4.06,3.8,6.72,4.38,5.9,5.09,4.08
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Norway,8.33,6.76,7.06,3.37,4.59,10.13,10.2,8.09,9.39,9.77,11.02
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Poland,8.06,8.96,9.08,9.48,8.33,6.57,7.03,5.03,6.06,6.9,7.95
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Portugal,1.42,1.8,2.0,2.55,1.62,1.79,2.15,1.44,2.19,1.85,2.26
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Romania,6.6,5.84,5.42,4.52,5.64,3.98,5.17,4.88,4.17,3.31,4.06
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Serbia,1.96,2.5,2.57,2.13,4.69,2.26,3.14,3.13,1.98,1.12,2.81
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Sweden,9.25,5.53,7.22,7.47,6.48,5.51,7.26,7.97,8.15,7.51,5.48
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Slovenia,7.9,1.01,6.14,5.21,5.27,8.5,3.21,7.53,6.43,7.46,13.72
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Slovakia,3.52,4.32,4.85,4.04,2.42,5.32,3.65,4.49,4.93,2.67,6.12
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,Türkiye,2.25,2.12,3.28,2.72,2.26,2.33,3.76,4.97,4.97,5.09,6.04
Annual,Rate,Intentional self-harm,Total,From 15 to 19 years,United Kingdom,2.95,2.8,3.19,3.19,3.9,4.27,4.69,5.26,:,:,:
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Austria,19.81,19.68,19.19,19.05,19.04,18.9,14.29,15.37,17.66,15.01,12.11
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Belgium,30.0,33.16,25.99,29.55,28.6,27.36,24.18,26.75,27.34,25.85,20.63
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Bulgaria,15.77,14.41,12.38,10.9,13.53,11.75,12.64,8.8,9.28,11.74,9.87
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Switzerland,16.19,18.61,16.21,20.41,19.38,16.58,19.22,16.37,17.24,14.73,14.47
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Cyprus,7.17,1.75,6.96,1.76,7.2,1.82,7.35,7.4,3.74,3.75,0.0
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Czechia,26.46,26.64,24.12,22.73,17.88,18.55,19.5,17.38,12.63,13.74,16.66
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Germany,16.51,15.81,16.36,17.13,15.8,15.41,14.86,15.3,13.75,13.67,13.01
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Denmark,20.09,19.36,16.1,18.24,13.24,12.36,13.03,15.84,17.05,15.73,10.33
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Estonia,25.7,24.64,27.01,26.45,23.76,23.27,22.67,12.04,15.58,18.9,11.53
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Greece,7.12,5.63,6.57,6.74,6.49,6.59,6.88,7.63,7.09,5.98,4.84
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Spain,9.7,10.21,13.51,12.96,10.77,10.79,11.77,10.34,11.22,11.94,12.32
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,European Union - 27 countries (from 2020),19.32,19.21,18.71,18.06,16.97,15.95,15.37,15.11,14.54,14.53,13.86
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Finland,30.28,24.5,22.52,22.12,19.2,20.07,17.78,16.61,17.21,14.51,20.75
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,France,27.07,25.15,24.31,21.74,22.51,20.94,20.99,20.41,22.69,22.01,20.45
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Croatia,20.04,26.92,27.26,21.87,22.57,19.83,20.82,23.63,13.78,17.75,20.38
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Hungary,47.03,39.67,34.07,30.36,30.47,29.08,24.16,24.18,20.14,23.74,22.96
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Ireland,15.68,20.05,21.07,19.62,11.84,15.35,15.16,12.7,15.39,17.59,11.67
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Iceland,4.68,14.04,9.3,9.26,13.87,4.57,18.06,0.0,27.2,0.0,4.61
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Italy,8.67,10.48,9.24,9.52,9.25,8.83,8.01,7.97,8.02,7.88,7.06
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Liechtenstein,34.67,34.03,33.26,0.0,0.0,: @C,0.0,30.98,0.0,30.7,0.0
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Lithuania,46.54,50.86,68.91,49.17,43.96,40.57,34.35,32.7,32.63,27.31,25.99
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Luxembourg,27.1,15.7,12.6,19.35,16.31,13.52,15.35,15.09,4.27,10.64,8.49
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Latvia,35.21,39.1,23.76,17.53,29.91,26.74,29.13,26.04,22.57,19.55,16.36
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Malta,16.34,3.29,19.98,13.49,13.7,10.52,3.57,3.59,3.55,7.05,10.42
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Netherlands,15.25,18.52,18.73,20.61,18.58,19.12,18.97,16.82,15.24,16.51,15.41
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Norway,17.4,20.32,18.87,15.29,17.05,18.98,20.0,20.98,16.53,14.46,17.54
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Poland,29.6,30.54,27.48,27.67,24.77,19.25,17.71,18.22,16.65,16.11,16.52
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Portugal,12.86,11.76,14.21,14.76,13.74,15.19,15.62,11.97,12.98,11.01,10.81
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Romania,22.62,20.3,20.52,18.48,18.44,16.69,16.71,17.34,12.33,13.95,13.34
Annual,Rate,Intentional self-harm,Total,From 50 to 54 years,Serbia,21.25,21.86,22.8,18.25,15.18,16.78,17.07,19.65,17.37,17.69,14.71
