Time frequency,Age class,Sex,Work intensity,Income and living conditions indicator,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Albania,:,:,:,64.8,66.1,67.4,68.8,67.6,:,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Austria,:,57.5,59.1,69.1,66.6,57.8,62.2,60.3,51.6,66.8
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Belgium,:,60.0,65.0,67.6,71.7,63.9 b,59.8,56.8,60.0,52.6
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Bulgaria,:,78.4,74.9 b,79.0,76.8,77.7,80.2,69.7,73.2,74.5
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Switzerland,:,46.3,40.4,52.5,53.8,56.7,46.5,47.9,51.0,51.2
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Cyprus,:,55.0,56.7,51.6,60.8,46.5,51.6,45.6,44.3,56.7
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Czechia,:,66.3,71.9,64.1,63.3,61.0,58.6,59.0,69.2,67.6
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Germany,:,72.9,70.7,71.4,71.4,68.7,56.9 b,52.0,51.0,52.5
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Denmark,:,42.1,44.7,48.8,54.8,54.5,48.7 b,50.8,54.1,45.5
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Euro area - 19 countries  (2015-2022),:,63.6,64.3,65.3,65.8,64.6,63.5,61.4,:,:
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Euro area – 20 countries (from 2023),62.5,63.8,64.4,65.4,66.0,64.8,63.7,61.6,60.9,62.1
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Estonia,:,79.2,81.5,76.3,83.3,68.9,69.8,75.0,75.6,75.6
Annual,Less than 65 years,Total,Very low work intensity (0-0.2),At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Percentage,Greece,:,57.8,58.0,57.0,58.5,58.3,59.6,63.8,63.6,66.5
