Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of total expenditure,Other expenditure,Albania,:,:,:,:,:,:,:,0 p,0 p,0 p,0 p,:
Annual,Percentage of total expenditure,Other expenditure,Austria,0.69,0.72,0.8,0.71,0.71,0.96,0.78,0.75,0.75,0.64,0.65,1.13
Annual,Percentage of total expenditure,Other expenditure,Bosnia and Herzegovina,:,:,1.2,1.57,1.76,2.05,2.3,1.61,0.89,1.21,0.9,0.76
Annual,Percentage of total expenditure,Other expenditure,Belgium,1.4,1.35,1.08,1.09,1.26,1.47,1.86,1.26,1.13,0.95,1.1 p,1.21
Annual,Percentage of total expenditure,Other expenditure,Bulgaria,0.83,0.81,1.5,1.17,0.95,0.67,0.58,0.53,1.07,0.47,1.01,1.01
Annual,Percentage of total expenditure,Other expenditure,Switzerland,0.55,0.49,0.5,0.55,0.52,0.38,0.39,0.33,0.41,0.33,0.33,0.41 p
Annual,Percentage of total expenditure,Other expenditure,Cyprus,3.49,3.91,7.91,1.03,1.25,0.97,0.97,1.33,0.64,1.42,1.16,2.79
Annual,Percentage of total expenditure,Other expenditure,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of total expenditure,Other expenditure,Germany,0.42,0.46,0.5,0.51,0.42,0.44,0.49,0.47,0.44,0.43,0.44,0.48 p
Annual,Percentage of total expenditure,Other expenditure,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Percentage of total expenditure,Other expenditure,Euro area - 19 countries  (2015-2022),1.21,1.34,1.33,1.32,1.21,1.3,1.33 p,1.22 p,1.17 p,1.64 p,1.57 p,1.12 p
Annual,Percentage of total expenditure,Other expenditure,Euro area – 20 countries (from 2023),1.21,1.34,1.33,1.32,1.2,1.3,1.33 p,1.22 p,1.16 p,1.64 p,1.56 p,1.12 p
Annual,Percentage of total expenditure,Other expenditure,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of total expenditure,Other expenditure,Greece,0.4,0.26,0.28,0.22,0.23,0.23,0.23 p,0.17 p,0.2 p,0.21 p,0.3 p,0.24 p
Annual,Percentage of total expenditure,Other expenditure,Spain,0.03,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01 p,0.01 p,0.01,0.01
Annual,Percentage of total expenditure,Other expenditure,European Union - 27 countries (from 2020),1.08,1.19,1.18,1.17,1.07 b,1.19,1.2 p,1.1 p,1.03 p,1.45 p,1.38 p,0.99 p
Annual,Percentage of total expenditure,Other expenditure,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of total expenditure,Other expenditure,France,2.46,2.97,2.85,2.9,2.72,2.9,3.07,2.98,2.92,3.48,3.4 p,2.68 p
Annual,Percentage of total expenditure,Other expenditure,Croatia,0.12,0.12,0.16,0.13,0.11,0.19,0.17,0.16,0.16,0.15,0.14,0.13
Annual,Percentage of total expenditure,Other expenditure,Hungary,0.0,0.0,0.0,0.0,0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of total expenditure,Other expenditure,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Percentage of total expenditure,Other expenditure,Italy,1.51,1.6,1.51,1.55,1.4,1.57,1.45,1.3,1.22 p,1.35 p,1.18 p,0.95 p
Annual,Percentage of total expenditure,Other expenditure,Lithuania,1.82,2.76,3.12,2.91,2.55,2.24,1.73,0.0,0.01,0.01 p,0.05 p,0.04
Annual,Percentage of total expenditure,Other expenditure,Luxembourg,0.17,0.21,0.18,0.13,0.17,0.17,0.15,0.36,0.37,0.29,0.3,0.31
Annual,Percentage of total expenditure,Other expenditure,Latvia,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03 p,0.02 p,0.02 p,0.02
Annual,Percentage of total expenditure,Other expenditure,Montenegro,:,:,:,:,:,0.17,0.15,0.17,0.14,0.1,0.15 p,0.1 p
Annual,Percentage of total expenditure,Other expenditure,North Macedonia,:,:,:,:,1.56,1.3,1.14,:,:,:,:,:
Annual,Percentage of total expenditure,Other expenditure,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of total expenditure,Other expenditure,Netherlands,1.34,1.0,1.32,1.17,1.13,1.08,0.97,0.74,0.76,5.58,4.92,1.27
Annual,Percentage of total expenditure,Other expenditure,Norway,0.12,0.1,0.1,0.08,0.07,0.05,0.04,0.04,0.05,0.04,0.03,0.04
Annual,Percentage of total expenditure,Other expenditure,Poland,0.06,0.06,0.06,0.05,0.06,1.48,0.96,0.62,0.0,0.0,0.0,:
Annual,Percentage of total expenditure,Other expenditure,Portugal,4.36,4.01,4.17,3.67,2.38,3.06,2.98,2.35,2.29,2.49,3.11,2.53
Annual,Percentage of total expenditure,Other expenditure,Romania,0.04,0.04,0.09,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03
Annual,Percentage of total expenditure,Other expenditure,Serbia,0.11,0.38,0.15,0.14,0.44,0.58,0.57,0.32,0.9,2.16,1.34,0.88
Annual,Percentage of total expenditure,Other expenditure,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0
