Time frequency,Unit of measure,ind_outp,geo\TIME_PERIOD,1995.0
Annual,Euro,99.0,AT,2682103.0
Annual,Euro,99.0,BE,4886565.0
Annual,Euro,99.0,DE,23919406.0
Annual,Euro,99.0,DK,4805575.0
Annual,Euro,99.0,EL,7506849.0
Annual,Euro,99.0,ES,22009111.0
Annual,Euro,99.0,FI,2036495.0
Annual,Euro,99.0,FR,37850941.0
Annual,Euro,99.0,IE,4567896.0
Annual,Euro,99.0,IT,31956012.0
Annual,Euro,99.0,LU,172577.7
Annual,Euro,99.0,NL,14568889.0
Annual,Euro,99.0,PT,4300976.0
Annual,Euro,99.0,SE,2481171.0
Annual,Euro,99.0,UK,18384174.0
Annual,Euro,100.0,AT,2888059.0
Annual,Euro,100.0,BE,5831301.0
Annual,Euro,100.0,DE,25360648.0
Annual,Euro,100.0,DK,4915513.0
Annual,Euro,100.0,EL,10287579.0
Annual,Euro,100.0,ES,29728001.0
Annual,Euro,100.0,FI,2187621.0
Annual,Euro,100.0,FR,42306125.0
Annual,Euro,100.0,IE,4742281.0
Annual,Euro,100.0,IT,41566445.0
Annual,Euro,100.0,LU,177821.0
Annual,Euro,100.0,NL,16620000.0
Annual,Euro,100.0,PT,5634284.0
Annual,Euro,100.0,SE,2612305.0
Annual,Euro,100.0,UK,20405267.0
Annual,Euro,999.0,AT,649102.0
Annual,Euro,999.0,BE,1232609.0
Annual,Euro,999.0,DE,7786132.4
Annual,Euro,999.0,DK,1431591.0
Annual,Euro,999.0,EL,4331502.0
Annual,Euro,999.0,ES,9632317.0
Annual,Euro,999.0,FI,578380.0
Annual,Euro,999.0,FR,17407558.0
Annual,Euro,999.0,IE,413951.0
Annual,Euro,999.0,IT,16853940.0
Annual,Euro,999.0,LU,26874.0
Annual,Euro,999.0,NL,6218222.0
Annual,Euro,999.0,PT,1756380.0
Annual,Euro,999.0,SE,745871.0
Annual,Euro,999.0,UK,6228542.0
Annual,Euro,1000.0,AT,855058.0
Annual,Euro,1000.0,BE,2177344.0
Annual,Euro,1000.0,DE,9227375.1
Annual,Euro,1000.0,DK,1541530.0
Annual,Euro,1000.0,EL,7112232.0
Annual,Euro,1000.0,ES,17351207.0
Annual,Euro,1000.0,FI,729507.0
Annual,Euro,1000.0,FR,21862461.0
Annual,Euro,1000.0,IE,588336.0
Annual,Euro,1000.0,IT,26464373.0
Annual,Euro,1000.0,LU,32117.3
Annual,Euro,1000.0,NL,8269333.0
Annual,Euro,1000.0,PT,3089688.0
Annual,Euro,1000.0,SE,877005.0
Annual,Euro,1000.0,UK,8249636.0
Annual,Euro,1040.0,AT,212221.0
Annual,Euro,1040.0,BE,207040.0
Annual,Euro,1040.0,DE,2445294.9
Annual,Euro,1040.0,DK,642064.0
Annual,Euro,1040.0,EL,1055459.0
Annual,Euro,1040.0,ES,2484548.0
Annual,Euro,1040.0,FI,340545.0
Annual,Euro,1040.0,FR,5233492.6
Annual,Euro,1040.0,IE,186250.0
Annual,Euro,1040.0,IT,4292204.0
Annual,Euro,1040.0,LU,7578.9
Annual,Euro,1040.0,NL,222667.0
Annual,Euro,1040.0,PT,228201.0
Annual,Euro,1040.0,SE,328857.0
Annual,Euro,1040.0,UK,3244632.0
Annual,Euro,1120.0,AT,89133.0
Annual,Euro,1120.0,BE,173791.0
Annual,Euro,1120.0,DE,1228725.8
Annual,Euro,1120.0,DK,328583.0
Annual,Euro,1120.0,EL,160797.0
Annual,Euro,1120.0,ES,630268.0
Annual,Euro,1120.0,FI,49258.0
Annual,Euro,1120.0,FR,3062377.1
Annual,Euro,1120.0,IE,58319.0
Annual,Euro,1120.0,IT,757134.0
Annual,Euro,1120.0,LU,3543.8
Annual,Euro,1120.0,NL,189778.0
Annual,Euro,1120.0,PT,49794.0
Annual,Euro,1120.0,SE,126497.0
Annual,Euro,1120.0,UK,2239527.0
Annual,Euro,1130.0,AT,4244.0
Annual,Euro,1130.0,DE,3151.7
Annual,Euro,1130.0,EL,295881.0
Annual,Euro,1130.0,ES,161801.0
Annual,Euro,1130.0,FR,139646.0
Annual,Euro,1130.0,IT,882964.0
Annual,Euro,1130.0,PT,8293.0
Annual,Euro,1150.0,AT,12733.0
Annual,Euro,1150.0,BE,565.0
Annual,Euro,1150.0,DK,41335.0
Annual,Euro,1150.0,ES,26897.0
Annual,Euro,1150.0,FR,8007.9
Annual,Euro,1150.0,LU,125.8
Annual,Euro,1150.0,SE,16515.0
Annual,Euro,1161.0,AT,23344.0
Annual,Euro,1161.0,DE,238181.0
Annual,Euro,1161.0,EL,18848.0
Annual,Euro,1161.0,ES,263049.0
Annual,Euro,1161.0,FI,20736.0
Annual,Euro,1161.0,FR,132481.0
Annual,Euro,1161.0,IE,42739.0
Annual,Euro,1161.0,LU,268.2
Annual,Euro,1161.0,NL,32889.0
Annual,Euro,1161.0,PT,2203.0
Annual,Euro,1161.0,UK,351048.0
Annual,Euro,1162.0,AT,36078.0
Annual,Euro,1162.0,BE,29179.0
Annual,Euro,1162.0,DE,441692.9
Annual,Euro,1162.0,DK,260914.0
Annual,Euro,1162.0,EL,72773.0
Annual,Euro,1162.0,ES,737388.0
Annual,Euro,1162.0,FI,155405.0
Annual,Euro,1162.0,FR,530064.6
Annual,Euro,1162.0,IE,74757.0
Annual,Euro,1162.0,IT,270561.0
Annual,Euro,1162.0,LU,2696.4
Annual,Euro,1162.0,PT,5137.0
Annual,Euro,1162.0,SE,109256.0
Annual,Euro,1162.0,UK,592180.0
Annual,Euro,1180.0,AT,4244.0
Annual,Euro,1180.0,BE,869.0
Annual,Euro,1180.0,DE,38721.3
Annual,Euro,1180.0,DK,11232.0
Annual,Euro,1180.0,EL,5879.0
Annual,Euro,1180.0,ES,50396.0
Annual,Euro,1180.0,FI,108671.0
Annual,Euro,1180.0,FR,19808.9
Annual,Euro,1180.0,IE,10435.0
Annual,Euro,1180.0,IT,78669.0
Annual,Euro,1180.0,LU,313.3
Annual,Euro,1180.0,PT,3216.0
Annual,Euro,1180.0,SE,62795.0
Annual,Euro,1180.0,UK,55347.0
Annual,Euro,1200.0,AT,42444.0
Annual,Euro,1200.0,DE,59432.7
Annual,Euro,1200.0,EL,410007.0
Annual,Euro,1200.0,ES,433677.0
Annual,Euro,1200.0,FR,1299803.3
Annual,Euro,1200.0,IT,1686249.0
Annual,Euro,1200.0,PT,65983.0
Annual,Euro,1210.0,AT,12733.0
Annual,Euro,1210.0,BE,3202.0
Annual,Euro,1210.0,DE,435389.5
Annual,Euro,1210.0,DK,41335.0
Annual,Euro,1210.0,ES,34213.0
Annual,Euro,1210.0,FI,6475.0
Annual,Euro,1210.0,FR,49311.6
Annual,Euro,1210.0,LU,757.2
Annual,Euro,1210.0,PT,10602.0
Annual,Euro,1210.0,SE,30309.0
Annual,Euro,1210.0,UK,6530.0
