Time frequency,Economical indicator for structural business statistics,Place of residence,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Denmark,:,141.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Spain,:,73.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Finland,:,72.3
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,France,391.9,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Luxembourg,:,73.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Portugal,:,19.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,Sweden,289.5,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 10 to 49 persons employed,United Kingdom,:,2021.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Denmark,:,201.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Spain,:,119.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Finland,:,149.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,France,651.6,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Luxembourg,:,12.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Portugal,:,23.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,Sweden,220.9,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,From 50 to 249 persons employed,United Kingdom,:,2882.4
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,Denmark,:,260.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,Spain,:,132.1
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,Finland,:,90.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,France,826.3,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,Portugal,:,4.8
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,Sweden,498.4,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,250 persons employed or more,United Kingdom,:,2555.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Denmark,:,117.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Spain,:,71.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Finland,:,32.9
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,France,538.4,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Luxembourg,:,337.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Portugal,:,15.2
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,Sweden,39.6,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Fewer than 10 persons employed,United Kingdom,:,1005.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Denmark,:,721.5
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Spain,:,397.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Finland,:,345.0
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,France,2408.2,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Luxembourg,:,423.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Portugal,:,62.7
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,Sweden,1048.5,:
Annual,Turnover or gross premiums written - million euro,Place of residence outside the reporting country,Total,United Kingdom,:,8464.8
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Denmark,:,769.3
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Spain,:,1537.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Finland,:,468.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,France,6284.7,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Luxembourg,:,228.8
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Portugal,:,292.4
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,Sweden,2963.0,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 10 to 49 persons employed,United Kingdom,:,10794.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Denmark,:,793.8
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Spain,:,2017.7
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Finland,:,948.1
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,France,7426.7,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Luxembourg,:,111.4
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Portugal,:,371.1
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,Sweden,1674.0,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,From 50 to 249 persons employed,United Kingdom,:,8197.1
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,Denmark,:,1207.4
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,Spain,:,5440.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,Finland,:,1179.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,France,10318.0,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,Portugal,:,215.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,Sweden,3608.5,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,250 persons employed or more,United Kingdom,:,19493.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Denmark,:,1455.6
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Spain,:,1523.7
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Finland,:,466.3
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,France,5069.4,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Luxembourg,:,249.2
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Portugal,:,335.9
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,Sweden,1258.4,:
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Fewer than 10 persons employed,United Kingdom,:,21692.0
Annual,Turnover or gross premiums written - million euro,Place of residence in the reporting country,Total,Denmark,:,4226.2
